,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.7,3.9,-0.2,1.1,4.5,南西,8.3,南西,南西,0.0,0.0,0.0
2,0.0,0.0,0.0,3.8,9.1,-1.0,1.2,5.1,西北西,8.5,南西,西南西,2.9,0.0,0.0
3,0.0,0.0,0.0,4.9,9.1,0.8,1.8,6.2,西北西,9.9,南南西,西北西,2.2,0.0,0.0
4,3.5,2.0,1.0,3.0,9.2,-1.9,2.0,6.7,西,12.2,西,西,2.2,0.0,0.0
5,0.0,1.5,0.5,2.2,5.7,-2.0,1.1,3.9,北北東,9.6,北北東,北北東,0.1,0.0,0.0
6,0.0,0.0,0.0,2.2,8.9,-4.0,0.6,2.7,北北東,5.6,北北東,東,2.4,0.0,0.0
7,3.0,1.5,0.5,10.2,16.0,4.0,3.8,9.7,西南西,18.0,南南西,南西,0.1,0.0,0.0
8,8.5,2.5,1.5,8.7,15.7,4.9,4.9,9.0,南西,20.1,南,西,0.1,0.0,0.0
9,2.5,1.0,0.5,5.4,8.2,2.1,1.9,6.5,西,11.6,西,西,1.3,0.0,0.0
10,3.0,1.5,1.0,2.4,8.4,-2.1,0.7,3.6,北北西,5.5,北西,東,3.7,0.0,0.0
11,0.0,0.0,0.0,2.3,10.6,-2.7,1.1,5.8,南西,9.8,西南西,西北西,5.9,0.0,0.0
12,0.0,0.0,0.0,2.8,5.2,-0.4,1.1,4.3,西南西,7.8,南西,南西,0.0,0.0,0.0
13,0.0,0.0,0.0,2.6,5.7,-0.9,3.3,7.1,西南西,11.9,西南西,西南西,2.8,0.0,0.0
14,2.5,1.5,0.5,2.3,6.5,-0.8,1.1,3.7,北西,6.1,西,西北西,0.3,0.0,0.0
15,6.5,3.0,1.0,1.0,2.7,-0.5,0.6 ),4.5 ),西南西 ),7.7 ),西南西 ),南南西 ),0.0,4.0,2.0
16,0.0,0.0,0.0,1.1,7.3,-1.8,0.5,3.4,西北西,4.9,西北西,西北西,4.9,0.0,0.0
17,0.0,0.0,0.0,2.4,8.5,-1.9,0.6,3.5,北北東,5.9,北北東,北北東,3.2,0.0,0.0
18,0.0,0.0,0.0,2.6,6.9,-2.3,1.5,5.1,北東,10.8,東北東,北東,3.2,0.0,0.0
19,1.0,0.5,0.5,2.1,7.3,-2.5,1.4,6.1,南西,11.2,南西,南西,1.0,0.0,0.0
20,0.0,0.0,0.0,2.6,5.0,0.6,1.2,5.0,西,9.6,西南西,南南西,0.0,0.0,0.0
21,0.0,0.0,0.0,2.1,6.9,-3.1,1.3,5.2,北西,8.7,北西,東,2.2,0.0,0.0
22,1.5,1.0,0.5,3.8,8.8,-3.2,1.6,6.3,南西,11.3,南西,南西,0.5,0.0,0.0
23,13.0,3.5,1.0,8.4,11.3,6.2,0.7,3.5,西北西,5.1,西北西,南南西,0.1,0.0,0.0
24,1.0,0.5,0.5,6.9,10.2,3.4,2.1,5.3,北東,9.8,東北東,東北東,0.5,0.0,0.0
25,0.0,0.0,0.0,3.9,7.0,-0.3,1.4,4.1,東,9.1,東,東,1.9,0.0,0.0
26,0.0,0.0,0.0,5.3,10.7,0.8,1.3,4.5,北東,7.6,北北東,東北東,4.9,0.0,0.0
27,15.0,4.0,1.5,4.7,6.6,3.4,2.4,5.6,北東,9.8,東北東,北東,0.0,0.0,0.0
28,12.5,2.5,1.0,6.4,8.7,4.1,0.8,5.0,北東,8.4,北東,西北西,0.0,0.0,0.0
29,10.5,1.5,0.5,5.4,7.7,3.0,2.1,4.8,北西,9.1,北西,西北西,1.0,0.0,0.0
30,17.5,4.5,1.0,1.8,4.8,-0.2,1.1 ),4.9 ),北北西 ),8.4 ),西北西 ),西 ),0.6,5.0,5.0
31,1.0,0.5,0.5,0.7,2.9,-1.0,2.2 ],5.7 ],北西 ],11.7 ],北 ],北西 ],2.7,2.0,5.0
