,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,91.0,23.5,14.0,6.5,,,,,,,,,,,,,,
2,73.0,21.0,7.0,2.5,,,,,,,,,,,,,,
3,125.0,40.0,8.5,3.0,,,,,,,,,,,,,,
4,130.0,48.0,12.0,3.0,,,,,,,,,,,,,,
5,183.5,47.5,16.0,4.5,,,,,,,,,,,,,,
6,226.0,99.0,23.0,6.5,,,,,,,,,,,,,,
7,481.5,112.0,27.5,11.0,,,,,,,,,,,,,,
8,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,
9,188.0,42.5,19.5,6.5,,,,,,,,,,,,,,
10,93.5,61.5,9.5,2.5,,,,,,,,,,,,,,
11,32.0,21.0,4.5,2.5,,,,,,,,,,,,,,
12,42.0,17.0,7.0,2.0,,,,,,,,,,,,,,
