,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1021.5,1028.3,,,,5.3,10.5,1.3,61.0,36.0,2.4,4.8,北北東,6.4,北北東,9.0,,,晴,晴
2,1019.7,1026.5,,,,6.2,12.2,1.2,67.0,45.0,2.3,5.9,北,7.6,北,9.3,,,晴,晴一時曇
3,1015.9,1022.5,,,,8.3,13.9,4.5,63.0,34.0,2.2,4.4,北,8.0,北北西,8.5,,,晴,晴
4,1014.3,1020.9,0.0,0.0,0.0,7.6,14.0,2.6,57.0,24.0,3.4,10.9,西北西,15.7,西,9.1,,,晴,晴一時雨
5,1021.7,1028.4,0.0,0.0,0.0,7.9,12.6,4.7,55.0,30.0,3.0,5.7,北北東,9.2,北,7.5,,,晴,晴
6,1022.2,1029.0,0.0,0.0,0.0,6.5,9.9,2.3,61.0,44.0,3.8,8.6,北北東,9.5,北北東,1.8,,,晴後曇一時雨,曇時々雨
7,1013.5,1020.1,2.0,1.5,0.5,8.1,9.6,6.4,79.0,62.0,1.9,4.6,北北東,6.5,北,0.0,,,曇一時雨,曇後雨
8,1003.6,1010.1,23.0,16.0,6.5,12.2,15.4,9.0,60.0,41.0,5.3,12.0,西,20.2,西北西,2.1,,,晴時々曇一時雨,晴後時々曇一時雨
9,1011.3,1017.8,0.0,0.0,0.0,10.6,15.5,7.4,54.0,24.0,3.4,7.7,西,10.8,北北西,6.3,,,晴時々曇,曇一時晴
10,1013.5,1020.1,0.0,0.0,0.0,8.9,13.3,5.6,51.0,28.0,2.8,6.4,北北東,9.3,北北東,8.1,,,晴,晴後薄曇
11,1010.3,1016.9,,,,8.2,13.2,4.1,61.0,44.0,3.6,7.0,北北東,9.0,北北東,7.5,,,薄曇後晴,晴後曇
12,1006.4,1013.0,0.0,0.0,0.0,8.6,10.5,7.4,60.0,48.0,2.8,5.7,西,8.6,西,0.0,,,曇,晴
13,1012.2,1018.9,0.0,0.0,0.0,7.7,11.8,4.0,55.0,31.0,3.2,7.5,西,11.6,西,6.7,,,晴,晴一時曇
14,1015.6,1022.3,1.0,0.5,0.5,5.6,8.7,3.0,72.0,52.0,2.1,5.3,北,7.8,北北西,0.0,,,曇後雨,雨後晴
15,1017.1,1023.8,0.0,0.0,0.0,6.1,11.5,2.7,62.0,32.0,2.6,6.6,北北西,11.4,北,8.6,,,晴,晴後時々薄曇
16,1017.1,1023.8,,,,5.1,9.7,1.4,59.0,37.0,3.3,6.4,北北東,7.6,北北東,1.3,,,曇,曇後一時晴
17,1011.7,1018.3,,,,8.0,12.5,4.3,54.0,31.0,3.4,6.0,北北東,9.0,北,2.9,,,曇時々晴,晴一時曇
18,1009.4,1016.0,,,,8.3,14.4,4.4,51.0,25.0,3.9,7.3,北北東,11.1,北北東,9.1,,,晴,快晴
19,1011.3,1018.0,0.0,0.0,0.0,6.4,10.9,1.8,59.0,44.0,3.8,7.0,南南西,10.4,南南西,3.4,,,曇一時晴,晴時々曇
20,1012.9,1019.5,0.0,0.0,0.0,8.5,12.8,5.7,49.0,28.0,2.9,8.1,西,10.9,西,4.1,,,晴時々曇,晴後曇
21,1019.9,1026.6,,,,8.1,12.4,5.0,47.0,27.0,3.4,6.6,北北東,9.6,北北東,7.3,,,晴,晴後一時曇
22,1020.3,1027.1,9.5,2.0,0.5,6.3,8.7,3.5,70.0,54.0,2.9,6.2,北北東,7.7,北北東,0.2,,,曇一時晴後雨,大雨
23,1013.7,1020.3,23.5,7.0,1.5,10.1,12.7,7.2,83.0,72.0,2.0,5.6,北北東,7.7,北北東,0.3,,,曇時々雨,曇
24,1018.9,1025.4,,0.0,,12.0,16.0,9.3,69.0,45.0,4.0,7.0,北北東,10.7,北,0.5,,,曇後一時晴,曇一時晴
25,1021.4,1028.1,1.5,1.5,0.5,8.7,10.5,6.7,55.0,43.0,3.3,6.9,北北東,9.9,北北東,0.7,,,曇,雨時々曇
26,1017.9,1024.5,2.5,2.0,0.5,9.8,14.3,6.5,61.0,36.0,3.2,6.9,北北東,9.4,北東,3.8,,,曇,曇後雨
27,1006.7,1013.2,21.0,4.5,1.5,8.9,11.0,6.7,66.0,36.0,6.2,9.7,北東,15.5,北東,0.0,,,雨後曇,雨一時曇
28,1003.4,1009.9,3.0,1.5,0.5,9.7,12.1,7.9,81.0,66.0,1.6,5.7,北北東,7.3,北北東,0.5,,,曇一時雨,曇後晴
29,1005.0,1011.5,0.0,0.0,0.0,10.2,14.8,7.0,60.0,37.0,3.4,7.5,北北西,10.8,北西,7.4,,,晴一時雨,晴一時曇
30,1003.9,1010.5,0.0,0.0,0.0,7.6,12.0,4.4,60.0,34.0,4.0,11.4,北北西,16.1,北,7.1,,,晴一時曇,晴一時雨
31,1010.1,1016.7,0.0,0.0,0.0,6.8,10.7,4.8,45.0,28.0,4.4,10.5,北,16.7,北北西,5.5,,,晴後一時曇,曇後晴
