,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.9,8.0,-1.9,2.5,5.7,北西,8.2,西北西,西北西,,,
2,0.0,0.0,0.0,5.0,10.2,-0.5,2.0,4.9,西,8.2,西,西北西,,,
3,0.0,0.0,0.0,6.7,11.5,2.3,2.9,5.5,西,8.7,西南西,北西,,,
4,0.0,0.0,0.0,6.1,11.2,1.5,3.8,9.6,西北西,13.4,西北西,北西,,,
5,0.0,0.0,0.0,4.9,9.2,0.8,2.4,6.1,北西,10.8,北,北北西,,,
6,0.0,0.0,0.0,4.4,7.5,0.4,1.8,3.8,東北東,6.7,東,北東,,,
7,2.0,1.0,0.5,5.4,6.5,3.9,1.9,3.5,北東,5.1,東北東,東南東,,,
8,15.5,9.5,4.5,9.2,12.3,5.3,6.8,13.1,西南西,20.1,西南西,西北西,,,
9,0.0,0.0,0.0,7.3,12.1,3.1,3.3,7.7,北西,10.8,北西,北西,,,
10,0.0,0.0,0.0,5.5,9.9 ),1.6 ),2.1,5.4,北北西,10.8,北,北西,,,
11,0.0,0.0,0.0,6.4,11.5,1.6,1.6,4.1,北,8.2,北,北,,,
12,0.0,0.0,0.0,5.9,8.7,1.9,2.0,4.9,西北西,6.7,西北西,西北西,,,
13,0.0,0.0,0.0,4.2,8.4,0.0,4.0,7.4,西北西,11.3,西,西北西,,,
14,0.0,0.0,0.0,3.1,6.6,0.0,2.1,4.1,北西,7.7,東北東,北西,,,
15,0.0,0.0,0.0,3.4,8.4,-1.4,4.5,10.9,西北西,14.4,北西,西北西,,,
16,0.0,0.0,0.0,3.4,7.5,-0.9,1.6,3.3,西北西,5.7,北北西,北西,,,
17,0.0,0.0,0.0,5.7,9.2,2.7,2.3,4.7,北,7.2,東,北,,,
18,0.0,0.0,0.0,5.9,10.8,3.1,3.6,5.9,東北東,9.3,北北西,北,,,
19,0.0,0.0,0.0,4.2,8.6,-1.1,2.4,6.5,西南西,9.3,西南西,北西,,,
20,0.0,0.0,0.0,5.8,10.4,2.9,3.0,7.5,西,10.8,西北西,西北西,,,
21,0.0,0.0,0.0,5.3,9.3,2.2,2.6,7.2,北北西,10.8,北,北西,,,
22,2.0,1.0,0.5,4.0,7.0,1.7,2.5,4.9,東北東,6.2,東北東,東北東,,,
23,20.5,6.5,1.5,7.9,10.4,4.4,1.7,5.8,東,7.7,東,東,,,
24,0.0,0.0,0.0,9.7,12.4,5.3,3.3,6.3,北北東,12.3,北東,北,,,
25,0.5,0.5,0.5,5.0,6.8,3.6,3.5,7.0,東,9.8,東北東,東北東,,,
26,0.5,1.0,0.5,6.2,10.6,3.6,3.0,9.0,東北東,11.3,東北東,東北東,,,
27,16.5,6.0,1.5,5.4,6.6,3.3,10.0,17.5,東北東,22.6,東北東,東北東,,,
28,0.0,2.0,0.0,7.1,9.4,5.6,2.4,9.2,東,12.9,東北東,西北西,,,
29,0.0,0.0,0.0,7.4,11.6,4.2,5.0,7.8,西北西,12.9,西北西,北西,,,
30,0.0,0.0,0.0,4.9,9.3,2.2,4.9,8.5,西北西,13.4,北西,北西,,,
31,0.0,0.0,0.0,2.7,6.0,0.4,4.2,9.4,北西,15.9,北北西,北西,,,
