,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1027.6,1028.0,,,,3.7,11.3,-1.7,74.0,41.0,1.3,4.3,西南西,7.8,西北西,8.4,,,,
2,1025.7,1026.1,,,,5.4,12.2,-0.5,78.0,50.0,1.3,4.5,南西,6.7,南西,5.7,,,,
3,1021.8,1022.2,,,,7.6,14.0,2.9,72.0,41.0,1.5,4.4,西南西,7.5,南西,5.3,,,,
4,1020.1,1020.5,,,,6.4,13.5,0.2,69.0,39.0,1.7,5.5,南西,10.4,西北西,6.4,,,,
5,1027.9,1028.3,,,,5.7,12.6,0.9,71.0,34.0,1.3,3.7,北北東,6.6,北,7.1,,,,
6,1028.6,1029.0,0.0,0.0,0.0,5.6,10.4,-0.3,71.0,45.0,1.1,2.6,東北東,4.7,北東,4.1,,,,
7,1020.3,1020.7,2.5,1.0,0.5,7.8,9.3,6.1,83.0,67.0,1.4,3.1,北東,5.4,北北東,0.0,,,,
8,1009.1,1009.5,11.5,8.0,3.0,11.1,15.5,7.0,73.0,49.0,4.1,10.6,西南西,17.5,西南西,1.7,,,,
9,1017.2,1017.6,0.0,0.0,0.0,8.4,15.2,2.4,73.0,43.0,2.1,6.3,南西,10.0,北西,5.0,,,,
10,1019.6,1020.0,,,,6.6,13.0,1.6,72.0,36.0,1.3,3.0,南,5.9,南,8.8,,,,
11,1016.4,1016.8,,,,6.9,12.8,2.1,78.0,59.0,1.4,3.7,南東,6.1,南南西,7.7,,,,
12,1012.2,1012.6,0.0,0.0,0.0,7.8,11.1,4.6,75.0,58.0,1.3,3.1,西北西,5.7,西,0.0,,,,
13,1017.9,1018.3,,,,6.1,11.7,1.5,69.0,41.0,2.1,5.7,南西,9.9,西南西,5.6,,,,
14,1021.6,1022.0,0.5,0.5,0.5,4.6,9.4,-0.1,81.0,57.0,1.3,3.3,南南東,5.7,南南東,0.7,,,,
15,1022.8,1023.2,0.0,0.0,0.0,4.9,11.0,0.0,76.0,51.0,1.7,4.6,西北西,10.0,北北西,5.7,,,,
16,1023.2,1023.6,,,,3.8,9.6,-0.9,74.0,44.0,1.0,2.7,南,4.8,南南東,1.5,,,,
17,1017.9,1018.3,,,,6.5,11.8,2.8,71.0,37.0,1.2,3.5,東北東,5.6,東北東,3.9,,,,
18,1015.4,1015.8,0.0,0.0,0.0,7.1,13.5,1.8,66.0,32.0,1.4,4.1,東北東,9.1,南南東,8.1,,,,
19,1017.2,1017.6,0.0,0.0,0.0,5.0,11.2,-0.7,77.0,54.0,1.6,5.1,南西,7.9,西南西,4.9,,,,
20,1018.6,1019.0,,,,7.6,13.7,2.1,65.0,33.0,1.9,5.8,西,10.3,西北西,5.6,,,,
21,1026.2,1026.6,,,,6.8,13.2,2.3,64.0,33.0,1.5,4.7,南東,8.3,南南東,7.4,,,,
22,1027.0,1027.4,7.0,2.0,0.5,5.6,8.8,1.3,81.0,63.0,1.2,3.0,東北東,4.5,東,0.3,,,,
23,1020.1,1020.5,24.0,7.0,2.0,9.3,11.4,6.4,94.0,88.0,0.9,2.3,南東,4.2,北北東,0.0,,,,
24,1025.2,1025.6,0.0,0.0,0.0,11.0,14.6,8.3,81.0,60.0,1.3,3.5,北,6.5,東北東,0.0,,,,
25,1028.2,1028.6,0.5,0.5,0.5,7.8,9.8,4.9,65.0,53.0,1.8,3.7,東北東,6.6,北北東,0.8,,,,
26,1024.6,1025.0,3.0,2.0,0.5,8.3,12.8,5.3,72.0,34.0,1.4,3.5,東北東,6.0,東北東,4.3,,,,
27,1013.8,1014.2,15.0,5.0,1.5,7.8,9.1,5.9,80.0,56.0,4.6,8.7,北東,15.4,東北東,0.0,,,,
28,1009.1,1009.5,2.0,6.0,1.5,9.0,10.8,7.7,91.0,77.0,1.2,6.0,北東,10.4,北東,0.0,,,,
29,1010.4,1010.8,0.0,0.0,0.0,8.7,14.6,4.1,77.0,44.0,1.7,5.4,西北西,9.7,西北西,6.8,,,,
30,1009.4,1009.8,,,,6.5,13.3,1.3,73.0,40.0,1.7,4.8,西北西,8.6,西北西,7.2,,,,
31,1016.0,1016.4,0.0,0.0,0.0,4.1,9.1,0.1,66.0,39.0,1.8,4.7,北北西,9.4,西北西,3.6,,,,
