,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,989.7,1013.8,15.0,1.5,1.0,-7.3,-6.1,-9.1,86.0,71.0,3.1,7.6,西,14.0,西北西,0.0,15.0,66.0,,
2,991.5,1015.5,7.0,1.0,1.0,-5.2,-2.9,-7.3,82.0,70.0,3.7,8.2,西,13.8,西北西,0.0,4.0,68.0,,
3,989.0,1012.8,4.0,1.0,0.5,-4.3,-2.5,-7.1,77.0,60.0,3.6,7.1,北西,11.7,北西,0.0,5.0,62.0,,
4,990.6,1014.8,5.5,1.5,1.0,-8.4,-4.5,-16.0,87.0,67.0,1.9,4.8,西北西,7.7,西北西,1.3,11.0,71.0,,
5,995.5,1020.0,4.5,1.0,0.5,-10.0,-3.4,-17.7,85.0,52.0,1.6,7.6,北西,11.8,北西,1.7,9.0,74.0,,
6,1000.3,1024.3,0.5,0.5,0.5,-2.9,-1.4,-10.0,71.0,54.0,4.5,9.8,北西,15.7,西北西,5.9,,67.0,,
7,1002.5,1026.6,0.0,0.0,0.0,-2.9,1.0,-11.1,81.0,62.0,2.0,4.1,北,6.5,北北西,0.0,,59.0,,
8,987.0,1010.7,2.0,1.0,0.5,-3.4,2.1,-11.0,90.0,74.0,2.7,7.8,東南東,11.6,東南東,0.0,4.0,58.0,,
9,989.6,1013.2,0.0,0.0,0.0,-1.8,-0.6,-3.1,74.0,60.0,3.0,6.4,北北東,11.5,北北東,1.2,,57.0,,
10,995.0,1019.0,0.0,0.0,0.0,-4.1,0.7,-9.9,74.0,48.0,1.3,3.1,東,4.1,東,8.5,,54.0,,
11,989.3,1013.1,0.0,0.0,0.0,-3.5,2.0,-7.9,82.0,56.0,1.6,6.4,西北西,9.2,西,1.0,2.0,54.0,,
12,987.7,1011.5,2.0,0.5,0.5,-4.0,-2.3,-6.3,91.0,81.0,1.3,4.8,北北西,6.3,北北西,0.1,6.0,58.0,,
13,990.4,1014.4,0.5,0.5,0.5,-5.3,-2.9,-9.3,80.0,59.0,1.8,5.7,北西,8.8,北西,0.9,,58.0,,
14,997.8,1022.1,4.5,1.0,0.5,-7.4,-3.6,-9.9,88.0,79.0,1.5,4.5,東,6.2,東,1.7,14.0,66.0,,
15,997.1,1021.4,0.0,0.0,0.0,-7.1,-1.4,-11.8,83.0,66.0,1.4,3.6,北,5.0,北,5.9,,62.0,,
16,995.0,1019.0,5.0,0.5,0.5,-5.1,-2.5,-7.5,91.0,58.0,1.6,5.7,西,8.9,西北西,2.6,13.0,67.0,,
17,995.3,1019.3,7.0,2.5,1.0,-4.9,-2.9,-6.4,89.0,61.0,2.2,5.1,西北西,9.5,西北西,0.4,18.0,80.0,,
18,995.8,1020.1,0.0,0.0,0.0,-7.6,-1.0,-13.1,83.0,56.0,0.9,2.5,東北東,4.0,東,7.0,,77.0,,
19,991.1,1015.1,0.0,0.0,0.0,-5.7,0.6,-14.0,81.0,60.0,1.1,4.2,南西,4.9,南西,4.9,,67.0,,
20,985.8,1009.4,7.5,1.5,1.0,-2.2,0.9,-4.6,92.0,78.0,2.4,5.9,西北西,10.2,西北西,0.1,19.0,79.0,,
21,995.0,1019.0,6.0,2.0,1.0,-4.8,-2.4,-9.0,89.0,61.0,2.2,7.3,西北西,12.2,西北西,1.8,6.0,83.0,,
22,999.7,1023.6,7.5,2.0,1.0,-2.8,0.9,-9.1,90.0,64.0,2.7,7.1,南南西,9.5,南南西,2.6,5.0,79.0,,
23,997.9,1022.0,0.5,1.5,0.5,-4.1,1.8,-12.4,83.0,61.0,1.6,5.7,北西,7.8,北西,8.0,,77.0,,
24,997.5,1021.8,7.5,3.5,1.5,-7.2,-2.2,-13.7,78.0,57.0,5.1,10.2,西北西,17.6,北西,0.4,9.0,80.0,,
25,1004.1,1028.5,4.0,0.5,0.5,-7.0,-5.9,-8.4,78.0,64.0,2.8,7.0,西北西,11.6,西,0.0,6.0,83.0,,
26,1002.7,1027.0,0.0,0.0,0.0,-5.4,-2.3,-8.1,70.0,51.0,2.4,5.0,西,8.0,西北西,5.3,,81.0,,
27,1003.6,1027.8,0.5,0.5,0.5,-4.1,0.5,-11.7,73.0,59.0,2.4,7.3,西,11.7,西,2.6,1.0,76.0,,
28,1002.5,1026.8,0.0,0.0,0.0,-5.7,2.0,-16.7,79.0,66.0,2.6,6.8,南南西,10.3,南西,6.7,,72.0,,
29,991.4,1014.7,4.0,1.5,0.5,1.9,3.5,-0.3,82.0,72.0,6.0,11.9,東南東,17.2,東南東,0.0,,71.0,,
30,976.5,999.5,0.0,0.0,0.0,1.2,3.0,0.0,92.0,85.0,4.1,8.1,北,13.6,北北西,0.4,1.0,64.0,,
31,979.5,1002.7,0.5,0.5,0.5,0.1,0.7,-0.6,78.0,66.0,4.5,7.4,北,14.1,北,0.0,,58.0,,
