,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-5.6,-4.0,-7.6,9.4,12.6,西北西,23.7,西北西,西,0.0,6.0,8.0
2,0.5,0.5,0.5,-3.1,-0.7,-5.5,8.8,11.2,西北西,17.8,西北西,西北西,0.0,2.0,9.0
3,0.0,0.0,0.0,-2.3,-0.7,-5.2,8.0,10.8,北西,15.2,西北西,西北西,0.0,0.0,6.0
4,0.0,0.0,0.0,-6.1,-3.3,-11.4,3.3,8.7,北西,12.8,北西,東南東,0.5,1.0,6.0
5,0.0,0.0,0.0,-6.2,-1.3,-11.7,4.4,9.6,北西,13.6,西北西,東南東,0.8,2.0,8.0
6,0.0,0.0,0.0,-1.0,-0.2,-2.1,5.3,10.2,北西,14.1,西北西,西北西,1.5,0.0,7.0
7,0.0,0.0,0.0,-1.0,2.5,-4.6,1.6,3.4,東,5.1,東,東南東,0.0,0.0,6.0
8,0.0,0.0,0.0,-1.0,2.4,-4.7,3.3,6.0,東,8.6,東,東南東,0.0,1.0,6.0
9,0.0,0.0,0.0,-1.6,1.2,-5.8,1.5,4.7,北東,8.3,北東,北東,0.7,0.0,6.0
10,0.0,0.0,0.0,-1.8,2.0,-5.1,1.7,4.1,東,6.1,東,東南東,6.4,1.0,6.0
11,0.0,0.0,0.0,0.4,4.0,-4.2,2.7,7.0,西北西,10.9,西,西南西,1.4,0.0,5.0
12,0.0,0.0,0.0,-1.1,0.9,-2.9,2.3,5.2,西北西,7.6,西北西,西,0.0,4.0,9.0
13,1.5,1.0,0.5,-2.8,-1.5,-5.1,2.9,5.3,北西,8.3,西,西北西,0.5,3.0,9.0
14,6.0,1.0,0.5,-4.4,-1.8,-6.0,2.3,3.9,西北西,7.1,西,東,0.1,20.0,26.0
15,0.0,0.5,0.0,-4.0,-0.5,-6.7,2.4,4.7,東,7.0,東,東,3.0,3.0,28.0
16,2.0,0.5,0.5,-3.0,-1.3,-5.1,2.7,7.1,西北西,11.2,西北西,西北西,1.1,5.0,24.0
17,1.5,1.0,0.5,-2.9,-1.3,-4.3,4.3,8.0,西北西,13.4,西,西北西,0.0,6.0,24.0
18,0.0,0.0,0.0,-4.4,0.2,-7.6,2.2,4.1,東,6.7,東南東,東,6.2,0.0,21.0
19,0.0,0.0,0.0,-2.2,1.6,-7.0,2.5,5.5,東,9.0,東,東,3.6,0.0,18.0
20,2.0,1.5,0.5,-0.6,1.3,-2.0,2.6,8.8,北西,11.2,北西,東南東,0.0,8.0,21.0
21,0.5,0.5,0.5,-3.0,-1.0,-6.0,3.9,10.0,北西,13.9,北西,西北西,0.1,2.0,22.0
22,3.5,3.0,1.5,0.7,3.9,-3.9,2.9,9.2,西北西,14.7,西北西,東南東,2.0,0.0,20.0
23,0.0,0.0,0.0,-1.6,3.6,-6.6,2.5,6.5,西北西,8.8,北西,東南東,7.2,0.0,13.0
24,0.5,0.5,0.5,-3.9,1.0,-6.6,9.0,12.9,西北西,18.9,西北西,西北西,0.0,2.0,14.0
25,0.0,0.0,0.0,-5.0,-3.9,-6.5,7.4,10.2,北西,14.3,西北西,西北西,0.0,1.0,14.0
26,0.0,0.0,0.0,-3.5,0.0,-7.3,3.2,8.6,西北西,13.1,西北西,西北西,5.1,0.0,14.0
27,0.0,0.0,0.0,-1.8,1.7,-6.7,3.7,9.7,西北西,14.6,西北西,西北西,5.1,0.0,13.0
28,0.0,0.0,0.0,-1.3,4.2,-8.7,4.0,7.2,東,12.2,東南東,東,7.0,0.0,13.0
29,0.0,0.0,0.0,3.0,4.9,1.4,3.9,7.0,東,11.6,東南東,東,0.0,0.0,12.0
30,0.5,0.5,0.5,2.5,5.7,0.7,2.1,5.1,東,10.2,南南東,東南東,0.2,0.0,5.0
31,0.0,0.0,0.0,1.6,2.2,0.7,2.2,5.2,北北東,11.0,北北東,東,0.0,0.0,3.0
