,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,7.5,2.0,0.5,-6.8,-5.2,-8.9,2.1,4.8,西,12.0,西南西,西北西,0.0,,
2,4.0,1.0,0.5,-4.8,-1.9,-6.3,1.6,4.1,西北西,9.5,西,西,0.0,,
3,0.0,0.0,0.0,-3.9,-1.9,-6.6,1.5,4.1,西北西,10.1,西南西,西,0.0,,
4,0.5,0.5,0.5,-6.3,-3.6,-8.2,1.3,2.9,西南西,7.3,西,南西,2.9,,
5,0.5,0.5,0.5,-5.6,-2.6,-9.3,1.3,2.9,西北西,8.3,北,西南西,0.5,,
6,0.0,0.0,0.0,-1.6,-0.1,-6.7,1.7,3.7,西,8.6,西南西,西北西,2.5,,
7,0.0,0.0,0.0,0.0,1.8,-2.2,0.6,1.9,東北東,4.7,東北東,西南西,0.0,,
8,0.0,0.0,0.0,-1.4,1.3,-4.7,0.7,2.1,南西,4.3,北,南西,0.0,,
9,0.0,0.0,0.0,-0.7,0.3,-2.2,1.4,3.2,東北東,6.6,東北東,東北東,0.0,,
10,0.0,0.0,0.0,-1.3,1.6,-3.9,0.6,2.1,東北東,5.1,北北東,北,2.3,,
11,0.0,0.0,0.0,-0.8,2.9,-4.3,0.9,5.2,南南西,12.0,南西,西南西,1.2,,
12,0.0,0.0,0.0,-2.8,-0.4,-7.3,0.8,3.2,南西,6.3,西南西,西南西,1.0,,
13,3.0,1.5,0.5,-4.6,-1.5,-7.6,0.6 ),3.2 ),西南西 ),5.7 ),南南西 ),西南西 ),2.0,,
14,1.5,0.5,0.5,-4.6,-2.1,-7.7,0.8 ],2.5 ],南西 ],4.3 ],北北西 ],西南西 ],0.1,,
15,0.5,0.5,0.5,-4.1,-2.4,-6.6,0.3 ),1.7 ),北 ),3.8 ),西北西 ),北北西 ),0.3,,
16,2.5,0.5,0.5,-4.4,-1.5,-7.2,0.7,3.5,南西,5.9,北北西,南西,2.1,,
17,1.0,0.5,0.5,-4.6,-1.9,-7.1,0.7 ),3.5 ),南西 ),6.9 ),西南西 ),西南西,0.1,,
18,0.0,0.0,0.0,-4.5,-0.1,-8.6,1.1,3.4,南西,4.7,南西,南西,1.7,,
19,0.0,0.0,0.0,-1.7,1.6,-6.4,0.8,2.6,南西,4.4,南西,南西,3.1,,
20,15.0,3.0,1.0,-1.7,0.6,-4.9,0.5 ),2.5 ),北西 ),6.4 ),西北西 ),南西 ],0.0,,
21,3.0,1.5,0.5,-4.4,-2.3,-8.7,,,,,,,0.5,,
22,14.0,3.5,1.0,-1.1,3.0,-7.6,0.5 ],3.2 ],南南西 ],6.3 ],南南西 ],南西 ],3.1,,
23,0.0,0.0,0.0,-2.8,1.5,-7.4,1.0 ],3.6 ],南西 ],5.8 ],北西 ],西南西 ],8.3,,
24,3.0,2.0,1.0,-4.7,-0.3,-6.9,2.1,4.4,西,12.7,西南西,西,0.1,,
25,0.5,0.5,0.5,-6.6,-5.5,-7.9,1.3,3.3,西南西,8.8,北西,南西,0.0,,
26,0.0,0.0,0.0,-4.7,-1.3,-9.4,1.1,3.4,西南西,7.8,西南西,西北西,6.5,,
27,0.0,0.0,0.0,-2.9,1.0,-7.2,1.4,3.8,北北西,7.5,西北西,西南西,7.9,,
28,0.0,0.0,0.0,-3.8,2.5,-9.7,1.0,2.7,南西,4.7,西南西,西南西,6.8,,
29,2.5,1.0,0.5,0.0,1.7,-4.5,0.5 ),2.2 ),南西 ),3.8 ),南西 ),南西 ),0.0,,
30,6.5,3.5,1.0,1.4,3.2,0.1,2.3 ],3.9 ],北北東 ],13.4 ],北 ],北北東 ],0.0,,
31,0.5,0.5,0.5,0.2,1.1,-0.7,2.6,4.9,東北東,12.1,東北東,北東,0.0,,
