,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,0.0,5.1,-4.7,1.9,4.8,北,8.5,北北東,北北東,2.4,,
2,0.0,0.0,0.0,1.8,8.2,-3.2,1.5,5.0,北北東,8.9,北北東,北北東,5.5,,
3,0.0,0.0,0.0,3.8,7.2,1.3,1.7,4.0,北北東,7.4,北,北北東,1.6,,
4,2.0,2.0,1.0,3.5,8.5,-0.8,2.1,5.2,北,9.8,北北東,北北東,4.4,,
5,0.0,0.0,0.0,0.9,5.0,-3.2,2.3,5.7,北,11.2,北北西,北北東,4.5,,
6,0.0,0.0,0.0,0.5,9.0,-5.6,0.6,1.5,南,4.0,南南西,南南西,5.7,,
7,4.5,1.5,0.5,3.7,9.5,-2.4,0.6,2.9,南,8.1,南西,南南西,0.2,,
8,24.0,11.0,5.5,8.8,12.6,5.2,2.6,7.1,北北東,14.1,北,北北東,0.0,,
9,0.0,0.5,0.0,5.1,9.4,1.4,2.7,5.4,北北東,10.3,北,北北東,5.8,,
10,0.0,0.0,0.0,3.2,9.7,-1.6,1.4,4.1,北北東,6.9,北,南南西,5.8,,
11,0.0,0.0,0.0,1.0,9.5,-3.0,0.7,2.9,北北東,4.8,北東,南南西,5.6,,
12,0.0,0.0,0.0,1.4,7.1,-2.8,0.4,1.7,北東,2.5,北東,南南西,0.0,,
13,1.0,0.5,0.5,2.2,6.7,-0.8,0.9,3.6,北北東,6.3,北北東,北北西,1.4,,
14,0.5,0.5,0.5,2.0,8.7,-3.1,0.6,3.0,北北東,7.3,北,北北東,4.7,,
15,2.0,1.5,0.5,2.0,6.1,-2.2,1.4,4.8,北,8.3,北,北北東,2.0,,
16,0.0,0.0,0.0,-0.3,5.1,-3.8,0.7,3.0,北北東,5.8,北北東,北北東,0.1,,
17,0.5,0.5,0.5,1.9,8.1,-2.7,0.6,2.8,南南東,5.7,南南東,南,1.2,,
18,3.0,1.0,0.5,1.9,5.8,-0.9,0.3,1.4,北北西,2.5,北北東,北東,0.0,,
19,0.0,0.0,0.0,1.3,7.6,-3.0,0.6,2.1,南東,4.0,南,南南西,5.1,,
20,0.0,0.0,0.0,3.1,7.6,-1.8,2.2,5.2,北北東,10.2,北,北北東,2.7,,
21,0.0,0.0,0.0,2.3,7.0,-3.0,2.9,6.6,北北東,13.8,北,北北東,6.2,,
22,0.0,0.0,0.0,2.8,11.1,-4.0,0.6,2.8,南南西,7.3,南南西,南南西,2.7,,
23,10.5,2.0,1.0,7.0,10.9,3.8,0.4,2.4,南西,5.2,南南西,北,0.0,,
24,0.0,0.0,0.0,6.4,11.8,1.1,1.0,4.5,北北東,7.1,北北東,北北東,3.4,,
25,0.0,0.0,0.0,4.8,11.1,0.0,0.7,3.0,北北東,6.1,南南西,南南西,2.5,,
26,4.5,1.5,0.5,5.5,10.1,3.0,0.4,2.1,北,3.9,北,南南西,1.5,,
27,3.0,1.5,0.5,4.0,8.4,2.4,0.7,2.2,南南西,6.6,南,南,0.0,,
28,3.0,1.0,0.5,8.4,14.9,3.7,1.2,3.7,南南西,9.9,南南西,南南西,3.8,,
29,2.5,1.0,0.5,8.2,11.2,5.2,1.9,4.0,北北東,6.4,北北東,北北東,0.4,,
30,0.0,0.0,0.0,4.9,7.9,1.6,2.7,4.6,北北東,8.2,北,北北東,0.7,,
31,0.0,0.0,0.0,2.1,6.2,-1.7,3.3,6.5,北北東,12.6,北北東,北北東,4.6,,
