,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,5.0,2.0,1.0,3.5,5.3,0.9,3.5,8.4,南,17.7,南,東北東,1.2,,
2,0.0,0.0,0.0,5.0,7.1,2.5,2.4,4.6,東南東,11.2,東,東北東,1.8,,
3,6.5,2.5,1.0,5.1,7.0,2.8,2.2,5.2,東北東,10.2,北東,南南西,0.4,,
4,1.0,0.5,0.5,4.7,6.4,2.5,2.4,5.3,北東,11.3,東北東,東北東,1.6,,
5,1.0,1.0,1.0,4.1,5.4,2.3,3.9,6.7,北東,11.3,北北東,東北東,1.2,,
6,0.0,0.0,0.0,6.0,8.5,3.4,2.1,4.9,南,9.1,南,南南東,1.7,,
7,4.0,2.5,0.5,5.7,7.5,2.8,2.0,4.6,北東,7.3,東北東,北東,0.2,,
8,18.0,3.0,1.0,9.3,13.3,5.0,2.9,7.7,南南西,13.8,南,南南西,0.8,,
9,8.5,2.0,1.5,7.0,9.4,4.0,2.8,6.7,東北東,15.2,東南東,東北東,1.6,,
10,3.0,2.0,1.5,5.0,7.4,2.8,1.1,3.7,北北東,7.6,南南東,北西,0.0,,
11,6.5,4.5,1.5,6.1,9.4,2.8,2.6,6.6,南,11.5,南,南南西,1.5,,
12,0.0,0.0,0.0,5.5,8.7,2.8,1.1,3.1,南南西,6.5,南南西,西北西,1.3,,
13,13.5,4.5,1.5,5.2,7.5,3.8,2.4,6.0,北東,13.1,北東,北北東,0.1,,
14,3.5,2.0,1.0,6.2,7.9,4.3,3.5,9.6,南,17.1,南,北東,0.1,,
15,9.0,5.5,1.5,5.6,7.7,2.3,3.0,7.0,北東,12.4,北北東,北東,0.2,,
16,0.5,0.5,0.5,5.4,7.5,2.2,2.9,7.1,南,11.7,南,南,3.5,,
17,0.5,0.5,0.5,4.4,7.5,1.6,1.6,4.0,北東,7.7,北東,東北東,4.4,,
18,0.0,0.0,0.0,4.1,5.4,1.8,2.5,7.9,北東,11.8,北東,北東,2.7,,
19,8.5,3.5,1.5,5.1,7.5,2.4,2.0,7.7,南,14.7,南,南南西,1.1,,
20,12.0,3.5,2.5,6.3,9.0,3.9,4.0,12.8,南,23.2,南南西,南,2.9,,
21,4.0,1.0,0.5,3.3,6.0,0.7,3.1,9.2,東北東,18.1,東,東北東,0.9,,
22,0.0,0.0,0.0,5.0,8.4,0.8,1.2,3.6,南西,7.6,南南西,南西,0.3,,
23,4.0,1.5,0.5,7.6,9.2,6.7,1.3,3.9,南南西,7.6,南南西,北西,0.0,,
24,1.5,1.5,0.5,5.8,8.5,3.0,2.1,6.3,北東,10.5,北東,北東,0.0,,
25,0.0,0.0,0.0,3.3,6.1,1.5,1.5,3.4,北東,6.2,北東,東北東,4.5,,
26,0.0,0.0,0.0,3.7,7.3,1.4,1.3,4.4,北東,6.9,東北東,北西,1.9,,
27,0.0,0.0,0.0,4.7,8.4,1.2,2.8,6.8,北東,11.8,北北東,北東,0.7,,
28,0.0,0.0,0.0,9.0,10.6,7.0,3.4,6.0,南南東,10.4,南南東,南南東,0.0,,
29,18.5,4.0,1.0,8.4,10.5,7.1,1.5,4.5,南,8.3,南,西北西,0.0,,
30,11.5,5.0,4.0,8.4,11.0,5.2,3.4,5.5,南南西,10.9,南南西,南南西,0.0,,
31,2.0,1.0,0.5,5.0,6.4,3.1,3.4,6.2,東北東,11.0,東北東,東北東,2.5,,
