,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,25.0,5.5,1.5,4.8,9.3,1.9,3.6,7.8,西,14.3,西北西,南,0.3,,
2,37.5,5.5,2.0,4.7,6.6,3.5,1.7,4.5,西,8.7,西北西,東南東,0.0,,
3,29.5,6.0,2.0,6.1,9.7,3.5,2.9,7.4,西北西,14.2,北西,西南西,0.4,,
4,25.5,5.5,1.5,4.0,6.9,0.5,1.7,5.1,南,9.9,西北西,南東,0.3,,
5,1.5,3.5,1.5,5.0,6.5,0.6,4.4,9.1,西北西,16.6,西北西,西北西,0.3,,
6,0.0,0.0,0.0,6.1,9.7,3.4,1.7,3.7,南,6.2,南南東,南,4.2,,
7,8.0,2.0,0.5,5.7,8.6,3.7,2.6,5.6,南南東,8.8,南南東,東,0.0,,
8,35.0,8.5,2.0,11.3,17.2,6.0,5.6,10.8,南西,24.0,西,西南西,1.8,,
9,16.5,3.5,1.5,8.1,11.4,3.8,3.6,7.8,西,16.5,西北西,西,2.1,,
10,9.5,5.0,1.5,5.3,8.9,3.0,2.0,4.4,南,7.2,南,南東,0.9,,
11,15.5,8.0,3.5,7.1,13.8,3.3,4.2,8.3,西,14.7,西北西,南,6.8,,
12,4.0,1.5,0.5,6.7,9.4,5.2,1.4,4.5,東南東,6.5,東南東,南南東,1.4,,
13,19.5,2.5,1.0,5.6,7.2,3.4,1.9,5.7,西南西,10.0,西,南西,0.0,,
14,0.0,0.0,0.0,7.1,10.6,3.6,2.3,7.0,西,12.8,西北西,南南西,3.1,,
15,5.5,2.5,1.5,6.0,9.9,2.8,2.9,8.5,北北西,15.9,西,南,0.2,,
16,4.5,2.0,1.0,4.4,7.9,2.1,2.0,4.9,南南東,7.8,北,南東,3.1,,
17,0.0,0.0,0.0,5.3,9.0,2.2,2.3,5.2,北東,9.3,北北東,北東,4.9,,
18,0.5,0.5,0.5,4.3,7.5,0.4,1.6,4.7,東,8.1,東,東北東,0.9,,
19,2.5,1.0,0.5,6.2,9.3,3.0,2.0,7.5,南南西,13.6,南,南南西,2.2,,
20,6.5,2.0,1.5,7.5,9.9,5.7,5.1,8.2,南西,15.8,西南西,西南西,1.5,,
21,3.5,1.5,1.0,4.8,7.9,1.9,5.0,9.9,西北西,18.7,西,西北西,0.0,,
22,0.0,0.0,0.0,5.6,9.7,1.3,2.4,5.8,南南東,10.0,南,南南東,5.3,,
23,15.0,2.0,1.0,8.1,9.7,5.9,0.9,3.4,南東,7.0,北北東,北北東,0.0,,
24,6.5,2.0,1.0,8.4,13.3,5.6,2.8,8.1,北西,12.7,西北西,北北西,1.6,,
25,0.0,0.0,0.0,5.0,8.1,2.5,1.6,3.4,東南東,5.6,東北東,東南東,4.7,,
26,0.0,0.0,0.0,5.7,10.0,1.9,1.3,4.2,北北東,7.9,北,東南東,6.9,,
27,0.5,0.5,0.5,6.3,12.1,2.2,3.6,12.8,南,20.8,南,北東,0.0,,
28,0.0,0.0,0.0,11.8,14.9,6.9,9.3,14.5,南,24.7,南,南,5.0,,
29,2.0,1.0,0.5,11.0,14.1,8.9,3.2,7.9,西,13.1,西,西,1.8,,
30,34.5,11.5,3.5,8.4,12.3,4.3,4.3,8.2,北西,14.2,北北西,西南西,2.7,,
31,19.0,4.0,3.0,4.5,6.8,1.4,4.1,7.3,西北西,13.4,北西,西,0.2,,
