,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,4.5,1.0,0.5,0.1,4.4,-3.5,2.1 ],6.3 ],南南西 ],11.3 ],南南西 ],東北東 ],6.0,4.0,13.0
2,5.0,1.0,0.5,0.6,1.5,-0.2,0.4 ),1.5 ),北西 ),3.0 ),北北西 ),北東 ),0.0,3.0,5.0
3,20.5,4.0,1.5,1.7,6.0,-0.4,1.8 ),4.5 ),南南西 ),7.1 ),南南西 ),南南西 ),3.0,7.0,7.0
4,19.5,2.5,1.0,0.4,2.1,-0.9,1.0 ],2.5 ],北東 ],4.9 ],東北東 ],西 ],0.1,23.0,22.0
5,16.0,4.0,1.0,0.1,1.7,-0.9,1.7 ],4.1 ],北東 ],7.4 ],北北東 ],東北東 ],0.0,14.0,33.0
6,0.0,0.0,0.0,1.0,4.4,-1.5,1.9,3.7,南南西,6.4,南西,南西,4.6,1.0,31.0
7,2.0,1.5,0.5,2.9,9.1,-0.8,3.7,9.9,南,16.4,南,南西,0.0,0.0,21.0
8,15.0,4.0,1.0,9.4,12.7,5.5,3.9,10.7,南,19.2,南,南,2.2,0.0,8.0
9,6.5,3.0,0.5,4.3,6.7,1.0,2.6,6.1,北北西,16.0,北西,北東,4.3,0.0,0.0
10,9.5,2.5,0.5,1.7,5.4,0.0,1.8 ],4.5 ],南西 ],6.5 ],南西 ],南西 ],3.6,4.0,4.0
11,5.5,2.0,1.0,3.0,9.0,-1.0,2.7,6.0,南西,8.8,西南西,南西,8.0,0.0,0.0
12,0.0,0.5,0.0,3.3,6.4,1.5,1.8,3.7,南西,6.2,南南西,南西,0.6,0.0,0.0
13,5.5,0.5,0.5,2.3,4.1,0.6,1.3,4.3,東北東,7.5,東北東,南南西,0.0,0.0,0.0
14,0.0,0.0,0.0,3.2,7.1,-0.2,2.0,5.5,南南西,8.3,南西,南南西,4.3,0.0,0.0
15,8.0,3.0,1.0,2.4,8.0,-0.1,1.9,5.7,西北西,11.4,北北西,南南西,3.9,1.0,1.0
16,2.5,1.0,0.5,0.9,4.1,-1.3,1.6,5.0,南西,9.6,西南西,南西,4.2,3.0,4.0
17,0.0,0.0,0.0,1.4,5.1,-1.2,2.4,5.0,南西,7.9,南西,南西,3.5,0.0,0.0
18,0.0,0.0,0.0,1.2,3.9,-1.5,1.2,3.4,北北東,5.2,北北東,北北東,0.1,0.0,0.0
19,0.0,0.0,0.0,3.3,7.0,0.2,1.4,5.6,南南西,8.0,南南西,南西,3.8,0.0,0.0
20,2.5,1.0,0.5,2.6,3.9,1.1,1.2,3.0,東北東,5.5,北東,南西,0.0,0.0,0.0
21,21.5,3.0,1.0,-0.3,2.2,-2.5,1.7 ],3.3 ],東北東 ],6.9 ],北西 ],東北東 ],0.0,27.0,27.0
22,0.0,0.0,0.0,0.6,5.8,-3.8,2.7 ),7.2 ),南西 ),10.4 ),西南西 ),南南西 ),7.4,0.0,22.0
23,0.5,0.5,0.5,4.5,7.0,2.1,2.0,5.2,南西,7.2,南南西,南南西,0.4,0.0,6.0
24,10.5,3.5,1.0,4.3,10.0,1.3,2.0,5.2,東北東,9.9,東北東,北東,3.3,0.0,0.0
25,0.0,0.0,0.0,1.3,3.7,-0.2,1.5,4.1,南西,6.1,南西,南西,2.5,0.0,0.0
26,0.0,0.0,0.0,2.6,7.5,-0.2,1.8,4.7,南西,7.3,北北東,北東,6.8,0.0,0.0
27,1.0,1.0,0.5,3.4,7.8,-0.2,3.6,10.9,南南西,18.4,南南西,南南西,0.0,0.0,0.0
28,0.5,0.5,0.5,9.4,12.2,4.7,5.8,10.5,南,21.1,南,南,3.9,0.0,0.0
29,2.0,2.5,1.0,7.6,10.1,4.3,1.6,5.6,南南西,9.0,南南西,南西,0.0,0.0,0.0
30,23.5,7.5,1.5,5.0,9.8,0.6,2.0,5.4,北北西,10.2,北北西,北,2.9,0.0,0.0
31,21.5,2.5,1.0,0.0,1.7,-0.8,1.5 ),4.1 ),北北東 ),7.8 ),北 ),東北東 ),0.0,19.0,16.0
