,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.0,9.4,-1.9,1.5,3.5,東南東,5.4,南東,西北西,8.8,,
2,0.0,0.0,0.0,4.3,11.1,-1.7,1.8,3.2,南南東,4.5,東,西北西,8.2,,
3,0.0,0.0,0.0,4.4,11.5,-1.3,1.6,3.4,北東,5.3,北,西北西,9.4,,
4,0.0,0.0,0.0,4.8,11.4,-0.8,2.2,8.8,北,15.7,北北西,西,5.8,,
5,0.0,0.0,0.0,3.7,9.9,-1.3,2.6,8.4,北,14.9,北,北,9.3,,
6,0.0,0.0,0.0,4.9,12.0,-2.2,1.9,5.4,西北西,6.4,西北西,西北西,8.1,,
7,0.0,0.0,0.0,5.4,8.4,3.0,1.9,3.5,北北東,5.5,北,北,0.3,,
8,9.0,7.5,2.0,5.2,8.3,2.9,1.5,5.2,北北東,8.2,東北東,北,1.1,,
9,0.0,0.0,0.0,8.4,14.8,3.0,3.3,9.1,北北東,14.9,北,北,9.4,,
10,0.0,0.0,0.0,7.4,12.7,3.5,3.2,8.3,北北東,12.8,北北東,北,6.9,,
11,0.0,0.0,0.0,6.3,10.4,2.1,1.5,3.5,東南東,5.5,東,北,5.9,,
12,0.0,0.0,0.0,5.3,10.6,0.4,1.5,3.9,北東,5.1,北,西,1.8,,
13,0.0,0.0,0.0,6.7,12.7,1.1,2.0,4.3,北西,6.9,南東,北西,9.3,,
14,0.0,0.0,0.0,7.0,11.4,2.4,1.6,3.5,南東,6.3,北,北西,6.6,,
15,6.0,3.0,1.0,5.8,9.2,1.1,1.6,4.4,北東,5.8,北,北,2.2,,
16,0.0,0.0,0.0,3.7,9.7,-0.8,1.8,4.7,南,7.2,南,西北西,3.6,,
17,0.0,0.0,0.0,5.4,10.1,0.8,2.1,5.0,北北東,7.4,北北東,西北西,3.7,,
18,4.5,1.0,0.5,2.5,6.2,0.4,3.6,7.3,北北東,11.3,北,北西,0.0,,
19,0.0,0.0,0.0,4.9,10.4,-0.1,2.3,6.5,南,8.8,南,北西,8.0,,
20,0.0,0.0,0.0,5.6,13.3,-0.5,1.6,3.7,東南東,5.9,南,西北西,9.7,,
21,0.0,0.0,0.0,4.6,11.6,-0.3,3.0,10.5,北北東,15.9,北,北,9.8,,
22,0.0,0.0,0.0,2.9,7.5,-1.9,1.3,2.9,北東,4.0,東北東,北,1.3,,
23,1.5,1.0,0.5,5.7,8.2,2.5,1.6,3.9,西,5.8,北,北北西,0.0,,
24,0.0,0.0,0.0,8.9,13.0,5.2,1.4,5.5,北,8.6,北,北北西,0.6,,
25,0.0,0.0,0.0,6.0,8.9,2.8,1.4,2.9,北北西,5.3,北北西,北北西,0.2,,
26,3.5,1.5,0.5,4.2,7.1,1.6,1.1,3.7,南東,6.3,南東,西北西,0.0,,
27,7.0,2.5,0.5,3.4,5.9,0.6,2.0,5.0,北,8.5,北北西,北北西,0.0,,
28,57.5,8.0,1.5,4.6,7.8,0.6,3.7,6.2,北,11.6,北,北北西,0.0,,
29,18.0,8.5,2.0,11.9,18.6,7.7,2.6,7.3,北北西,13.6,北北西,北北西,7.3,,
30,0.0,0.0,0.0,10.3,17.6,4.6,2.0,5.0,北,8.7,南南西,北西,9.9,,
31,0.0,0.0,0.0,6.6,11.7,2.1,4.0,9.7,北,17.0,北,北,9.0,,
