,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,7.9,11.5,4.0,4.1,7.8,北東,11.3,北北東,北東,,,
2,0.0,0.0,0.0,10.0,12.8,4.9,2.4,4.8,北北東,6.7,北東,北東,,,
3,0.0,0.0,0.0,10.4,13.5,6.2,1.9,4.0,西南西,8.7,西南西,南東,,,
4,0.0,0.0,0.0,10.5,12.6,7.3,3.7,7.1,西南西,13.4,西南西,北東,,,
5,0.0,0.0,0.0,8.8,12.0,6.3,5.2,11.8,北北東,15.9,北,北北東,,,
6,0.0,0.0,0.0,9.6,12.9,4.8,2.6,5.6,北東,7.7,東北東,東北東,,,
7,4.0,1.5,0.5,9.3,10.9,8.4,6.5,9.7,北北東,12.9,北東,北北東,,,
8,7.0,3.5,2.5,13.9,18.6,8.8,7.6,19.3,南南西,28.3,南南西,西南西,,,
9,0.0,0.0,0.0,13.1,16.8,8.2,3.5,7.5,西南西,14.9,西南西,東,,,
10,0.0,0.0,0.0,10.5,12.5,8.7,5.7,10.2,北北東,13.4,北北東,北東,,,
11,0.0,0.0,0.0,10.7,13.2,6.2,3.7,6.7,南西,10.8,南西,北北東,,,
12,0.0,0.0,0.0,9.8,11.6,8.1,3.2,6.2,北東,8.2,北北東,北北東,,,
13,0.0,0.0,0.0,11.6,13.7,10.1,5.1,7.0,南西,11.8,西南西,西南西,,,
14,0.0,0.0,0.0,11.2,13.6,7.2,3.9,6.6,南西,11.3,南西,南西,,,
15,6.0,3.0,1.0,10.0,13.0,7.2,3.2,6.1,南西,12.3,西南西,東,,,
16,0.0,0.0,0.0,9.0,10.6,6.9,4.0,7.3,北北東,10.8,北北東,北東,,,
17,9.0,2.5,0.5,8.8,11.5,6.8,6.8,13.2,北北東,16.5,北北東,北北東,,,
18,22.0,2.0,0.5,5.3,7.2,3.5,11.8,15.9,北北東,21.1,北北東,北北東,,,
19,0.0,0.0,0.0,8.8,11.1,6.0,5.8,10.3,北北東,14.4,西南西,北東,,,
20,0.0,0.0,0.0,11.9,14.1,10.4,5.3,7.8,南西,13.4,西南西,西南西,,,
21,0.0,0.0,0.0,10.2,13.0,5.4,4.6,8.3,北北東,11.3,西南西,北東,,,
22,0.0,0.0,0.0,9.8,13.7,6.8,4.9,8.5,南西,12.9,南西,北北東,,,
23,17.5,4.5,1.0,11.3,14.2,9.2,4.4,9.0,北東,12.3,南西,北東,,,
24,0.0,0.0,0.0,12.8,15.3,10.8,4.8,9.3,北北東,12.3,北北東,北東,,,
25,2.0,2.0,1.0,9.9,11.7,8.5,6.5,9.0,北東,12.3,北東,北東,,,
26,16.0,2.5,1.0,7.1,9.5,5.3,7.3,9.7,北東,12.9,北東,北東,,,
27,11.0,2.5,1.0,8.0,9.5,5.1,10.7,18.4,北北東,24.7,北北東,北東,,,
28,33.5,8.5,2.0,8.0,11.5,4.7,13.7,18.0,北北東,23.1,北北東,北北東,,,
29,5.0,6.0,2.0,14.2,18.2,10.8,6.0,14.5,北北東,19.0,北東,南西,,,
30,0.0 ),0.0 ),0.0 ),12.4,14.9,9.7,6.4,9.3,南西,15.4,南西,南西,,,
31,0.0,0.0,0.0,9.8,12.3,8.2,4.1,6.2,北東,10.3,北北東,北東,,,
