,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.4,10.9,-2.5,1.7,5.7,西,10.7,西,東北東,9.0,,
2,0.0,0.0,0.0,3.8,13.0,-2.5,1.1,3.9,南,5.9,北北西,北東,9.1,,
3,0.0,0.0,0.0,3.9,11.8,-2.3,0.9,2.7,南,4.7,東北東,北,8.8,,
4,0.0,0.0,0.0,5.3,12.1,-1.8,2.3,7.4,西北西,13.2,西北西,西北西,9.1,,
5,0.0,0.0,0.0,3.4,9.1,-1.6,2.5,7.5,西北西,13.7,西,西北西,8.6,,
6,0.0,0.0,0.0,3.3,11.6,-3.1,1.1,3.7,南東,5.4,東南東,北東,8.7,,
7,2.5,1.5,0.5,2.8,8.5,-2.2,0.8,2.8,北,4.6,北,北北東,1.1,,
8,4.0,3.5,2.0,5.0,8.8,3.0,0.7,3.4,南西,5.6,南西,西南西,0.8,,
9,0.0,0.0,0.0,9.7,14.7,2.1,4.1,7.8,西,15.4,西北西,西,9.2,,
10,0.0,0.0,0.0,6.1,12.6,1.9,1.3,4.2,東,8.1,北北東,北,7.5,,
11,0.0,0.0,0.0,4.7,10.4,0.8,0.6,2.1,南,3.7,南,北北東,3.6,,
12,0.0,0.0,0.0,4.7,9.4,-1.0,0.6,1.9,北東,3.3,南東,北,1.6,,
13,0.0,0.0,0.0,7.0,13.7,0.6,1.2,3.3,北東,6.9,北東,北東,8.9,,
14,0.0,0.0,0.0,7.1,11.9,1.9,1.0,2.3,北,4.8,南,北北東,7.7,,
15,1.0,0.5,0.5,6.7,10.2,1.5,1.1,4.6,西北西,9.0,西,北北東,1.7,,
16,0.0,0.0,0.0,5.4,12.2,0.5,1.7,4.7,北北西,9.0,西北西,北東,8.6,,
17,0.0,0.0,0.0,4.6,10.6,-0.9,0.8,2.4,南南東,4.6,東北東,北,4.4,,
18,0.0,0.0,0.0,4.6,6.6,2.4,1.6,4.7,北東,9.5,北東,北東,0.0,,
19,0.0,0.0,0.0,4.3,11.1,-1.2,1.0,2.7,南東,5.2,東南東,北北東,7.9,,
20,0.0,0.0,0.0,5.7,15.1,-1.6,1.1,4.7,西,8.8,西,北,9.4,,
21,0.0,0.0,0.0,5.3,10.4,-0.7,3.2,7.9,西北西,14.9,西北西,西北西,9.5,,
22,0.0,0.0,0.0,2.3,7.9,-3.0,0.6,1.6,北東,2.7,南南東,北北東,0.3,,
23,0.5,0.5,0.5,4.8,7.9,0.1,0.5,2.6,南,4.1,南,北,0.0,,
24,0.0,0.0,0.0,8.3,16.0,1.8,1.6,4.8,西,9.6,西北西,北,7.1,,
25,0.0,0.0,0.0,4.8,9.6,0.3,1.2,5.5,西,9.9,西北西,北北東,7.7,,
26,0.0,0.0,0.0,4.4,9.6,0.8,0.9,2.8,南,4.8,南南西,北,2.0,,
27,1.0,1.0,0.5,3.5,6.9,0.2,1.0,3.4,北東,6.6,北東,北北東,0.0,,
28,9.5,2.0,0.5,6.1,8.9,0.9,2.3,4.4,北北東,9.3,北東,北北東,0.0,,
29,42.5,16.5,3.5,12.1,20.0,7.0,2.1,7.3,北,14.5,北,北,7.3,,
30,0.0,0.0,0.0,10.6,17.8,3.4,2.5,6.3,西,11.7,西,西,9.4,,
31,0.0,0.0,0.0,7.6,10.8,4.2,5.1,8.4,西北西,16.2,西,西北西,9.8,,
