,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-7.4,-3.7,-12.6,4.0,10.0,西南西,13.7,南西,西南西,8.3,,
2,0.0,0.0,0.0,-7.9,-2.3,-12.9,2.1,6.3,南西,9.3,南西,西,7.1,,
3,0.0,0.0,0.0,-6.1,0.5,-14.1,2.8,6.2,北西,9.6,北北西,西北西,7.4,,
4,0.0,0.0,0.0,-8.2,-4.9,-10.4,3.1,8.6,北北西,14.2,北西,西北西,7.8,,
5,0.0,0.0,0.0,-7.1,-2.6,-10.8,2.2,6.1,北西,10.1,北西,西北西,5.7,,
6,1.5,0.5,0.5,-4.4,-2.1,-8.0,6.9,12.7,北西,22.6,西北西,北西,4.7,,
7,0.0,0.0,0.0,-3.4,-1.0,-9.0,6.0,11.1,北北西,18.5,北北西,北北西,7.6,,
8,0.0,0.0,0.0,-5.2,-2.9,-10.8,1.3,2.6,北西,4.6,東,北北東,0.0,,
9,0.0,0.0,0.0,-4.3,-2.3,-7.4,4.0,7.6,北北西,12.9,北西,北北西,5.2,,
10,0.0,0.0,0.0,-5.7,-2.9,-10.5,3.2,7.3,北西,11.5,北西,北西,3.9,,
11,3.5,2.0,0.5,-5.0,-0.4,-12.3,1.6,3.6,北西,4.4,東北東,北西,3.4,,
12,0.0,0.0,0.0,-3.5,1.9,-10.0,1.2,3.2,北西,4.0,北西,北西,7.3,,
13,0.0,0.0,0.0,-3.7,-0.8,-7.9,1.7,5.3,北北西,7.2,北北西,北北西,0.0,,
14,0.0,0.0,0.0,-5.9,-1.7,-9.6,1.7,4.0,北西,5.5,北,北西,7.3,,
15,0.0,0.0,0.0,-6.7,-2.7,-12.1,1.7,3.6,北西,4.3,東,北西,6.8,,
16,0.0,0.0,0.0,-6.5,-2.1,-12.7,1.6,3.7,西北西,5.3,北西,北西,5.5,,
17,0.0,0.0,0.0,-6.9,-0.4,-15.3,2.1,3.8,南西,5.2,南西,北西,8.8,,
18,0.0,0.0,0.0,-6.5,-1.4,-13.3,1.7,3.4,北西,4.8,北西,北北西,8.9,,
19,0.0,0.0,0.0,-8.0,-2.0,-13.0,1.6,3.4,北西,4.0,北西,北西,5.9,,
20,1.5,1.0,0.5,-4.5,-2.0,-10.5,2.0,6.1,北北西,9.1,北北西,北,0.0,,
21,0.0,0.0,0.0,-4.9,-3.3,-7.4,3.6,7.9,北西,12.5,西北西,北西,4.1,,
22,0.0,0.0,0.0,-5.3,-1.2,-11.4,1.9,5.5,南西,9.4,北北西,西南西,8.2,,
23,0.0,0.0,0.0,-2.3,0.1,-5.3,3.0,6.6,北北西,12.4,北北西,北北西,7.7,,
24,0.0,0.0,0.0,-5.2,-0.3,-9.3,3.2,7.9,北西,13.5,西北西,北北西,2.1,,
25,0.0,0.0,0.0,-9.1,-6.4,-12.0,4.6,7.9,北西,15.3,北西,北西,8.4,,
26,0.0,0.0,0.0,-11.0,-6.5,-16.5,3.2,7.6,北西,12.3,北北西,北西,9.2,,
27,0.0,0.0,0.0,-6.2,-4.1,-12.9,3.8,8.7,北西,14.2,北西,北北西,4.9,,
28,0.0,0.0,0.0,-7.7,-1.2,-13.2,1.6,3.9,北西,6.5,北西,北西,8.8,,
29,0.0,0.0,0.0,-4.4,-0.8,-12.8,2.3,4.4,東,8.3,東,東北東,0.3,,
30,24.0,4.0,1.0,0.1,1.7,-1.9,3.9,5.9,東北東,14.2,東北東,北東,0.0,,
31,1.5,1.0,0.5,0.6,2.7,-1.8,2.6,7.6,北,16.9,北,北北東,0.0,,
