,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-6.6,-2.9,-11.4,3.3,7.8,西南西,12.7,南西,南西,8.6,0.0,0.0
2,0.0,0.0,0.0,-8.0,-2.0,-13.8,1.6,5.2,西南西,7.7,南西,西,7.4,0.0,0.0
3,0.0,0.0,0.0,-6.0,0.6,-14.5,1.6,5.2,西南西,9.0,西南西,南西,7.4,0.0,0.0
4,0.0,0.0,0.0,-7.1,-4.0,-11.4,2.7,6.1,北西,11.4,北西,西,8.2,0.0,0.0
5,0.0,0.0,0.0,-6.2,-2.3,-11.8,2.7,5.4,西北西,10.7,北西,西,7.8,0.0,0.0
6,0.5,0.5,0.5,-3.3,-0.8,-7.6,3.9,8.7,西北西,17.4,西北西,北北西,3.8,2.0,2.0
7,0.0,0.0,0.0,-3.2,0.3,-11.4,2.2,8.7,北西,16.9,北北西,北北西,7.4,1.0,1.0
8,0.0,0.0,0.0,-5.5,-2.4,-12.4,1.0,2.4,北北東,4.6,北北東,北北東,0.0,0.0,0.0
9,0.0,0.0,0.0,-3.3,-0.9,-5.8,1.9,4.4,北西,10.1,北北東,北,5.0,0.0,0.0
10,0.0,0.0,0.0,-4.8,-1.4,-11.1,1.5,3.7,北北西,7.8,北西,北北西,3.1,0.0,0.0
11,4.0,2.5,1.0,-4.6,1.2,-12.2,1.1,3.2,南南東,5.8,南南東,西,4.3,6.0,6.0
12,0.0,0.0,0.0,-4.4,2.0,-13.6,0.9,2.7,北北東,5.0,北北東,北東,5.3,2.0,5.0
13,0.0,0.0,0.0,-3.2,-0.3,-10.1,0.9,2.2,南,3.3,北,西南西,0.1,1.0,4.0
14,0.0,0.0,0.0,-6.7,-1.0,-12.6,0.9,3.0,南南西,7.4,南,南南西,7.3,0.0,4.0
15,0.0,0.0,0.0,-7.1,-2.2,-14.2,0.9,2.3,東,4.1,東,北東,5.8,1.0,4.0
16,0.0,0.0,0.0,-5.7,-1.6,-10.9,1.2,4.5,西,7.3,西南西,西,6.0,0.0,4.0
17,0.0,0.0,0.0,-6.9,0.0,-14.4,1.3,3.9,南南西,5.4,南南西,南西,8.6,0.0,4.0
18,0.0,0.0,0.0,-8.8,-0.9,-15.7,0.6,2.4,東北東,4.1,東北東,西北西,8.8,0.0,4.0
19,0.0,0.0,0.0,-8.3,-1.5,-13.5,0.7,2.6,南西,4.4,南西,西北西,6.5,0.0,4.0
20,2.5,1.5,0.5,-4.9,-2.0,-10.8,1.5,3.8,北北東,7.4,北北東,北北東,0.0,11.0,15.0
21,0.0,0.0,0.0,-5.3,-1.8,-11.1,1.9,5.3,西北西,10.9,北西,西北西,4.7,5.0,14.0
22,0.0,0.0,0.0,-5.0,0.4,-10.7,2.0,5.5,西南西,7.4,南西,西南西,7.4,1.0,12.0
23,0.0,0.0,0.0,-1.8,1.0,-7.3,1.4,3.9,南西,6.6,北,東北東,7.5,0.0,11.0
24,0.0,0.0,0.0,-4.1,1.2,-8.2,2.2,7.5,北西,14.2,西北西,西,2.9,1.0,10.0
25,0.0,0.0,0.0,-8.0,-5.2,-11.0,3.1,6.6,西北西,11.7,西北西,北西,7.9,0.0,8.0
26,0.0,0.0,0.0,-9.6,-5.8,-13.3,2.8,5.6,西北西,11.4,西北西,西北西,8.7,4.0,11.0
27,0.0,0.0,0.0,-5.6,-3.2,-11.6,2.7,4.7,北北西,10.4,西北西,北西,4.3,0.0,9.0
28,0.0,0.0,0.0,-9.1,-1.6,-17.3,0.8,3.0,南南西,4.3,南南西,西南西,8.8,0.0,8.0
29,0.0,0.0,0.0,-5.2,0.0,-14.8,1.6,3.7,東南東,6.5,東,北東,2.3,1.0,10.0
30,37.5,4.5,1.0,0.2,1.1,-1.1,4.5,6.4,北東,13.5,北東,北東,0.0,21.0,30.0
31,6.5,1.5,0.5,0.1,0.8,-1.7,4.7,7.7,北北東,15.9,北東,北北東,0.0,8.0,26.0
