,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-6.6,-2.2,-9.8,2.3,6.0,西南西,10.7,西南西,南西,8.5,,
2,0.0,0.0,0.0,-6.2,-1.2,-10.3,2.1,4.9,西南西,8.2,西,南西,7.5,,
3,0.0,0.0,0.0,-4.3,0.4,-10.0,2.3,4.8,北西,9.6,西北西,南西,5.7,,
4,0.0,0.0,0.0,-6.7,-4.3,-10.1,2.9,5.9,北西,11.5,西北西,西北西,8.5,,
5,0.0,0.0,0.0,-5.6,-2.4,-9.9,2.7,5.4,西北西,10.9,西,西北西,8.2,,
6,0.5,0.5,0.5,-2.9,-0.5,-4.9,4.2,8.5,西北西,18.2,北西,北北西,2.9,,
7,0.0,0.0,0.0,-2.2,0.4,-10.2,4.5,8.9,北北西,17.6,北,北北西,8.1,,
8,0.0,0.0,0.0,-4.7,-1.2,-12.6,1.8,3.6,北東,5.4,北北東,北,0.0,,
9,0.0,0.0,0.0,-2.7,-0.7,-5.2,3.3,6.8,北北西,11.2,北北西,北北西,3.3,,
10,0.0,0.0,0.0,-4.2,-0.9,-10.3,2.7,5.5,北北西,10.1,北北西,北北西,2.4,,
11,5.0,4.0,1.5,-4.0,1.5,-12.0,2.2,4.8,南東,7.5,南東,西南西,3.3,,
12,0.0,0.0,0.0,-3.6,3.3,-11.6,2.4,4.8,北東,6.8,北東,西南西,3.4,,
13,1.5,1.5,0.5,-2.6,0.6,-6.5,1.6,3.3,北西,6.0,北北西,西南西,0.5,,
14,0.0,0.0,0.0,-5.6,0.0,-10.7,1.6,2.5,西南西,4.9,北北西,西南西,6.7,,
15,0.0,0.0,0.0,-5.4,-1.7,-11.8,1.7,2.9,北東,4.3,東北東,西,4.1,,
16,0.0,0.0,0.0,-5.0,-1.5,-10.5,1.6,3.5,西北西,6.4,北西,西南西,5.1,,
17,0.0,0.0,0.0,-5.4,0.8,-11.0,1.8,3.1,東,4.4,西北西,西南西,7.4,,
18,0.0,0.0,0.0,-5.3,-0.9,-11.4,1.6,2.6,西北西,4.7,北,西,8.8,,
19,0.0,0.0,0.0,-8.1,-1.4,-13.2,1.9,3.4,東南東,5.0,東南東,西南西,7.4,,
20,3.5,1.5,0.5,-4.4,-1.2,-11.1,2.8,5.7,北,9.4,北,北,0.0,,
21,0.0,0.0,0.0,-3.6,-1.8,-5.5,2.7,5.9,西北西,10.9,西北西,西北西,3.2,,
22,0.0,0.0,0.0,-3.0,0.8,-7.6,2.4,4.5,西北西,8.5,西北西,南西,7.2,,
23,0.0,0.0,0.0,-0.7,1.4,-3.5,2.8,5.0,北,8.5,北西,北西,8.4,,
24,0.0,0.0,0.0,-3.8,0.5,-7.3,3.0,7.1,西北西,16.0,西,北西,3.9,,
25,1.0,1.0,0.5,-7.5,-5.2,-10.0,4.3,8.0,西北西,15.0,西北西,西北西,2.9,,
26,3.0,1.5,0.5,-9.3,-6.2,-11.2,2.3,4.6,西北西,8.4,北北西,西,6.8,,
27,0.0,0.0,0.0,-5.4,-3.2,-9.2,3.0,7.7,北北西,14.3,北北西,北北西,2.2,,
28,0.0,0.0,0.0,-9.0,-1.2,-16.9,1.7,2.9,西南西,4.4,南南東,西南西,8.9,,
29,0.0,0.0,0.0,-5.0,-0.1,-15.2,2.5,4.9,東南東,7.2,東南東,東北東,3.6,,
30,24.0,3.5,1.0,0.2,1.0,-0.8,5.6,8.6,北東,13.5,東北東,北東,0.0,,
31,4.5,1.0,0.5,0.0,0.5,-1.2,6.7,10.3,北,18.0,北,北,0.0,,
