,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1022.9,1025.4,,,,18.1,20.6,15.7,65.0,54.0,4.7,7.0,北,12.1,北,3.6,,,晴一時曇,
2,1022.4,1024.9,,,,18.8,21.7,16.3,63.0,52.0,3.8,5.8,北,9.6,北,4.9,,,曇時々晴,
3,1020.6,1023.1,,,,17.1,22.0,12.0,70.0,51.0,2.8,5.2,北北東,9.1,北,6.0,,,晴,
4,1018.5,1020.9,1.5,1.0,1.0,18.9,23.1,11.7,69.0,52.0,4.2,6.4,北北西,12.3,北北西,5.5,,,晴後一時雨,
5,1020.9,1023.4,0.0,0.0,0.0,19.5,21.8,18.1,60.0,47.0,4.8,6.8,北北東,11.8,北北東,8.1,,,晴,
6,1021.4,1023.9,,,,20.1,22.9,18.0,59.0,49.0,4.6,7.6,東,11.0,北東,6.9,,,晴,
7,1018.3,1020.7,,,,21.8,24.5,19.5,64.0,54.0,4.4,6.7,東,10.9,南東,5.0,,,晴一時曇,
8,1016.3,1018.7,0.0,0.0,0.0,21.6,26.5,18.0,75.0,66.0,4.8,9.1,北北西,15.0,北北西,5.2,,,晴後曇一時雨,
9,1016.3,1018.8,,,,18.9,22.1,17.0,63.0,49.0,3.4,5.6,北北西,9.7,北,3.0,,,曇時々晴,
10,1014.6,1017.1,0.0,0.0,0.0,19.1,22.6,14.1,63.0,50.0,3.0,5.2,北西,8.7,北西,5.2,,,晴時々曇,
11,1012.8,1015.3,,,,16.9,22.7,11.4,79.0,52.0,1.1,3.2,西南西,5.3,西北西,9.5,,,快晴,
12,1011.3,1013.8,8.5,6.0,5.0,19.5,25.3,12.4,79.0,62.0,4.8,8.0,西南西,14.1,西,2.8,,,晴後雨一時曇,
13,1015.3,1017.8,0.0,0.0,0.0,18.8,20.1,17.8,63.0,56.0,5.3,7.2,北東,12.0,北東,0.1,,,雨時々曇,
14,1016.1,1018.6,0.0,0.0,0.0,19.9,22.5,17.7,72.0,64.0,4.9,7.9,北東,13.0,北東,3.9,,,曇時々晴一時雨,
15,1018.2,1020.7,,,,19.3,22.5,15.1,72.0,59.0,4.1,6.3,北北東,10.3,北,5.9,,,晴一時曇,
16,1015.7,1018.1,0.0,0.0,0.0,20.8,23.5,18.2,72.0,62.0,4.8,8.7,南東,14.9,南東,6.3,,,晴一時曇,
17,1010.1,1012.5,9.5,8.5,4.5,21.3,24.4,18.2,81.0,68.0,6.0 ),10.4,南,15.5,西,7.9,,,晴,
18,1013.6,1016.1,0.0,0.0,0.0,18.5,20.7,17.6,58.0,44.0,6.6,8.8,北西,16.1,北北西,4.9,,,晴時々曇,
19,1016.4,1018.9,0.0,0.0,0.0,18.0,21.0,16.5,58.0,45.0,3.7,5.5,北北西,9.3,北北西,3.0,,,曇後晴時々雨,
20,1018.5,1021.0,0.0,0.0,0.0,19.2,21.9,17.2,61.0,49.0,3.8,5.6,北西,9.1,北北西,6.1,,,晴後一時曇,
21,1021.6,1024.1,0.0,0.0,0.0,18.6,21.9,14.1,66.0,52.0,3.2,5.9,北北東,9.6,北,5.7,,,晴一時曇,
22,1021.5,1024.0,,,,19.6,23.3,12.5,75.0,59.0,3.4,6.6,東,9.7,東,7.8,,,晴,
23,1019.2,1021.6,0.0,0.0,0.0,22.9,26.0,19.1,80.0,67.0,3.4,6.8,南南東,9.3,南南東,8.7,,,晴,
24,1019.0,1021.5,,,,22.5,26.2,17.8,86.0,63.0,2.0,4.0,南東,6.5,南東,2.2,,,曇時々晴,
25,1017.5,1019.9,,,,23.1,26.0,17.6,81.0,63.0,3.9,6.5,東南東,10.1,東南東,6.8,,,薄曇時々晴,
26,1011.4,1013.8,61.5,40.5,20.0,23.0,25.8,21.1,90.0,75.0,5.4,9.1,南南東,13.9,南東,0.7,,,雨後曇,
27,1006.0,1008.4,7.5,7.5,7.0,22.6,25.4,20.2,85.0,66.0,6.7,12.4,南南東,17.5,南南東,2.8,,,晴時々雨,
28,1011.0,1013.4,0.0,0.0,0.0,20.0,22.5,18.5,66.0,54.0,5.3,8.0,北西,12.6,北西,5.1,,,晴時々曇,
29,1011.8,1014.3,3.0,1.0,0.5,18.2,20.4,15.7,70.0,61.0,4.5,7.0,北西,11.3,北西,0.0,,,曇後雨,
30,1010.5,1013.0,0.0,0.5,0.0,17.1,19.4,15.4,59.0,45.0,7.4,9.8,北西,17.7,北北西,3.4,,,晴後曇,
31,1013.7,1016.2,1.0,1.0,1.0,16.3,19.7,13.8,62.0,45.0,7.0,11.1,北西,18.4,北西,7.5,,,晴一時雨,
