,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,18.5,20.6,16.4,8.5,12.4,北北東,13.9,北北東,北東,,,
2,0.0,0.0,0.0,19.3,22.4,16.4,4.6,7.5,北東,9.8,北東,東北東,,,
3,0.0,0.0,0.0,19.1,23.7,15.5,2.5,4.4,東北東,6.2,東北東,東南東,,,
4,0.0,0.0,0.0,19.5,23.8,16.0,2.9,4.4,東北東,6.7,東,東南東,,,
5,0.0,0.0,0.0,20.8,24.6,17.5,3.4,5.3,東南東,7.2,東南東,東南東,,,
6,3.5,2.0,2.0,21.9,24.5,19.9,4.7,7.9,南東,11.3,南南東,南東,,,
7,0.0,0.0,0.0,22.3,25.4,19.2,4.4,8.2,南南東,10.8,南南東,南南東,,,
8,0.5,0.5,0.5,20.2,22.5,18.3,8.4,15.0,北北東,17.5,北北東,北北東,,,
9,0.0,0.0,0.0,19.3,21.8,16.6,5.6,9.6,北北東,11.8,北東,北東,,,
10,0.0,0.0,0.0,20.9,23.8,19.1,4.2,6.8,東,9.8,東南東,東,,,
11,6.5,6.5,2.5,21.7,25.3,19.8,6.2,10.6,北北西,12.3,北,南南東,,,
12,2.0,1.0,0.5,19.1,21.1,17.0,12.7,16.3,北,19.0,北,北北東,,,
13,0.5,0.5,0.5,19.5,21.9,16.9,8.0,12.4,北北東,15.9,北北東,北東,,,
14,0.0,0.0,0.0,19.5,23.4,16.7,7.9,15.4,北北東,18.0,北北東,北北東,,,
15,3.5,3.0,2.5,20.3,23.8,18.2,8.0,14.8,北北東,17.5,北東,北東,,,
16,9.5,4.5,2.5,21.2,22.8,19.6,6.5,9.8,北,12.3,北,北北西,,,
17,0.0,0.0,0.0,19.4,21.6,16.6,11.9,15.8,北北東,18.5,北北東,北北東,,,
18,0.5,0.5,0.5,17.6,19.7,16.1,9.9,14.4,北,17.0,北,北北東,,,
19,0.0,0.0,0.0,18.6,21.0,17.5,5.9,9.8,北北東,11.3,北北東,北北東,,,
20,0.0,0.0,0.0,18.5,19.9,17.8,9.1,11.3,北,13.4,北,北北東,,,
21,0.0,0.0,0.0,19.2,21.7,17.5,4.9,9.0,北北東,11.3,北北東,北北東,,,
22,17.5,9.5,3.5,21.9,24.2,20.3,5.0,8.8,南南東,12.3,南南東,南南東,,,
23,0.0,0.0,0.0,23.2,25.9,20.3,4.8,8.3,南南東,11.3,南南東,南南東,,,
24,0.0,0.0,0.0,22.5,25.9,18.6,3.2,5.9,北東,7.7,東北東,南東,,,
25,0.0,0.0,0.0,22.8,26.3,19.9,3.4,7.7,東南東,10.3,東南東,東南東,,,
26,19.0,5.0,3.0,21.8,23.0,20.0,7.2,17.8,北北西,20.6,北北西,北北西,,,
27,0.0,0.0,0.0,19.1,21.4,17.8,13.1,17.2,北北西,20.1,北北西,北,,,
28,3.0,1.0,1.0,17.3,18.9,15.5,10.4,13.2,北,15.4,北,北北東,,,
29,0.5,1.5,0.5,15.6,16.9,14.4,12.4,14.5,北,19.5,北,北,,,
30,0.0,0.0,0.0,15.2,16.8,14.4,12.5,14.5,北,19.0,北北東,北,,,
31,0.0,0.0,0.0,15.3,17.1,14.4,10.1,13.5,北,17.0,北,北北東,,,
