,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1025.4,1027.2,0.0,0.0,0.0,17.9,20.7,16.6,76.0,63.0,5.5,8.8,北北東,13.7,北北東,1.4,,,曇一時雨,晴一時曇
2,1024.0,1025.7,,,,19.0,23.0,15.7,69.0,52.0,3.5,5.3,北東,8.5,北東,8.4,,,晴,晴一時曇
3,1021.8,1023.6,0.0,0.0,0.0,20.1,23.7,17.1,68.0,54.0,3.6,6.4,東,9.8,東南東,8.9,,,晴一時曇,晴
4,1020.2,1022.0,,,,20.3,24.3,17.1,70.0,54.0,3.4,5.4,東,8.0,東,9.0,,,晴,晴
5,1021.1,1022.8,,,,21.2,24.9,17.9,77.0,62.0,4.0,6.7,東,10.2,東,7.6,,,晴,曇時々晴一時雨
6,1019.8,1021.5,0.0,0.0,0.0,22.8,25.1,21.0,68.0,57.0,5.6,8.0,東,11.4,東,9.1,,,晴時々薄曇,晴一時曇
7,1016.4,1018.1,0.0,0.0,0.0,23.5,25.7,21.6,78.0,71.0,5.1,8.9,南東,12.3,南東,3.6,,,曇時々晴一時雨,晴
8,1018.7,1020.4,2.0,2.0,1.5,19.8,23.5,17.0,81.0,61.0,4.2,9.9,北東,14.1,北東,3.4,,,晴時々曇一時雨,晴後曇
9,1018.4,1020.1,,,,19.0,21.6,17.0,69.0,58.0,3.9,5.9,北東,9.1,東北東,3.0,,,曇後時々晴,晴後曇
10,1015.7,1017.4,,,,20.5,23.6,18.4,69.0,56.0,4.0,7.1,東,10.1,東,8.6,,,晴,晴
11,1013.2,1014.9,0.5,0.5,0.5,22.0,24.8,19.7,73.0,62.0,4.2,6.0,南,8.5,北,9.4,,,晴,曇一時雨
12,1013.7,1015.4,0.0,0.0,0.0,19.5,21.3,17.8,78.0,71.0,5.5,8.4,北,14.5,北北東,0.2,,,雨時々曇一時晴,曇時々雨
13,1015.8,1017.5,0.5,0.5,0.5,19.5,22.3,16.0,70.0,56.0,5.9,9.4,東北東,13.0,東北東,4.5,,,曇時々雨後晴,晴
14,1016.9,1018.6,1.0,1.0,1.0,20.9,25.0,17.7,70.0,54.0,3.5,9.1,北北東,13.9,北北東,6.2,,,晴後曇,雨時々曇
15,1018.1,1019.8,1.5,1.0,1.0,20.2,22.5,17.5,80.0,70.0,6.5,8.9,北北東,14.7,北北東,0.7,,,曇時々雨,曇時々晴一時雨
16,1015.3,1017.0,3.0,2.5,2.0,22.1,25.3,20.7,78.0,68.0,5.7,9.4,南南東,12.8,東南東,3.6,,,晴後曇時々雨,曇後晴
17,1015.6,1017.3,0.0,0.0,0.0,19.8,22.6,17.7,75.0,66.0,5.2,9.8,北,14.9,北北東,7.1,,,晴時々曇一時雨,曇時々雨
18,1017.8,1019.6,0.0,0.0,0.0,17.6,19.7,16.7,70.0,58.0,5.2,7.5,北北東,12.1,北東,0.3,,,曇一時雨,曇
19,1018.1,1019.9,0.0,0.0,0.0,18.5,21.9,16.4,72.0,57.0,3.2,5.0,北東,7.1,北東,1.4,,,曇一時晴,曇
20,1020.2,1022.0,0.0,0.0,0.0,18.0,19.9,17.1,80.0,68.0,3.6,5.7,北,9.3,北北東,0.0,,,曇時々雨,曇後晴
21,1022.6,1024.3,,,,19.4,23.3,14.9,68.0,55.0,3.3 ),6.5 ),北東 ),8.7 ),北東 ),8.7,,,晴一時曇,晴一時曇
22,1020.1,1021.8,,,,22.6,24.5,20.5,73.0,67.0,5.5,7.7,南東,10.3,南東,0.3,,,曇,曇後晴
23,1018.2,1019.9,,,,23.4,25.3,21.7,76.0,67.0,4.2,8.7,南南東,10.0,南南東,7.8,,,薄曇後一時晴,晴
24,1018.4,1020.1,,,,22.9,26.9,19.3,77.0,54.0,2.8,4.9,東南東,7.2,東,10.5,,,晴,晴後曇
25,1016.2,1017.9,0.5,0.5,0.5,23.0,25.1,21.6,86.0,66.0,3.6,5.8,南東,9.1,東南東,0.3,,,曇一時雨,曇時々雨
26,1008.5,1010.2,11.5,4.5,2.5,22.9,25.0,21.4,94.0,88.0,5.4,10.2,北西,15.8,西北西,0.7,,,雨時々曇,晴時々曇一時雨、雷を伴う
27,1010.4,1012.1,0.0,0.0,0.0,19.6,21.7,18.3,72.0,65.0,8.2,11.6,北西,17.8,北,1.1,,,曇一時晴,曇後一時雨
28,1014.0,1015.7,10.5,4.5,2.0,17.5,18.8,15.9,82.0,64.0,4.0,6.2,北北東,10.1,北北東,0.0,,,雨時々曇,雨一時曇
29,1015.8,1017.6,2.5,6.0,1.0,15.8,16.6,14.8,77.0,61.0,6.0,8.4,北,13.0,北,0.0,,,曇時々雨,曇一時雨
30,1017.0,1018.8,,,,14.9,17.2,14.0,52.0,40.0,7.2,10.4,北北西,15.6,北北西,4.9,,,晴一時曇,晴時々曇
31,1020.2,1022.0,,,,14.6,17.1,13.1,52.0,41.0,5.4,8.2,北,13.4,北,3.0,,,曇後晴,晴一時曇
