,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,16.8,18.4,15.6,6.5,9.0,北,12.3,北,北,,,
2,0.0,0.0,0.0,18.1,21.0,16.9,3.9,5.8,北北東,7.7,北東,北北東,,,
3,0.0,0.0,0.0,18.2,21.0,15.1,2.6,4.2,北東,6.2,北東,北東,,,
4,0.0,0.0,0.0,19.3,22.0,16.7,3.6,6.4,北北東,8.7,北東,北北東,,,
5,0.0,0.0,0.0,19.6,21.6,18.3,5.4,7.9,北東,10.8,北北東,北東,,,
6,0.0,0.0,0.0,20.3,23.2,18.1,4.0,5.2,南東,7.7,南南東,東南東,,,
7,0.0,0.0,0.0,22.3,24.8,20.5,5.9,8.2,南南東,10.8,南,南南東,,,
8,0.0,0.0,0.0,18.7,22.4,16.1,7.7,11.5,北北西,15.4,北北西,北,,,
9,0.0,0.0,0.0,17.3,18.8,16.2,4.5,7.9,北,12.3,北,北,,,
10,0.0,0.0,0.0,17.7,19.8,14.6,2.2,4.4,北,6.2,北,北,,,
11,2.5,2.5,2.5,19.1,23.5,11.9,3.8,6.2,南西,9.8,南西,西南西,,,
12,0.5,0.5,0.5,18.0,20.1,16.3,8.1,11.9,北,14.9,北,北,,,
13,0.0,0.0,0.0,17.7,19.4,16.1,6.6,10.7,北北東,14.4,北北東,北東,,,
14,0.0,0.0,0.0,18.9,22.6,16.2,5.1,13.5,北北東,17.0,北,東南東,,,
15,0.0,0.0,0.0,18.1,20.9,16.2,6.6,10.6,北,14.4,北,北北東,,,
16,13.0,7.0,2.5,19.7,22.9,18.2,4.8,7.8,南南東,10.8,南南東,東南東,,,
17,6.5,3.5,2.0,17.8,20.4,15.4,6.7,13.0,北,16.5,北,北,,,
18,0.0,0.0,0.0,15.6,16.6,14.9,7.3,10.5,北,14.9,北,北,,,
19,0.0,0.0,0.0,15.8,17.9,14.4,3.6,6.6,北北西,9.3,北,北北西,,,
20,0.0,0.0,0.0,16.5,18.1,14.5,2.7,5.3,北北西,7.7,北北西,北北西,,,
21,0.0,0.0,0.0,17.8,20.4,16.5,4.5,8.8,北,11.3,北,北北東,,,
22,0.0,0.0,0.0,20.1,23.0,17.4,4.4,5.8,南,8.2,南,南南東,,,
23,0.0,0.0,0.0,21.1,24.8,17.1,4.3,6.8,南,8.7,南,南,,,
24,0.0,0.0,0.0,20.4,24.6,15.9,1.8,3.9,南南東,5.7,南,南,,,
25,0.0,0.0,0.0,22.0,26.0,19.3,2.1,3.6,南東,5.1,南南東,東,,,
26,4.5,4.5,3.5,22.0,23.1,21.2,4.5,8.4,東,11.8,東南東,東北東,,,
27,9.5,10.5,3.0,20.0,22.2,18.0,7.2,9.9,北西,14.9,北西,北西,,,
28,0.0,0.0,0.0,17.1,18.3,15.2,5.8,8.0,北北西,11.3,北北西,北北西,,,
29,2.0,1.5,0.5,15.7,17.8,14.5,6.7,9.5,北北西,13.9,北北西,北北西,,,
30,0.0,0.0,0.0,13.9,15.6,12.8,8.6,11.1,北西,17.5,北西,北西,,,
31,1.5,1.0,0.5,13.9,17.2,11.0,7.8,11.9,北北西,17.0,北西,北北西,,,
