,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.4,9.0,0.0,2.2,4.4,西,8.1,北北西,西北西,3.5,,
2,0.0,0.0,0.0,4.7,11.6,0.2,1.4,4.3,西,8.1,西,東南東,6.1,,
3,0.0,0.0,0.0,5.7,12.0,0.3,1.7,5.3,西,10.3,西北西,西,2.5,,
4,1.5,1.0,1.0,6.7,9.9,3.9,1.6,6.1,西北西,11.2,西北西,北西,1.3,,
5,4.0,1.5,1.0,4.7,7.7,2.6,3.2,6.0,北北西,12.3,西,北西,0.7,,
6,0.0,0.0,0.0,4.7,10.4,-1.2,1.5,3.9,北北西,7.9,北北西,北北西,6.2,,
7,7.5,2.0,0.5,4.1,6.2,0.8,0.4,1.9,東南東,3.3,東,東南東,0.0,,
8,12.0,7.0,2.5,10.3,16.6,6.0,3.0,8.0,西南西,17.4,西,西南西,3.0,,
9,0.5,0.5,0.5,8.5,11.9,5.9,2.5,7.2,北北西,14.0,北,北西,2.6,,
10,1.5,1.0,0.5,6.0,11.5,0.2,2.2,5.2,西北西,10.1,西北西,北西,5.2,,
11,0.0,0.0,0.0,4.2,12.6,-0.8,0.8,2.8,西,5.3,西北西,東南東,7.5,,
12,0.0,0.0,0.0,4.2,8.6,0.5,0.5,1.7,東南東,2.6,南南東,東南東,0.6,,
13,0.0,0.0,0.0,5.9,10.8,1.2,1.6,4.2,西,7.8,西,西,2.4,,
14,1.0,1.0,0.5,4.5,9.8,-1.4,0.8,2.2,西北西,3.7,北西,東南東,4.2,,
15,1.5,1.0,1.0,4.6,8.2,1.6,1.6,6.2,西,10.5,北北東,南東,3.7,,
16,0.0,0.0,0.0,3.4,9.8,0.0,0.9,2.4,北北東,4.0,北,東南東,4.8,,
17,0.0,0.0,0.0,4.4,8.4,-0.1,0.6,1.9,西北西,3.0,西,東南東,0.3,,
18,0.0,0.0,0.0,5.8,10.0,1.5,2.5,5.7,北西,11.4,北北西,北西,5.1,,
19,0.0,0.0,0.0,5.8,11.0,-0.3,1.1,3.4,西北西,5.4,北西,西北西,5.4,,
20,0.0,0.0,0.0,6.0,11.3,-0.1,2.0,5.5,西,9.1,西,東,4.3,,
21,1.0,0.5,0.5,4.9,8.5,-0.9,2.9,5.4,北北西,10.5,北北西,北西,1.4,,
22,0.0,0.0,0.0,3.6,9.2,-2.5,0.7,1.7,東南東,3.1,東北東,東南東,2.2,,
23,21.5,3.5,1.0,7.2,9.6,5.0,0.4,3.1,北西,5.2,北西,北北西,0.0,,
24,0.0,0.0,0.0,9.2,13.2,6.4,2.4,6.3,北北西,10.8,北北西,北西,3.3,,
25,0.0,0.0,0.0,5.8,9.3,2.4,2.2,4.8,北北東,8.4,北北西,北,2.8,,
26,0.0,0.0,0.0,7.1,12.4,4.5,1.1,3.7,北北西,6.6,北北西,東南東,1.9,,
27,1.0,1.0,0.5,6.7,10.9,4.3,1.7,5.3,南東,14.3,南南東,南東,0.0,,
28,4.5,1.5,0.5,10.8,14.0,7.5,2.5,4.8,南東,13.9,南南東,南南東,1.6,,
29,6.0,2.0,0.5,9.6,13.7,5.3,1.4,4.7,北北西,9.0,北北西,北西,0.2,,
30,1.0,0.5,0.5,6.9,12.2,3.2,2.7,5.9,北北西,10.7,北北西,西,3.1,,
31,3.5,2.0,1.0,4.0,7.1,2.0,3.6,6.5,西北西,12.0,北西,北西,2.8,,
