,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-0.2,7.4,-4.9,1.2,3.5,西,5.9,西,南西,8.4,0.0,0.0
2,0.0,0.0,0.0,1.5,9.1,-4.3,1.0,3.0,北西,6.1,北,西南西,8.0,0.0,0.0
3,0.0,0.0,0.0,5.2,9.7,1.2,1.1,3.5,西北西,8.0,西,西,3.1,0.0,0.0
4,0.0,0.0,0.0,4.0,10.0,-2.8,1.4,3.8,西,9.0,西,西北西,8.1,0.0,0.0
5,0.0,0.0,0.0,3.2,12.0,-2.6,1.2,3.1,南,5.2,南南西,南南西,7.3,0.0,0.0
6,0.0,0.0,0.0,6.1,13.3,-1.2,1.0,3.1,西北西,5.0,南西,北北東,0.8,0.0,0.0
7,0.0,0.0,0.0,14.0,19.2,9.7,2.3,3.9,南東,9.7,南,南,0.5,0.0,0.0
8,45.0,21.5,6.0,9.6,17.9,4.8,3.8,8.5,西,17.9,西北西,西北西,0.1,0.0,0.0
9,0.0,0.0,0.0,7.2,10.2,5.2,1.6,3.7,西北西,7.7,北西,北西,5.2,0.0,0.0
10,0.0,0.0,0.0,5.8,12.3,0.9,1.5,3.9,西,5.7,西,西南西,7.7,0.0,0.0
11,0.0,0.0,0.0,5.2,11.9,0.0,0.8,2.7,西北西,4.9,西南西,南西,3.1,0.0,0.0
12,0.5,0.5,0.5,5.4,7.0,4.1,2.9,5.9,西北西,12.5,北西,西北西,0.0,0.0,0.0
13,0.0,0.0,0.0,4.1,7.1,-0.1,3.5,6.5,西北西,11.7,西北西,西北西,5.2,0.0,0.0
14,2.0,1.0,0.5,1.2,3.6,-1.8,0.9,3.0,西南西,4.7,西,南西,0.0,0.0,0.0
15,0.0,0.0,0.0,1.9,5.7,-2.7,1.2,3.3,西,6.9,西,西北西,3.4,0.0,0.0
16,0.0,0.0,0.0,2.8,8.0,-0.9,0.7,2.7,南東,5.8,南南東,南西,0.0,0.0,0.0
17,0.5,0.5,0.5,5.6,10.6,2.5,1.5,3.5,西南西,7.2,北東,西北西,3.9,0.0,0.0
18,0.0,0.0,0.0,4.7,9.5,0.1,1.4,4.1,西南西,7.5,西,西北西,3.1,0.0,0.0
19,0.0,0.0,0.0,3.5,8.1,-1.3,1.1,3.9,西,10.0,西,西北西,1.2,0.0,0.0
20,0.0,0.0,0.0,6.0,7.5,4.1,1.8,3.6,西,8.5,西,西北西,0.2,0.0,0.0
21,0.0,0.0,0.0,4.5,11.9,-0.9,1.5,4.1,西北西,7.1,西北西,西北西,8.5,0.0,0.0
22,3.5,2.0,0.5,5.8,11.0,-1.2,1.7,3.8,南西,5.8,南,南南西,0.0,0.0,0.0
23,25.0,12.5,3.5,14.0,17.7,10.4,2.2,5.0,西,10.1,西,西北西,4.2,0.0,0.0
24,0.0,0.0,0.0,11.9,14.1,10.4,1.7,4.3,南南東,8.9,南,南南東,0.0,0.0,0.0
25,28.0,6.0,2.0,7.8,10.6,6.1,2.0,4.6,南,7.7,南,南南東,0.0,0.0,0.0
26,7.5,1.5,0.5,7.3,9.4,6.1,3.0,6.0,南,12.2,南,南東,0.0,0.0,0.0
27,17.0,5.0,2.0,9.2,15.1,6.4,4.9,9.1,東,14.8,南東,東南東,0.9,0.0,0.0
28,0.5,0.5,0.5,8.3,10.7,6.3,1.7,4.8,西北西,9.3,西南西,北北西,0.5,0.0,0.0
29,0.0,0.0,0.0,7.6,11.3,4.0,1.4,4.8,西,7.1,西,南西,4.0,0.0,0.0
30,0.0,0.0,0.0,6.1,9.5,3.0,1.9,4.1,西,8.3,北,西北西,1.6,0.0,0.0
31,0.0,0.0,0.0,4.3,8.1,0.7,2.2,5.1,西,8.4,西,西,2.2,0.0,0.0
