,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.5,8.6,-5.1,1.6,3.6,北北西,5.1,北西,東北東,,,
2,0.0,0.0,0.0,5.3,10.6,-1.0,1.6,4.5,東,5.7,北北西,東北東,,,
3,0.0,0.0,0.0,6.6,12.2,0.9,1.5,4.0,南西,6.2,西南西,東北東,,,
4,0.0,0.0,0.0,6.0,12.5,0.4,1.8,4.4,西,6.2,西,東北東,,,
5,0.0,0.0,0.0,6.5,14.0,-1.8,2.4,5.3,東北東,7.7,北東,東北東,,,
6,0.0,0.0,0.0,9.7,14.7,1.3,1.2,2.8,東北東,5.1,北北東,北,,,
7,0.0,0.0,0.0,15.4,18.9,9.7,1.5,6.3,南南西,11.8,南,東南東,,,
8,16.0,9.5,4.5,11.0,18.8,3.9,5.3,9.6,西南西,15.4,西南西,西,,,
9,0.0,0.0,0.0,8.2,11.8,4.9,1.2,3.2,南南西,5.1,南南西,南,,,
10,0.0,0.0,0.0,7.5,13.6,2.1,2.1,5.1,北東,9.3,北,東北東,,,
11,0.0,0.0,0.0,7.7,13.4,1.3,1.2,2.7,西,6.2,北北西,東北東,,,
12,0.0,0.0,0.0,6.7,8.9,2.6,2.0,5.8,西,8.7,西,西南西,,,
13,0.0,0.0,0.0,4.9,9.4,0.3,1.9,4.8,西北西,7.7,西,北西,,,
14,2.0,1.0,0.5,4.0,6.1,0.1,1.8,4.3,東北東,6.2,北北東,東北東,,,
15,0.0,0.0,0.0,3.2,8.3,-2.3,1.4,3.0,東北東,4.6,北北西,東北東,,,
16,0.0,0.0,0.0,4.9,8.2,0.4,1.1,2.4,北北東,5.1,北北西,北北東,,,
17,0.0,0.0,0.0,7.4,12.7,1.7,2.2,5.7,北東,7.7,北東,北東,,,
18,0.0,0.0,0.0,6.4,12.5,0.7,2.0,5.5,西南西,7.7,西,東北東,,,
19,0.0,0.0,0.0,6.1,10.7,0.3,1.8,4.4,西北西,6.7,北西,西北西,,,
20,0.0,0.0,0.0,6.7,10.4,0.8,1.3,4.2,西北西,7.2,西,西北西,,,
21,0.0,0.0,0.0,6.1,13.1,-0.4,1.4,3.5,南南西,5.1,北北東,南,,,
22,2.5,1.5,0.5,8.0,12.4,0.6,1.3,3.6,北東,6.7,北北西,北東,,,
23,20.0,9.0,2.0,15.3,20.4,11.3,2.4,5.8,西南西,7.7,南西,南西,,,
24,0.0,0.0,0.0,13.4,17.7,11.3,2.8,7.2,東北東,9.8,東北東,北東,,,
25,19.0,5.0,1.5,10.0,13.0,7.6,5.0,9.7,北東,12.9,北東,北東,,,
26,4.5,1.5,0.5,9.3,12.7,7.6,5.2,11.9,東北東,16.5,北東,北東,,,
27,9.5,6.0,2.5,11.9,19.2,8.2,7.7,16.1,東,28.3,東南東,東北東,,,
28,0.5,0.5,0.5,9.6,14.4,6.8,2.0,5.2,北西,8.7,北西,北北西,,,
29,0.0,0.0,0.0,8.5,14.0,3.3,1.4,4.7,北西,7.2,北北西,北北西,,,
30,0.0,0.0,0.0,7.5,12.1,2.0,2.7,5.7,東北東,8.7,北北東,北東,,,
31,0.0,0.0,0.0,4.9,11.4,-1.9,1.8,5.2,北西,8.2,北西,北西,,,
