,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-0.6,7.5,-5.9,1.9,6.2,南西,9.2,南南西,南西,8.7,,
2,0.0,0.0,0.0,1.8,8.6,-4.5,2.0,5.7,南西,8.4,南西,南西,8.3,,
3,0.0,0.0,0.0,4.9,8.9,0.3,3.3,6.7,南西,10.3,南西,南西,4.6,,
4,0.0,0.0,0.0,2.5,9.5,-2.8,2.0,7.1,南西,9.9,南西,南西,7.2,,
5,0.0,0.0,0.0,2.5,11.2,-4.0,1.4,4.8,北北東,8.4,北,東北東,9.1,,
6,0.0,0.0,0.0,4.9,11.7,-2.1,1.0,4.1,東,6.9,西南西,東北東,0.1,,
7,1.0,0.5,0.5,11.0,16.0,6.7,1.3,4.3,南西,7.3,西南西,南南西,0.0,,
8,43.5,16.5,5.0,8.5,15.7,4.3,6.1,10.9,西南西,19.5,南西,西南西,2.3,,
9,0.0,0.0,0.0,6.1,9.4,4.1,3.5,6.8,南西,9.6,南西,南西,5.1,,
10,0.0,0.0,0.0,4.6,11.7,-0.6,1.2,2.8,東,5.2,東北東,東,8.9,,
11,0.0,0.0,0.0,4.5,11.5,-1.0,1.3,4.9,南南西,7.2,南南西,南西,3.5,,
12,0.0,0.0,0.0,4.3,5.7,2.7,2.8,6.0,西南西,11.1,西南西,西南西,0.2,,
13,0.0,0.0,0.0,2.7,7.4,-2.0,2.9,5.6,南西,10.2,西南西,南西,3.7,,
14,3.0,1.5,0.5,0.0,2.2,-3.6,0.6,1.8,東南東,2.8,南東,東南東,0.0,,
15,0.0,0.0,0.0,0.7,5.6,-3.1,1.8,5.7,南南西,8.1,南西,南西,2.8,,
16,0.0,0.0,0.0,2.2,7.4,-1.5,1.0,3.8,南西,6.1,西南西,東,0.2,,
17,0.0,0.0,0.0,4.6,10.0,0.5,2.1,5.4,北北西,8.0,北北西,東北東,4.6,,
18,0.0,0.0,0.0,3.7,8.3,-2.2,2.2,5.8,南西,9.4,南西,南西,3.8,,
19,0.0,0.0,0.0,3.0,8.4,-2.5,2.1,6.0,南西,10.1,南西,南西,0.9,,
20,0.0,0.0,0.0,4.9,7.2,1.3,3.4,6.7,南西,12.9,西南西,南西,0.5,,
21,0.0,0.0,0.0,3.4,11.0,-2.3,1.9,4.8,南西,7.4,北北東,東北東,9.2,,
22,6.5,2.5,1.0,3.0,6.3,-2.9,0.6,2.4,北北西,3.6,西北西,東北東,0.0,,
23,23.5,8.0,2.0,12.4,16.5,6.2,2.9,5.6,南西,9.6,南西,西南西,3.9,,
24,0.0,0.0,0.0,11.0,12.6,9.3,2.5,4.8,北北東,7.8,北北東,東北東,0.0,,
25,22.5,5.0,1.5,6.7,9.4,5.1,3.3,5.7,東,10.3,東,東北東,0.0,,
26,7.5,2.0,0.5,6.2,8.0,5.2,3.3,5.4,東北東,10.4,東北東,東北東,0.0,,
27,23.5,5.0,2.5,7.5,11.7,5.2,4.9,9.2,東北東,16.3,東北東,東北東,1.0,,
28,0.0,0.5,0.0,7.6,11.3,5.6,3.1,5.8,南西,9.4,南西,南西,0.8,,
29,1.5,1.5,0.5,6.4,9.9,4.1,1.6,5.2,北,8.6,東北東,北東,2.1,,
30,0.0,0.0,0.0,5.0,8.6,2.5,2.8,7.0,北,11.2,北,北東,4.1,,
31,0.0,0.0,0.0,3.2,8.5,-0.3,2.1,6.2,北北西,10.2,北北西,東,2.7,,
