,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,8.5,4.5,1.0,3.3,7.4,0.4,1.6,5.7,南西,9.4,南西,南,0.4,0.0,0.0
2,4.5,2.0,1.0,4.2,6.6,2.8,0.6,2.0,南西,3.1,南西,南,0.3,0.0,0.0
3,9.0,2.0,1.0,5.2,8.0,3.5,1.2,3.4,南南西,6.3,西,南西,1.1,0.0,0.0
4,3.0,1.5,0.5,4.0,7.6,1.9,0.7,2.4,北東,5.3,北北東,南南東,2.9,0.0,0.0
5,0.5,0.5,0.5,2.9,6.1,1.1,0.9,2.4,南西,5.7,南西,南西,1.1,0.0,0.0
6,0.0,0.0,0.0,4.1,9.2,0.1,0.6,1.9,北,4.2,北西,南,4.7,0.0,0.0
7,14.5,2.5,1.0,5.2,9.0,0.7,0.8,2.1,北東,5.6,南南西,南,0.0,0.0,0.0
8,29.0,8.0,2.5,10.1,16.6,6.5,3.9,10.1,南西,21.5,西南西,南西,1.4,0.0,0.0
9,10.0,3.5,1.0,6.6,10.3,3.1,1.2,3.3,南西,6.3,南南西,南西,3.9,0.0,0.0
10,1.0,1.0,0.5,4.8,9.4,1.7,0.7,2.0,北北東,5.3,東南東,南,4.8,0.0,0.0
11,8.5,6.0,2.5,5.7,11.0,1.9,1.7,8.0,南西,13.8,南西,南南西,5.6,0.0,0.0
12,8.5,2.0,1.0,5.4,7.0,3.1,1.0,5.0,南南西,11.7,南南西,南,0.0,0.0,0.0
13,14.0,3.5,1.5,5.3,7.3,4.0,1.7,5.4,南南西,12.3,南西,南西,0.1,0.0,0.0
14,8.0,2.0,1.0,5.3,8.1,3.1,1.7,4.8,南南西,8.9,南南西,南南西,1.2,0.0,0.0
15,8.5,3.5,1.5,3.9,6.6,0.2,1.0,3.4,南西,7.4,北北東,南南西,1.5,0.0,0.0
16,0.5,0.5,0.5,3.2,6.5,0.0,0.7,2.3,北北東,4.3,北,南東,1.2,0.0,0.0
17,2.0,0.5,0.5,3.8,5.7,0.9,1.0,3.0,北北東,7.2,北北東,北東,0.0,0.0,0.0
18,2.0,1.5,0.5,3.0,7.4,-0.3,1.2,3.8,北北東,7.7,北北東,北東,0.2,0.0,0.0
19,9.0,7.0,2.5,4.4,9.0,-0.8,1.5,6.2,南西,12.7,南西,南西,1.6,0.0,0.0
20,10.5,2.0,1.5,5.6,7.3,4.5,1.9,6.0,南南西,12.5,南西,南西,0.2,0.0,0.0
21,3.0,1.5,1.0,2.4,6.4,-1.8,1.1,4.5,南西,10.7,南西,南,2.7,0.0,0.0
22,0.0,0.0,0.0,4.2,10.1,-2.3,1.1,6.1,南南西,12.6,南,南西,3.3,0.0,0.0
23,5.5,2.0,0.5,8.1,9.9,6.3,0.6,3.4,南南西,6.8,南南西,南,0.0,0.0,0.0
24,1.0,1.0,0.5,5.8,11.5,-0.4,0.7,2.4,南西,7.9,北,南南西,1.3,0.0,0.0
25,0.0,0.0,0.0,2.5,6.3,-1.1,1.0,3.5,北北東,6.7,北,南南東,3.7,0.0,0.0
26,0.0,0.0,0.0,5.9,9.3,2.2,1.5,3.4,北北東,7.8,東北東,北東,7.2,0.0,0.0
27,4.5,2.5,1.0,6.4,9.0,1.6,2.6,4.5,北東,15.3,北,北東,0.0,0.0,0.0
28,12.0,2.5,1.0,9.1,12.8,6.6,1.3,3.9,南西,10.6,東北東,南西,3.0,0.0,0.0
29,8.0,1.5,1.0,9.4,12.2,7.1,1.8,4.3,南西,8.3,南西,南西,0.6,0.0,0.0
30,26.0,7.0,3.0,6.7,8.3,3.6,2.7,7.8,南西,14.8,西南西,南西,0.0,0.0,0.0
31,4.0,1.5,1.0,2.9,5.9,0.9,1.3,3.2,南西,5.3,北北西,南南西,2.7,0.0,0.0
