,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,21.5,4.5,2.0,2.6,5.1,-0.3,1.6,4.9,北西,8.6,西,西南西,0.2,0.0,0.0
2,5.5,1.5,0.5,4.1,6.2,2.7,1.0,2.9,西南西,6.5,南西,北北西,0.1,0.0,0.0
3,9.5,2.5,1.5,5.3,9.7,2.9,1.8,5.1,北北西,8.9,北西,北北西,2.3,0.0,0.0
4,7.0,4.0,2.0,4.6,6.9,1.4,2.3,4.5,北,8.3,北西,北北西,2.3,0.0,0.0
5,2.5,1.0,0.5,3.6,6.3,1.3,2.1,5.2,北西,9.6,西,北西,0.7,0.0,0.0
6,0.0,0.0,0.0,4.3,9.5,1.5,0.9,3.3,北北東,5.5,北東,北北東,2.0,0.0,0.0
7,12.5,3.0,1.0,5.0,8.4,0.1,1.8,3.2,東,7.4,東,東,0.0,0.0,0.0
8,29.0,6.5,1.5,10.8,15.1,7.3,5.0,11.3,西南西,19.7,南西,南西,1.0,0.0,0.0
9,10.0,3.0,1.0,7.1,10.2,4.6,2.1,5.5,北西,11.5,北西,西北西,4.7,0.0,0.0
10,0.5,2.5,0.5,4.9,9.2,0.6,1.6,4.1,北北西,6.6,北北西,北,4.4,0.0,0.0
11,11.5,6.0,2.0,4.9,12.0,-0.4,2.0,7.3,南西,13.6,南西,南西,5.2,0.0,0.0
12,9.0,3.0,1.0,4.7,8.1,0.6,1.5,3.1,北北西,5.1,北北西,北北東,0.0,0.0,0.0
13,30.5,5.0,1.5,5.2,7.5,2.8,2.2,5.5,北北東,8.4,北,北北東,0.0,0.0,0.0
14,3.0,2.0,0.5,5.5,10.1,1.3,1.9,5.4,西南西,9.8,西南西,西南西,2.2,0.0,0.0
15,7.0,2.5,1.0,4.6,7.3,1.7,2.6,8.6,北北西,14.1,北,西南西,0.3,0.0,0.0
16,5.0,1.0,0.5,2.9,4.8,0.6,1.5,3.1,北北西,4.9,北北西,北北西,0.2,0.0,0.0
17,2.5,2.0,1.0,3.4,6.9,-0.5,2.2,5.4,北,8.5,北北東,北北東,2.6,0.0,0.0
18,0.5,0.5,0.5,4.0,7.3,-0.5,2.1,5.7,北北東,9.0,北北東,北,0.7,0.0,0.0
19,3.0,2.0,1.0,5.2,8.7,-0.3,2.1,7.9,南西,16.7,西北西,北東,3.4,0.0,0.0
20,7.0,2.0,1.0,6.3,8.4,4.8,3.1,6.6,西南西,15.0,西,西南西,1.2,0.0,0.0
21,2.5,2.0,1.5,3.5,6.1,-1.2,3.1,6.9,北西,13.4,北北西,北西,1.8,0.0,0.0
22,0.0,0.0,0.0,3.8,9.2,-2.1,1.2,3.2,南西,5.9,南西,北北東,3.4,0.0,0.0
23,6.0,1.0,0.5,8.0,9.7,5.5,1.2,3.2,北北東,6.0,南西,北,0.0,0.0,0.0
24,1.0,0.5,0.5,5.4,12.0,-0.5,2.3,7.7,北北西,12.4,北,北北西,3.9,0.0,0.0
25,0.0,0.0,0.0,2.0,6.5,-2.0,1.3,3.9,北,6.3,北北東,北北東,5.6,0.0,0.0
26,0.0,0.0,0.0,4.3,9.2,0.3,1.9,4.7,北北東,7.6,北,北北東,7.0,0.0,0.0
27,0.0,0.0,0.0,5.8,9.3,-0.5,3.4,6.6,北東,13.2,東,北東,0.0,0.0,0.0
28,13.5,2.0,1.0,9.9,12.9,7.3,3.3,6.6,北北東,13.1,東北東,東北東,0.5,0.0,0.0
29,6.5,2.0,1.0,10.2,14.2,7.7,2.0,4.9,南南西,9.3,南西,西,1.3,0.0,0.0
30,25.0,4.5,2.5,7.4,9.3,4.7,3.7,6.6,南西,11.7,南西,北北西,0.0,0.0,0.0
31,6.5,1.5,1.0,3.4,6.3,0.8,2.8,5.9,北西,10.1,北北西,北北西,2.4,0.0,0.0
