,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,8.5,3.0,2.0,,,,,,,,,,,,
2,4.5,1.5,0.5,,,,,,,,,,,,
3,1.5,0.5,0.5,,,,,,,,,,,,
4,5.5,1.5,0.5,,,,,,,,,,,,
5,0.5,0.5,0.5,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,10.0,2.5,1.0,,,,,,,,,,,,
8,14.0,6.0,2.5,,,,,,,,,,,,
9,9.5,3.0,1.5,,,,,,,,,,,,
10,2.0,1.5,0.5,,,,,,,,,,,,
11,3.0,2.0,0.5,,,,,,,,,,,,
12,9.5,3.5,1.5,,,,,,,,,,,,
13,7.5,2.5,1.0,,,,,,,,,,,,
14,9.0,3.5,1.5,,,,,,,,,,,,
15,12.0,3.5,1.5,,,,,,,,,,,,
16,4.5,3.5,1.0,,,,,,,,,,,,
17,0.0,0.0,0.0,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,2.0,1.5,1.0,,,,,,,,,,,,
20,2.5,0.5,0.5,,,,,,,,,,,,
21,2.0,1.0,0.5,,,,,,,,,,,,
22,0.0,0.0,0.0,,,,,,,,,,,,
23,1.5,0.5,0.5,,,,,,,,,,,,
24,1.0,1.0,0.5,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,2.5,1.5,0.5,,,,,,,,,,,,
28,16.0,2.5,1.0,,,,,,,,,,,,
29,5.0,1.5,0.5,,,,,,,,,,,,
30,8.0,1.5,0.5,,,,,,,,,,,,
31,2.5,0.5,0.5,,,,,,,,,,,,
