,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-5.6,-4.3,-7.6,3.5,6.3,西北西,13.2,西,西北西,1.1,,
2,0.0,0.0,0.0,-3.6,-1.4,-5.7,3.6,6.3,西,12.5,西,西北西,2.9,,
3,1.0,0.5,0.5,-2.7,-0.3,-6.1,3.6,7.6,西北西,14.1,西,西北西,2.1,,
4,2.0,0.5,0.5,-5.2,-2.8,-6.9,3.4,5.7,西,12.0,西,西,2.8,,
5,1.0,1.0,0.5,-3.8,-1.9,-5.3,4.1,7.8,北西,14.3,北西,西,0.9,,
6,0.0,0.0,0.0,-0.8,1.2,-3.0,6.0,8.8,北北西,15.7,北西,北西,0.0,,
7,1.0,1.0,0.5,-0.7,1.7,-4.9,2.2,6.7,北北西,10.9,北北西,南東,0.1,,
8,0.5,0.5,0.5,-3.1,1.2,-6.7,3.0,5.4,東南東,8.1,東南東,東南東,0.0,,
9,0.0,0.0,0.0,-1.1,1.1,-5.5,3.7,5.8,北北西,10.3,北北西,北北西,4.3,,
10,0.0,0.0,0.0,-3.9,1.5,-8.4,1.6,3.5,南東,5.8,南東,東南東,8.4,,
11,0.0,0.0,0.0,-2.7,2.0,-8.6,2.3,4.5,東南東,7.4,東南東,東南東,2.5,,
12,0.0,0.0,0.0,-0.7,1.2,-3.5,1.9,5.5,北北西,9.0,北北西,北西,1.0,,
13,0.5,0.5,0.5,-2.8,0.1,-8.4,2.1,4.5,北北西,8.3,北西,西,5.4,,
14,0.0,0.0,0.0,-4.4,0.0,-8.7,1.3,4.2,北西,8.2,北北西,北西,2.5,,
15,4.0,1.0,0.5,-4.4,-2.4,-7.1,1.2,2.6,西,4.3,東南東,東南東,1.0,,
16,4.0,2.5,1.0,-3.9,-0.6,-7.6,1.8,5.5,北北西,8.9,北北西,西,5.1,,
17,0.0,0.0,0.0,-3.5,-0.4,-9.2,1.9,5.4,北北西,9.8,北西,西,4.9,,
18,0.0,0.0,0.0,-5.4,-0.4,-9.2,1.4,2.9,東南東,4.8,東南東,東南東,3.5,,
19,0.0,0.0,0.0,-5.8,-0.2,-11.2,2.2,3.4,東,5.6,東,東南東,4.7,,
20,13.5,3.5,1.5,-1.9,0.5,-6.6,2.1,5.8,北北西,10.2,北西,西北西,0.0,,
21,5.5,2.0,1.0,-2.2,0.1,-3.4,4.5,7.7,北西,14.6,北西,西,2.4,,
22,1.5,1.5,0.5,-0.6,3.9,-8.6,2.0,5.8,南東,9.7,南東,南東,4.4,,
23,0.5,1.5,0.5,-0.7,2.7,-8.9,2.0,6.2,北西,11.5,北北西,西北西,8.3,,
24,1.0,0.5,0.5,-5.0,0.0,-9.2,4.7,7.8,西北西,17.9,西北西,西北西,0.8,,
25,1.0,1.0,0.5,-5.4,-3.4,-7.3,5.3,9.3,北北西,16.3,北西,西北西,4.4,,
26,0.0,0.0,0.0,-3.9,-1.7,-6.1,3.4,7.2,北北西,12.5,北北西,西,4.3,,
27,0.0,0.0,0.0,-1.7,1.5,-8.9,3.4,7.5,北西,12.7,西北西,北西,1.5,,
28,0.0,0.0,0.0,-3.3,3.4,-10.7,4.0,6.7,東南東,11.0,南東,東南東,7.4,,
29,2.5,0.5,0.5,-0.6,1.3,-3.5,3.2,5.3,東南東,10.8,東南東,東南東,0.0,,
30,3.0,2.0,0.5,2.3,3.9,0.3,2.2,5.3,北北西,8.7,北北西,北北西,0.0,,
31,0.5,0.5,0.5,1.2,2.8,-2.5,3.1,5.9,北北西,10.1,北北西,北北西,0.0,,
