,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1009.3,1012.7,2.5,1.0,0.5,-5.8,-4.1,-7.3,76.0,55.0,1.8,3.8,北,7.2,北西,0.2,5.0,6.0,雪後曇一時晴,雪時々曇一時晴
2,1011.1,1014.5,0.0,0.0,0.0,-4.0,-2.4,-7.1,70.0,61.0,2.3,6.8,西北西,13.4,西北西,1.2,,4.0,曇時々雪一時晴,曇一時雪
3,1008.6,1011.9,0.5,0.5,0.5,-2.5,-0.1,-5.4,63.0,51.0,3.4,8.5,北西,14.5,西北西,1.6,1.0,4.0,曇時々雪,雪時々曇
4,1010.4,1013.8,1.5,0.5,0.5,-5.0,-1.8,-7.4,63.0,41.0,3.4,7.0,北北西,11.7,北北西,5.2,2.0,6.0,雪後晴,晴
5,1015.0,1018.4,2.0,1.0,0.5,-4.7,-1.8,-8.6,66.0,48.0,3.6,8.7,西北西,16.0,西北西,2.2,4.0,8.0,雪時々曇一時晴、あられを伴う,晴時々雪一時曇
6,1019.6,1022.9,1.5,0.5,0.5,-0.9,0.5,-3.2,65.0,49.0,7.1,11.5,北西,20.0,北西,1.1,2.0,7.0,雪時々曇,雪時々曇一時晴、あられを伴う
7,1023.0,1026.4,1.5,1.5,0.5,-0.9,1.0,-5.1,79.0,66.0,1.7,6.1,北北西,9.8,北西,0.3,1.0,8.0,曇,晴後曇
8,1008.1,1011.4,2.0,1.0,0.5,-2.7,1.6,-5.4,83.0,72.0,1.8,5.6,北西,8.5,北西,0.0,2.0,9.0,曇後雪,曇一時雪後晴
9,1009.5,1012.8,,,,-1.6,1.4,-4.9,67.0,51.0,3.3,6.9,北北西,11.4,北西,4.4,,9.0,晴後曇,曇一時晴
10,1015.7,1019.1,,,,-2.7,1.1,-5.8,62.0,40.0,1.2,2.7,東北東,4.0,東北東,8.2,,8.0,晴,晴後曇時々雪
11,1009.4,1012.7,0.0,0.0,0.0,-1.6,3.2,-4.9,81.0,70.0,1.7,4.7,東南東,6.2,南東,1.9,,8.0,曇時々雪後晴,晴後曇
12,1007.5,1010.8,0.0,0.0,0.0,-1.3,1.1,-4.1,79.0,62.0,1.6,5.1,北北西,7.9,北,0.8,,8.0,曇後雪,曇時々雪
13,1010.5,1013.8,0.0,0.0,0.0,-2.5,0.7,-5.2,65.0,39.0,2.1,7.1,北西,9.9,西北西,6.1,,8.0,曇時々晴,曇一時雪
14,1017.7,1021.0,0.0,0.0,0.0,-2.7,0.1,-5.0,66.0,49.0,1.4,5.0,北北西,8.4,北北西,2.0,,8.0,曇一時晴後時々雪,曇後雪
15,1017.5,1020.9,1.0,0.5,0.5,-3.4,-2.0,-5.1,80.0,57.0,1.4,3.8,北北西,5.9,北北西,1.5,9.0,16.0,雪一時曇,雪後時々晴
16,1014.9,1018.2,1.5,1.0,0.5,-2.9,-0.6,-6.6,73.0,49.0,1.9,6.5,北北西,9.5,北北西,6.0,4.0,20.0,晴後一時曇,曇後晴一時雪
17,1015.2,1018.5,0.0,0.0,0.0,-2.7,-0.2,-4.7,65.0,45.0,2.2,5.7,北西,10.0,西北西,3.3,,14.0,晴一時雪,晴時々曇
18,1016.3,1019.7,,,,-3.7,-0.6,-7.2,64.0,52.0,1.3,3.3,西,5.1,西北西,4.2,,12.0,曇後晴,薄曇
19,1011.5,1014.8,,,,-3.2,0.3,-8.8,70.0,58.0,1.4,4.1,南東,6.5,南南東,5.6,,10.0,薄曇時々晴,曇後時々雪
20,1005.8,1009.1,14.0,3.5,1.0,-0.8,1.1,-2.4,89.0,71.0,3.1,7.6,北西,12.9,西北西,0.0,26.0,35.0,雪,雪時々曇
21,1014.5,1017.9,6.0,1.5,0.5,-2.2,0.0,-3.2,72.0,51.0,4.9,10.1,北西,15.9,西北西,3.3,8.0,39.0,雪一時曇、あられを伴う,晴一時雪
22,1019.4,1022.8,0.5,0.5,0.5,0.1,3.8,-5.5,70.0,46.0,2.7,7.5,南南東,10.1,南南東,4.5,,34.0,曇時々晴,みぞれ一時曇後晴
23,1017.8,1021.1,0.5,0.5,0.5,0.3,3.0,-4.6,70.0,55.0,2.6,7.3,北西,12.7,北西,8.5,,28.0,晴,晴後一時曇
24,1016.9,1020.3,2.5,1.5,0.5,-3.9,-0.5,-6.4,68.0,50.0,5.2,10.7,北西,17.6,北西,1.4,7.0,30.0,雪後時々曇,雪一時曇
25,1024.1,1027.5,4.5,1.5,0.5,-5.4,-3.2,-7.1,68.0,43.0,4.7,7.7,西北西,14.0,西北西,3.7,6.0,34.0,雪時々晴一時曇,雪一時曇
26,1023.1,1026.5,1.5,1.0,0.5,-5.0,-1.4,-7.9,68.0,46.0,2.6,6.7,北西,10.7,北西,5.2,2.0,33.0,雪一時曇後晴,晴後曇時々雪
27,1023.8,1027.2,0.0,0.0,0.0,-1.0,1.7,-5.6,62.0,53.0,4.1,7.8,北西,13.3,西北西,4.1,,29.0,晴時々曇一時雪,快晴
28,1023.4,1026.8,,,,-2.0,2.9,-8.1,68.0,58.0,3.7,8.2,南南東,12.3,南東,7.3,,26.0,薄曇一時晴,曇後時々雪
29,1013.0,1016.3,5.0,1.0,0.5,0.4,2.1,-2.7,87.0,70.0,2.8,6.3,南南東,10.5,南南東,0.0,3.0,28.0,雪後みぞれ,みぞれ後曇
30,996.2,999.5,1.0,0.5,0.5,2.5,3.9,1.1,81.0,67.0,4.2,7.0,北,11.0,北,0.0,,26.0,みぞれ後一時雪,雪後曇
31,999.6,1002.8,2.0,1.0,0.5,1.2,2.5,-1.0,70.0,59.0,4.5,8.1,北西,12.8,北北西,0.0,3.0,25.0,雪時々曇,曇一時晴
