,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,6.6,10.1,4.1,2.7,4.9,北北東,9.7,北北東,北東,5.8,,
2,0.0,0.0,0.0,7.7,11.4,5.0,2.5,4.2,東北東,6.1,東北東,東北東,5.7,,
3,0.0,0.0,0.0,7.8,12.4,3.0,1.8,3.4,東北東,5.1,北北東,北北東,9.3,,
4,0.0,0.0,0.0,8.3,11.9,5.7,2.9,7.8,北,14.7,北,北東,5.7,,
5,0.0,0.0,0.0,6.6,10.8,3.3,4.1,8.9,北,14.4,北北東,北北東,9.5,,
6,0.0,0.0,0.0,8.0,12.3,3.6,2.6,4.5,北東,8.0,北東,北東,8.3,,
7,4.5,1.5,0.5,6.8,8.4,5.1,3.3,4.7,北北東,9.8,北東,北北東,0.1,,
8,23.5,14.5,3.5,9.4,16.4,4.8,3.3,10.6,南南西,19.5,西南西,北北東,3.0,,
9,0.0,0.0,0.0,11.9,16.1,7.6,3.2,7.6,西南西,13.1,西南西,北北東,8.8,,
10,0.0,0.0,0.0,8.8,11.3,5.8,3.9,6.8,北東,12.3,北北東,北東,7.9,,
11,0.0,0.0,0.0,8.9,11.9,6.8,2.3,3.7,南南西,7.1,南南西,北東,3.7,,
12,0.0,0.0,0.0,7.8,11.1,3.6,2.3,4.6,東北東,7.7,東,北東,3.4,,
13,0.0,0.0,0.0,8.8,13.6,4.0,1.6,3.2,北北西,4.7,南,北東,9.5,,
14,0.0,0.0,0.0,8.8,12.8,4.6,1.9,4.5,南南西,7.5,南南西,北東,7.2,,
15,12.0,5.0,1.0,8.1,11.4,6.1,2.5,5.9,北北東,10.2,北,北北東,6.9,,
16,0.0,0.0,0.0,7.5,9.8,5.5,3.0,6.4,北北東,11.4,東北東,北東,4.7,,
17,2.0,1.0,0.5,7.2,10.2,5.0,3.7,6.4,北東,13.6,北東,北東,1.6,,
18,15.0,2.5,0.5,3.4,6.4,1.6,6.3,9.0,北北東,15.5,北北東,北,0.0,,
19,0.5,0.5,0.5,7.5,10.5,3.2,3.1,6.7,南西,11.4,南西,北北東,7.2,,
20,0.0,0.0,0.0,9.3,13.2,3.7,2.1,5.8,西南西,10.1,西南西,東,9.7,,
21,0.0,0.0,0.0,8.0,12.9,4.7,3.4,7.9,北北東,12.6,北,北北東,9.4,,
22,0.0,0.0,0.0,6.6,10.5,3.8,2.6,4.3,北北東,7.2,東北東,北東,3.7,,
23,5.0,2.0,0.5,7.1,8.9,6.1,2.9,5.3,北北東,8.6,北,東北東,0.0,,
24,0.0,0.0,0.0,10.6,14.2,8.5,2.6,6.6,北北東,12.1,北,北北東,3.1,,
25,0.0,0.0,0.0,8.3,10.5,6.9,4.1,6.9,北東,11.6,東北東,北東,3.2,,
26,13.0,3.5,1.0,4.8,7.7,3.1,3.2,4.9,北東,8.8,北東,北東,0.0,,
27,8.0,2.0,0.5,5.6,7.6,3.0,4.6,7.9,北北東,14.3,北東,北北東,0.0,,
28,23.0,7.0,1.5,5.1,8.5,1.5,6.4,9.2,北,16.5,北北東,北,0.0,,
29,6.5,5.0,1.5,12.9,17.9,8.0,3.2,9.0,北,15.1,北,南西,6.3,,
30,0.0,0.0,0.0,12.6,15.8,9.2,3.8,6.2,西南西,10.7,北北東,西南西,10.1,,
31,0.0,0.0,0.0,8.5,11.5,6.2,4.7,7.1,北北東,11.4,北北東,北北東,2.8,,
