,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,6.6,10.9,4.1,2.2,4.3,北北東,7.4,北,北北東,7.2,,
2,0.0,0.0,0.0,6.7,12.4,2.1,2.0,3.2,北東,4.8,東,北北東,4.5,,
3,0.0,0.0,0.0,6.9,13.2,1.1,1.9,3.5,北,7.4,北,北,8.5,,
4,0.0,0.0,0.0,7.6,13.1,3.5,2.2,7.5,北北西,14.4,北,北北東,5.4,,
5,0.0,0.0,0.0,6.4,11.3,2.9,3.0,5.8,北,10.1,北,北北東,8.5,,
6,0.0,0.0,0.0,7.9,13.0,2.7,2.2,5.0,北北東,7.8,北,北北東,8.1,,
7,1.0,0.5,0.5,7.0,9.0,5.2,2.9,4.9,北北東,8.3,北北東,北,0.2,,
8,17.5,9.5,2.0,6.3,12.8,4.3,2.7,7.1,北東,12.3,北北東,北北東,1.8,,
9,0.0,0.0,0.0,10.7,16.5,4.5,2.6,5.0,北北東,8.3,北東,北,8.6,,
10,0.0,0.0,0.0,9.2,12.8,6.1,2.8,5.4,北北東,10.0,北東,北,8.2,,
11,0.0,0.0,0.0,8.6,13.1,6.1,2.2,4.3,南南西,6.8,南,北,4.1,,
12,0.0,0.0,0.0,7.7,12.2,3.1,2.1,3.6,北東,5.9,北北東,北,3.6,,
13,0.0,0.0,0.0,8.0,13.7,3.8,1.7,3.4,北北西,5.7,北北西,北北西,8.6,,
14,0.0,0.0,0.0,8.8,13.6,4.7,2.0,4.2,南南西,6.1,南,北,8.0,,
15,11.5,4.5,1.0,8.3,11.5,6.1,2.4,5.0,北北東,8.1,北東,北,6.0,,
16,0.0,0.0,0.0,7.5,11.2,4.8,2.5,4.7,北東,7.6,北東,北東,4.2,,
17,0.0,0.0,0.0,7.9,10.7,5.1,3.2,5.1,北北東,8.7,北北西,北北東,1.0,,
18,11.0,2.5,0.5,3.7,7.3,1.4,4.3,6.5,北,12.7,北,北,0.0,,
19,0.0,0.0,0.0,7.8,11.7,2.6,2.8,6.3,南南西,9.5,南,北北東,7.1,,
20,0.0,0.0,0.0,7.9,14.1,2.9,1.8,3.0,北北西,4.8,北東,北,9.0,,
21,0.0,0.0,0.0,7.5,13.1,3.3,2.9,5.4,北東,9.9,北北東,北北東,9.0,,
22,0.0,0.0,0.0,6.4,10.5,3.2,2.5,4.3,北,7.2,北北東,北,3.5,,
23,7.5,2.0,1.0,6.6,9.3,4.5,2.7,3.9,北北東,7.0,北北東,北,0.0,,
24,0.5,0.5,0.5,11.1,15.7,8.5,2.0,5.1,北北東,10.0,北北東,北北東,2.4,,
25,0.0,0.0,0.0,8.6,11.4,6.7,3.2,6.0,北東,9.8,北東,北北東,3.6,,
26,8.0,2.0,0.5,5.5,8.5,3.2,2.3,3.9,北東,6.7,北東,北北東,0.0,,
27,8.5,3.0,1.0,5.2,7.0,2.1,3.4,5.9,北,12.3,北,北,0.0,,
28,23.5,5.5,1.5,5.7,8.4,1.9,6.1,9.0,北北西,15.3,北,北,0.0,,
29,4.5,3.5,1.0,12.9,18.0,8.3,3.0,8.9,北北西,15.9,北北西,北,6.0,,
30,0.0,0.0,0.0,12.2,16.7,6.7,2.2,6.0,南西,9.4,南南西,南西,9.3,,
31,0.5,0.5,0.5,9.2,13.5,6.9,3.5,6.3,北北東,10.6,北北東,北北東,3.2,,
