,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,10.5,3.5,1.0,0.9,2.7,-0.7,0.6,2.0,北東,4.0,北,西北西,0.0,0.0,0.0
2,2.0,1.5,1.0,3.4,6.9,0.4,0.6,2.1,西北西,3.7,西,南西,1.4,0.0,0.0
3,9.0,1.5,1.0,4.7,7.4,3.3,1.0,3.0,西,8.9,北西,東南東,0.2,0.0,0.0
4,13.5,7.0,1.5,4.1,7.3,1.9,0.9,3.6,西,6.8,西,東南東,0.5,0.0,0.0
5,2.5,1.0,0.5,2.1,4.6,-0.9,1.6,3.5,西北西,8.0,北西,西北西,0.7,0.0,0.0
6,0.0,0.0,0.0,2.3,7.9,-2.9,0.6,2.0,西,3.6,東南東,南東,5.8,0.0,0.0
7,17.0,3.5,1.0,4.7,10.4,-0.8,2.1,5.3,南南東,11.9,南,南東,0.0,0.0,0.0
8,30.0,6.5,2.0,10.8,17.3,6.5,3.8,6.7,西,17.4,北西,西北西,2.4,0.0,0.0
9,4.0,1.0,0.5,6.8,10.2,3.7,1.7,4.1,西北西,9.1,北西,西北西,3.7,0.0,0.0
10,0.0,0.5,0.5,4.7,9.3,0.0,1.1,3.2,西北西,7.9,西,北西,5.2,0.0,0.0
11,1.0,1.0,0.5,3.9,10.8,-2.1,0.6,2.4,西北西,4.9,北西,西北西,6.4,0.0,0.0
12,11.5,4.5,1.5,5.4,9.0,3.4,0.7,2.4,南西,4.8,南南西,東北東,0.1,0.0,0.0
13,11.5,5.5,1.0,3.8,6.4,2.3,1.2,3.9,西南西,8.3,南西,東,0.0,0.0,0.0
14,0.0,0.5,0.0,3.7,7.3,0.7,0.6,1.6,東,2.2,北東,西北西,0.1,0.0,0.0
15,15.0,4.0,1.5,1.0,2.6,-0.3,0.6,1.8,東南東,2.7,北北東,北東,1.1,4.0,3.0
16,0.0,0.0,0.0,1.5,6.1,-2.2,0.6,1.8,東,2.5,東,東南東,3.2,2.0,1.0
17,0.0,0.0,0.0,4.5,9.6,1.0,0.6,2.6,西北西,4.2,西,南東,4.9,0.0,0.0
18,0.0,0.0,0.0,3.7,7.3,0.5,1.2,3.4,西,6.4,北西,西北西,2.5,0.0,0.0
19,6.0,3.5,1.5,4.1,9.7,-2.5,1.0,3.6,西北西,7.2,西,南南東,4.9,0.0,0.0
20,17.5,4.0,1.0,3.5,4.8,2.6,1.0,3.0,北東,7.9,西,南南東,0.0,0.0,0.0
21,1.5,1.0,1.0,2.6,6.1,-2.1,1.5,3.6,北北西,8.9,北西,北北西,1.8,0.0,0.0
22,1.5,1.0,0.5,3.9,10.9,-3.4,1.2,4.2,南南東,7.6,東,南南東,1.3,0.0,0.0
23,6.5,2.5,0.5,7.4,10.1,4.9,0.6,2.3,東南東,4.9,東,西,0.0,0.0,0.0
24,0.0,0.0,0.0,7.8,12.6,2.5,1.4,4.0,西,6.8,北西,北西,2.9,0.0,0.0
25,0.0,0.0,0.0,3.3,6.9,-0.5,0.7,2.2,北西,4.2,北西,東,4.3,0.0,0.0
26,0.0,0.0,0.0,5.4,11.5,2.0,0.7,2.5,西北西,5.1,北西,西北西,4.3,0.0,0.0
27,5.0,3.5,1.5,4.4,7.4,1.7,0.8,2.2,東南東,4.1,東南東,東北東,0.0,0.0,0.0
28,0.0,0.0,0.0,9.0,16.2,4.2,1.2,3.5,北北東,6.1,南西,西北西,3.7,0.0,0.0
29,12.0,2.0,1.0,8.3,10.5,6.1,1.1,3.4,西北西,7.5,北西,西北西,0.0,0.0,0.0
30,17.5,4.0,1.5,5.3,6.5,4.3,1.2,2.7,北西,6.9,西,東,0.0,0.0,0.0
31,5.5,1.5,1.0,2.3,4.5,0.5,1.8,4.2,北北西,7.9,北西,西北西,1.4,0.0,0.0
