,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,13.5,6.5,2.0,3.0,5.0,0.3,3.5,6.6,南南東,9.8,南南東,南東,,,
2,5.5,1.5,1.0,5.3,8.7,3.2,3.1,4.7,南南東,6.2,南東,南南東,,,
3,4.5,2.0,1.5,6.6,9.3,4.8,3.1,5.8,南東,7.7,南東,南東,,,
4,13.0,5.0,1.5,6.0,8.2,2.6,2.7,7.6,北北西,13.9,北北西,南,,,
5,0.5,3.5,0.5,4.9,7.0,1.4,4.6,8.7,北北西,12.3,北,北北西,,,
6,0.0,0.0,0.0,4.2,9.6,-0.7,2.7,6.8,北北東,9.8,北,南南東,,,
7,9.5,2.5,0.5,5.4,11.4,0.7,4.5,11.3,南南東,16.5,南南東,南南東,,,
8,21.0,7.0,2.0,12.2,15.7,8.3,8.0,13.5,南南東,21.1,西,南南東,,,
9,3.0,1.5,1.0,8.6,11.3,5.7,2.9,7.8,西北西,11.8,西北西,北北西,,,
10,5.0,3.5,1.0,6.2,10.4,3.3,3.3,9.3,北西,13.4,北西,北北西,,,
11,1.5,1.5,1.0,6.1,12.4,1.0,3.3,8.0,南南東,10.8,南南東,南南東,,,
12,11.5,2.0,1.0,6.5,8.8,4.5,2.9,5.7,南南東,8.7,南東,南,,,
13,17.0,3.5,2.0,6.3,8.7,4.4,4.1,9.1,南,12.9,南,南東,,,
14,0.5,0.5,0.5,6.1,9.1,3.7,3.2,5.9,東南東,8.2,東南東,南東,,,
15,31.5,7.0,2.5,4.2,6.5,1.5,2.3,6.1,南東,8.2,南東,南東,,,
16,0.0 ),0.0 ),0.0 ),4.7,8.6 ),0.8 ),2.7,6.0,南,7.7,南,南南東,,,
17,1.0,1.0,0.5,6.0,10.3,3.2,4.0,8.1,北北東,11.3,北北東,北北東,,,
18,0.0,0.0,0.0,5.6,8.4,3.4,5.4,8.9,北,15.4,北北東,北北東,,,
19,3.0,2.0,1.0,5.8,10.5,-0.5,2.8,6.6,西,10.8,西北西,南東,,,
20,9.5,3.0,1.5,6.1,8.1,4.9,3.9,7.1,西北西,10.8,西,南東,,,
21,2.0,0.5,0.5,4.5,7.9,0.3,3.5,9.2,北西,14.4,西北西,北北東,,,
22,0.5,0.5,0.5,5.3,11.4,-0.6,3.0,5.0,南南東,7.2,南,南南東,,,
23,9.5,2.0,0.5,8.9,10.6,6.9,2.4,6.2,南南東,9.8,南南東,南,,,
24,0.0,0.0,0.0,8.4,13.4,4.2,4.1,9.8,北,12.9,北,北北東,,,
25,0.0,0.0,0.0,4.7,8.3,1.9,4.0,7.1,北,9.3,北北東,北北東,,,
26,0.0,0.0,0.0,6.6,12.1,2.7,3.3,7.3,北,9.8,北北東,北,,,
27,3.5,3.0,1.0,5.6,7.6,3.4,2.2,6.1,北北東,8.7,北,北北東,,,
28,5.0,1.5,0.5,8.1,11.3,4.5,2.1,6.1,北,8.2,北,北,,,
29,9.5,3.0,1.5,9.3,13.4,7.3,2.2,6.4,西,10.3,西,南南東,,,
30,14.5,3.5,1.5,7.3,9.4,5.9,3.8,7.9,北,12.3,北北西,北北西,,,
31,6.0,1.5,1.0,4.0,7.1,2.3,4.1,9.3,北西,13.4,北西,北,,,
