,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,3.5,1.0,0.5,,,,,,,,,,,0.0,0.0
2,12.0,5.0,2.5,,,,,,,,,,,0.0,0.0
3,17.0,4.5,2.0,,,,,,,,,,,0.0,0.0
4,8.0,4.0,1.5,,,,,,,,,,,0.0,0.0
5,0.5,0.5,0.5,,,,,,,,,,,0.0,0.0
6,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
7,13.5,3.0,1.0,,,,,,,,,,,0.0,0.0
8,26.0,10.5,5.0,,,,,,,,,,,0.0,0.0
9,7.0,3.0,2.0,,,,,,,,,,,0.0,0.0
10,1.5,0.5,0.5,,,,,,,,,,,0.0,0.0
11,2.0,1.0,1.0,,,,,,,,,,,0.0,0.0
12,12.0,3.0,1.5,,,,,,,,,,,0.0,0.0
13,22.5,8.5,3.0,,,,,,,,,,,0.0,0.0
14,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
15,10.5,4.5,1.5,,,,,,,,,,,0.0,0.0
16,0.5,0.5,0.5,,,,,,,,,,,0.0,0.0
17,1.0,0.5,0.5,,,,,,,,,,,0.0,0.0
18,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
19,5.0,3.0,1.5,,,,,,,,,,,0.0,0.0
20,12.5,4.0,1.0,,,,,,,,,,,0.0,0.0
21,4.0,2.0,1.0,,,,,,,,,,,0.0,0.0
22,1.0,0.5,0.5,,,,,,,,,,,0.0,0.0
23,16.0,3.0,1.0,,,,,,,,,,,0.0,0.0
24,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
25,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
26,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
27,7.5,5.0,2.0,,,,,,,,,,,0.0,0.0
28,5.0,1.5,0.5,,,,,,,,,,,0.0,0.0
29,12.5,2.0,1.0,,,,,,,,,,,0.0,0.0
30,18.5,2.5,1.0,,,,,,,,,,,0.0,0.0
31,13.5,3.0,1.0,,,,,,,,,,,0.0,0.0
