,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1023.8,1026.0,16.5,5.0,1.5,3.5,6.0,0.7,93.0,83.0,2.3,4.9,南,7.1,南南東,0.3,,,雨時々曇一時みぞれ、あられを伴う,雨後一時曇
2,1022.2,1024.4,5.5,2.0,1.0,5.5,8.4,3.6,92.0,71.0,1.8,4.2,南西,7.9,西南西,2.0,,,曇時々雨一時晴,曇時々雨一時晴
3,1018.0,1020.2,4.5,1.0,1.0,6.8,9.3,5.3,92.0,78.0,2.0,5.1,南南西,8.1,南南西,0.3,,,雨時々曇,雨時々曇、あられを伴う
4,1015.8,1017.9,14.5,6.5,3.0,6.2,8.4,3.3,85.0,65.0,2.0,6.9,北北西,11.7,北北西,0.8,,,曇時々雨,曇時々雨一時みぞれ、あられを伴う
5,1024.9,1027.1,1.0,1.5,0.5,5.2,8.2,2.5,68.0,42.0,3.0,5.7,北,10.4,北北西,0.7,,,曇時々雨一時みぞれ、あられを伴う,曇後晴
6,1026.7,1028.9,,,,4.6,10.5,-0.6,74.0,39.0,2.2,5.4,北北西,8.8,北北西,6.6,,,晴後曇,曇時々晴
7,1019.0,1021.2,13.5,2.5,1.0,5.2,11.3,1.2,89.0,76.0,3.0,7.9,南東,12.1,南東,0.0,,,雨一時曇,雨時々曇
8,1003.4,1005.5,33.5,10.0,3.5,12.0,15.7,8.4,77.0,61.0,6.0,11.8,南南東,22.7,西南西,1.0,,,雨時々曇,雨時々曇
9,1013.2,1015.3,1.5,0.5,0.5,8.8,11.7,5.9,73.0,53.0,2.5,6.5,西南西,11.0,西北西,3.0,,,曇時々雨,雨時々曇、あられを伴う
10,1016.6,1018.8,6.5,4.0,1.0,6.8,11.4,3.4,78.0,46.0,2.6,6.3,北西,10.5,西,6.2,,,晴一時雨,晴一時曇
11,1014.3,1016.5,1.0,1.0,0.5,6.2,13.3,0.8,82.0,43.0,2.5,6.0,南,8.6,南南西,6.9,,,晴後時々曇,曇時々雨一時霧、雷を伴う
12,1009.4,1011.6,11.5,3.5,1.5,6.7,10.0,4.9,92.0,67.0,2.1,4.6,南南西,8.5,南西,0.0,,,曇時々雨、霧を伴う,雨後時々曇
13,1013.0,1015.1,15.5,6.5,2.5,6.7,8.7,5.0,82.0,60.0,3.3,6.8,南西,13.5,南西,0.3,,,雨時々曇、あられを伴う,曇時々雨、雷・あられを伴う
14,1018.9,1021.1,0.0,0.0,0.0,6.6,9.7,4.1,79.0,56.0,2.0,4.6,東南東,6.7,南東,0.5,,,曇一時雨,曇一時雨
15,1018.6,1020.8,31.5,7.0,2.0,4.6,6.7,2.9,91.0,79.0,1.7,4.0,南,5.8,北北西,0.5,,,雨一時みぞれ、雷・あられを伴う,曇時々雨一時霧
16,1020.9,1023.1,0.0,0.0,0.0,4.8,9.3,1.4,84.0,53.0,1.9,3.6,南南西,5.3,南南西,3.5,,,曇時々晴一時霧,曇一時雨
17,1016.6,1018.7,1.0,0.5,0.5,6.5,11.1,3.7,77.0,52.0,2.6,5.7,北,8.9,北北東,6.4,,,薄曇,曇時々晴
18,1012.6,1014.7,0.0,0.0,0.0,6.0,9.4,2.2,70.0,53.0,3.4,7.4,北北東,11.2,北北東,5.7,,,曇時々晴,晴時々曇
