,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.5,9.5,-1.1,0.8,2.5,南,4.3,南,南,9.5,,
2,0.0,0.0,0.0,5.7,11.9,0.5,1.1,3.4,南,6.0,南南西,南西,8.7,,
3,0.0,0.0,0.0,6.9,13.3,2.6,1.3,3.6,南南西,6.3,南,南西,5.7,,
4,0.0,0.0,0.0,6.8,13.9,1.5,0.9,3.4,西北西,7.1,北,西南西,8.9,,
5,0.0,0.0,0.0,7.3,13.9,1.4,1.7,4.1,北東,7.0,北東,北北東,8.5,,
6,0.0,0.0,0.0,9.0,12.6,5.0,1.4,3.8,北東,6.6,北東,北東,0.0,,
7,2.5,1.5,0.5,14.2,18.3,10.2,2.5,11.0,南,19.3,南,南西,0.0,,
8,20.5,18.5,8.5,12.1,18.2,7.8,4.3,8.4,南,15.8,西南西,西,4.1,,
9,0.0,0.0,0.0,9.7,13.5,6.4,1.1,3.0,南,6.0,南南西,南南西,3.7,,
10,0.0,0.0,0.0,9.0,13.8,5.2,1.9,4.1,北東,8.5,東北東,北東,9.3,,
11,0.0,0.0,0.0,9.2,14.6,5.4,0.9,2.4,北北東,5.0,北東,北東,4.7,,
12,0.0,0.0,0.0,8.2,11.5,5.0,1.9,6.0,西北西,10.4,西北西,南南西,2.7,,
13,0.0,0.0,0.0,6.7,10.7,3.5,1.6,4.9,西北西,8.5,西,南南西,2.2,,
14,0.5,0.5,0.5,5.1,7.2,2.5,1.6,3.6,北北東,7.4,北北東,北東,0.0,,
15,0.0,0.0,0.0,4.5,9.7,1.0,0.8,2.2,北北西,4.9,北,北,2.5,,
16,0.0,0.0,0.0,5.8,9.1,2.9,1.5,2.8,北北東,4.8,東北東,北東,0.0,,
17,0.0,0.0,0.0,8.5,13.2,5.5,2.1,4.4,北北東,7.9,北,北東,4.0,,
18,1.5,1.5,1.0,7.7,11.9,3.3,1.7,4.0,南西,7.7,南西,南,3.4,,
19,0.0,0.0,0.0,7.3,11.7,3.6,1.2,4.0,西北西,7.3,西北西,南西,0.8,,
20,0.0,0.0,0.0,7.9,11.6,3.9,1.6,5.6,西北西,10.7,西,西北西,4.4,,
21,0.0,0.0,0.0,7.0,12.8,1.8,1.7,4.3,北東,8.2,北東,北東,8.8,,
22,15.5,5.5,1.5,7.4,10.3,4.6,0.9,1.9,北東,3.4,東北東,北東,0.0,,
23,15.5,7.0,2.0,14.2,17.5,10.0,1.3,3.2,西北西,5.6,西北西,南西,0.3,,
24,0.0,0.0,0.0,14.1,17.0,11.6,3.1,5.3,北北東,9.1,北東,北北東,0.8,,
25,15.0,4.0,1.5,10.2,12.1,8.1,4.1,5.8,北東,10.7,東北東,北北東,0.0,,
26,3.5,2.0,0.5,9.8,12.2,8.0,4.6,6.4,北東,13.2,東北東,北北東,0.0,,
27,19.5,5.5,1.5,8.9,10.9,7.8,5.7,9.3,北北東,15.9,北北東,北北東,0.7,,
28,2.0,1.5,0.5,10.4,14.8,7.2,1.8,4.5,北北東,9.1,北北東,北,2.3,,
29,6.0,3.0,1.5,9.7,13.7,7.8,1.2,3.3,北,5.9,北北東,北北東,2.6,,
30,0.0,0.0,0.0,8.7,12.8,7.0,2.7,5.8,北北西,11.2,北,北北東,4.6,,
31,3.0,1.0,0.5,6.7,10.0 ),4.3 ),1.4,3.6,北北東,6.8,北,北東,2.2,,
