,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.5,9.0,-0.7,1.3,3.9,南西,6.4,西北西,南西,8.5,,
2,0.0,0.0,0.0,8.3,12.2,2.7,1.8,3.9,南南西,8.7,西南西,西南西,6.8,,
3,0.0,0.0,0.0,9.1,12.5,4.9,1.4,3.4,西南西,7.7,西南西,西,3.7,,
4,0.0,0.0,0.0,7.3,13.5,1.0,1.3,3.8,北西,7.8,西北西,北西,8.9,,
5,0.0,0.0,0.0,7.3,13.2,2.4,1.3,3.6,北東,6.2,北東,北東,6.9,,
6,2.0,1.5,0.5,9.5,13.9,4.9,1.2,6.7,南,12.6,南,北北東,0.0,,
7,4.0,4.0,3.5,17.0,20.2,13.5,5.2,10.5,南南西,19.7,南南西,南,0.8,,
8,23.0,22.0,10.5,11.7,15.9,8.2,4.5,10.1,西南西,19.0,西南西,西北西,2.3,,
9,0.0,0.0,0.0,10.0,12.5,7.2,1.5,3.8,西南西,6.8,西南西,西北西,6.0,,
10,0.0,0.0,0.0,7.8,13.1,3.6,1.0,3.7,北北東,6.7,北東,北北東,7.5,,
11,0.0,0.0,0.0,9.3,14.4,4.5,1.0,3.4,南西,6.1,南西,南西,6.4,,
12,0.0,0.0,0.0,9.0,10.6,7.9,3.0,5.7,西北西,11.3,西北西,西北西,1.2,,
13,0.0,0.0,0.0,7.8,9.2,6.5,3.0,5.7,西北西,10.8,西北西,西北西,0.6,,
14,8.0,4.0,1.0,6.1,8.1,3.9,1.0,3.5,南西,5.7,西南西,南西,0.0,,
15,0.0,0.0,0.0,5.6,9.2,1.9,1.1,3.4,西北西,7.0,西北西,西北西,2.5,,
16,0.0,0.0,0.0,6.2,10.3,3.0,0.6,2.0,北北東,3.5,北東,北北東,0.0,,
17,2.0,1.0,0.5,7.5,11.6,4.0,1.4,5.8,北,9.5,北,北東,1.9,,
18,6.0,3.0,1.5,8.0,10.9,3.3,2.0,5.1,西北西,10.3,西北西,西北西,1.8,,
19,3.0,2.0,1.0,7.7,10.4,2.2,2.3,5.5,西北西,11.0,西北西,西北西,0.7,,
20,0.0,0.0,0.0,9.1,10.5,8.3,3.3,4.6,西北西,9.4,西南西,西北西,1.3,,
21,0.0,0.0,0.0,7.1,11.6,2.8,1.6,4.4,北北東,8.2,北,北北東,7.8,,
22,20.0,5.5,1.5,8.3,13.0,3.4,0.9,3.0,南南東,6.0,南西,北東,0.0,,
23,11.0,6.5,2.0,13.7,17.4,10.2,1.3,5.7,北北西,8.2,北北西,西,1.7,,
24,0.0,0.0,0.0,13.3,15.5,10.3,2.4,5.5,北東,9.9,北東,北東,0.2,,
25,15.0,3.5,1.0,10.3,12.5,8.4,1.9,4.5,北東,8.6,北東,北東,0.4,,
26,3.0,2.0,0.5,10.2,12.9,7.8,2.6,5.4,北東,9.6,北北東,北東,2.3,,
27,47.0,9.0,2.5,8.6,9.6,7.5,3.7,7.6,北東,15.3,北東,北東,0.0,,
28,5.0,1.0,1.0,10.9,13.8,8.0,3.6,8.1,北北西,11.5,北,北,2.0,,
29,8.5,2.0,2.0,9.4,12.9,7.3,1.5,6.5,北,9.5,北,北北東,1.1,,
30,8.5,3.5,2.0,7.5,9.6,6.5,2.1,6.9,北,12.2,北北西,北北東,0.0,,
31,3.5,1.5,1.0,6.7,9.8,4.8,1.4,6.1,北北西,14.3,北北西,西南西,0.5,,
