,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.6,9.1,-1.0,3.0,5.5,北西,8.7,西,南南東,,,
2,0.0,0.0,0.0,7.6,12.4,3.2,3.5,6.1,南南東,8.7,南南西,南南東,,,
3,0.0,0.0,0.0,8.6,13.1,4.7,3.2,6.3,北西,9.3,西北西,南南東,,,
4,0.0,0.0,0.0,8.2,13.3,1.8,3.5,6.8,北西,9.8,北北西,南東,,,
5,0.0,0.0,0.0,7.8,14.0,2.8,2.0,5.3,北,7.7,北西,北東,,,
6,0.5,0.5,0.5,9.5,13.9,5.0,3.0,7.7,南東,11.3,南東,南東,,,
7,0.5,0.5,0.5,16.5,18.5,12.9,8.3,13.3,南,25.2,南南東,南東,,,
8,25.5,22.0,8.5,12.0,17.6,9.3,6.0,11.4,西南西,18.0,西南西,西,,,
9,0.0,0.0,0.0,10.0,12.5,7.9,3.5,5.6,北北西,8.7,西北西,西北西,,,
10,0.0,0.0,0.0,8.5,13.5,3.2,2.0,5.4,北西,8.7,西,東北東,,,
11,0.0,0.0,0.0,9.3,14.0,4.7,2.3,4.6,北西,7.2,西,南南東,,,
12,0.5,0.5,0.5,9.0,11.0,7.9,4.7,8.6,西北西,13.4,西,西北西,,,
13,0.0,0.0,0.0,7.8,10.0,4.6,4.9,7.1,西北西,11.3,西,西北西,,,
14,6.5,2.0,0.5,5.7,7.7,2.9,2.3,6.0,南南東,8.2,南南東,南南東,,,
15,0.0,0.0,0.0,4.7,8.9,1.7,2.6,5.7,南南東,8.2,西北西,南南東,,,
16,0.0,0.0,0.0,5.8,9.2,2.4,2.1,5.3,南南東,7.7,南,南南東,,,
17,0.5,0.5,0.5,7.5,12.4,4.1,2.0,6.0,北北西,7.7,北,南南東,,,
18,9.0,2.5,1.0,7.1,10.1,3.6,3.1,6.9,西南西,10.3,西南西,南南東,,,
19,1.5,1.5,0.5,7.5,10.3,2.3,3.8,7.9,西,11.8,西,西北西,,,
20,0.0,0.0,0.0,9.1,10.5,5.3,5.2,7.0,西北西,10.8,西,西北西,,,
21,0.0,0.0,0.0,7.0,12.1,3.1,2.5,5.3,西北西,8.2,北,南南東,,,
22,14.5,3.5,1.0,8.6,12.7,4.3,3.8,8.2,南南東,10.3,南南東,南南東,,,
23,7.5,5.5,2.0,14.5,18.3,11.8,2.7,6.4,南東,9.3,南東,南南東,,,
24,0.0,0.0,0.0,13.4,15.6,10.4,3.4,6.7,北,9.3,北,北,,,
25,14.5,3.0,1.0,10.2,12.5,8.0,2.6,6.1,北東,8.7,北東,北東,,,
26,3.0,2.0,0.5,10.0,12.0,7.8,2.9,5.5,北東,10.3,北北東,東北東,,,
27,30.0,8.0,2.0,8.8,10.0,7.7,4.9,9.8,北東,17.5,北東,北東,,,
28,6.0,2.5,1.0,10.3,13.6,6.6,4.1,9.0,北北西,12.3,北北西,北,,,
29,3.0,1.0,0.5,9.3,12.6,7.0,2.2,5.6,北北西,10.3,北北東,南東,,,
30,0.0,0.0,0.0,7.8,11.1,5.9,2.5,10.3,北,13.4,北北西,北北東,,,
31,3.0,1.0,0.5,6.5,9.6,4.6,2.9,6.0,北,9.8,北,南南東,,,
