,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,1.3,6.7,-1.3,1.9,3.8,北,11.5,北,北東,4.6,,
2,0.0,0.0,0.0,1.3,5.0,-2.7,1.5,3.1,北北東,8.1,北北西,東北東,6.9,,
3,0.0,0.0,0.0,0.7,5.3,-3.8,0.7,3.0,北北東,7.5,北北東,北北東,0.5,,
4,0.0,0.0,0.0,0.7,4.1,-2.6,1.4,3.7,北,10.4,北,北北東,4.9,,
5,0.0,0.0,0.0,-0.5,1.3,-2.8,1.3,4.8,北,11.5,北,北北東,1.0,,
6,0.0,0.0,0.0,2.2,5.8,-1.2,1.8,4.7,北,9.6,北,北北東,5.1,,
7,6.0,2.0,0.5,0.9,6.3,-3.8,0.7 ),2.2 ),東南東 ),5.0 ),南 ),南東 ),4.3,,
8,15.0,4.0,1.0,1.8,6.0,0.2,0.6 ],4.3 ],北北西 ],8.6 ],北 ],北 ],1.1,,
9,0.0,0.0,0.0,4.2,7.7,-0.5,2.4,6.1,北,15.7,北,北,4.2,,
10,0.5,0.5,0.5,1.4,5.3,-3.1,1.1,3.2,北北西,6.2,北,北北西,2.6,,
11,0.0,0.0,0.0,0.0,6.0,-5.5,0.7,3.4,南,6.7,南南西,南,2.2,,
12,0.0,0.0,0.0,1.8,8.5,-2.3,0.7,2.9,南南東,5.5,南南西,北,4.7,,
13,0.5,0.5,0.5,1.7,7.1,-1.5,1.0,4.3,北北西,9.7,北,北北西,4.4,,
14,0.5,0.5,0.5,2.6,8.4,-1.4,0.5 ],2.1 ],南 ],5.6 ],南西 ],東北東 ],4.3,,
15,5.0,1.5,0.5,1.3,2.7,-0.1,1.3,3.4,北北西,10.1,北,北北西,0.3,,
16,0.5,0.5,0.5,0.3,4.2,-3.4,1.1,3.7,北北西,8.2,北,北,4.9,,
17,0.0,0.0,0.0,0.0,6.5,-4.6,0.9,4.0,北北西,8.0,北,北,7.5,,
18,0.0,0.0,0.0,-0.9,0.0,-3.1,1.6,3.5,北北西,7.1,北北西,北北西,0.0,,
19,0.0,0.0,0.0,0.5,5.8,-4.2,0.9,3.3,北,7.7,北北西,北,5.2,,
20,0.0,0.0,0.0,1.2,5.8,-3.0,1.1,4.3,北,10.0,北,北,3.8,,
21,0.0,0.0,0.0,0.8,2.9,-1.8,2.5,6.2,北,14.7,北北西,北,4.5,,
22,0.0,0.0,0.0,0.9,5.7,-5.5,0.9,3.9,南,8.7,南南西,南,4.1,,
23,4.5,2.0,0.5,3.8,9.3,-0.8,0.4,1.8,北北西,3.5,南南東,北北西,0.3,,
24,0.0,0.0,0.0,4.2,9.0,0.6,1.3,3.9,北,10.0,南,北北東,5.1,,
25,0.0,0.0,0.0,0.4,5.0,-2.5,1.3,3.8,北北東,13.0,北北西,北,7.7,,
26,0.0,0.0,0.0,1.0,7.0,-2.6,0.9,3.8,北北西,8.2,北,北,4.0,,
27,0.0,0.0,0.0,0.5,4.4,-2.7,0.7,2.0,南南東,4.3,北,北,0.1,,
28,5.5,1.5,1.0,2.9,5.3,0.0,0.9,2.6,北東,6.9,北北東,北東,0.0,,
29,41.0,7.5,2.5,6.0,9.4,1.6,2.0,6.7,北,12.2,北北西,北北西,0.0,,
30,0.0,0.0,0.0,5.0,12.1,0.1,1.1,2.7,北北西,6.8,北北西,北,5.9,,
31,0.0,0.0,0.0,1.9,4.6,-0.3,2.1,3.8,北,10.3,北,北,6.9,,
