,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,0.8,5.5,-1.3,2.4,6.3,西,15.9,西,西,3.4,,
2,0.0,0.0,0.0,1.3,4.2,-1.5,1.8,3.6,西,8.7,南南西,南西,4.9,,
3,0.0,0.0,0.0,1.7,4.4,-2.3,1.1,2.6,西南西,7.0,西,西南西,1.0,,
4,0.0,0.0,0.0,0.7,4.3,-2.7,1.9,4.9,西,10.9,西,西,7.5,,
5,0.0,0.0,0.0,-1.0,2.9,-4.8,1.2,3.5,西,8.9,西,北西,3.8,,
6,0.0,0.0,0.0,1.6,5.0,-3.4,2.3,5.3,西,14.0,西,西,8.0,,
7,5.5,1.5,0.5,0.7,5.8,-3.9,0.9,2.0,東北東,4.7,東,東南東,4.5,,
8,16.0,4.0,1.0,2.4,7.4,0.2,1.0 ],3.4 ],西北西 ],9.2 ],西北西 ],西 ],0.9,,
9,0.0,0.0,0.0,3.9,7.3,-1.9,2.3,4.8,西,11.4,西,西,2.8,,
10,0.5,0.5,0.5,1.4,5.3,-1.8,1.0,2.9,北西,5.7,北西,東南東,2.1,,
11,0.0,0.0,0.0,1.7,6.7,-3.7,1.3,2.6,西,7.2,南南東,東南東,4.2,,
12,0.0,0.0,0.0,1.9,7.8,-2.5,1.1,2.3,西,5.0,西,東南東,4.8,,
13,0.0,0.0,0.0,1.4,5.3,-2.5,1.1,2.7,西北西,4.8,北北西,東南東,1.1,,
14,0.5,0.5,0.5,2.8,7.7,-2.1,1.1,3.4,西,7.3,西,南東,5.0,,
15,6.0,2.0,0.5,0.6,2.8,-1.4,1.0 ),2.9 ),西北西 ),6.2 ),北西 ),西 ),0.2,,
16,0.0,0.0,0.0,0.4,3.4,-3.1,1.5,4.7,西,10.6,西,西,6.9,,
17,0.0,0.0,0.0,-0.1,6.3,-4.7,1.0,3.1,北西,8.6,西,東南東,7.2,,
18,0.0,0.0,0.0,-1.0,0.1,-3.2,1.4,3.1,北北西,6.2,北西,北西,0.0,,
19,0.0,0.0,0.0,0.6,5.2,-4.7,0.8,2.4,西,5.5,西南西,西南西,6.5,,
20,0.0,0.0,0.0,2.5,5.0,-0.1,1.5,4.2,西,9.6,西,西,3.0,,
21,1.5,1.0,0.5,0.5,3.3,-1.6,1.8,5.5,北西,11.6,北西,西北西,4.0,,
22,0.0,0.0,0.0,0.4,5.9,-6.2,1.1,2.2,西,8.3,西,東南東,3.9,,
23,2.0,1.0,0.5,3.2,9.8,-1.0,0.8,2.5,西,4.5,西,東南東,0.6,,
24,0.0,0.0,0.0,3.7,7.9,0.4,2.0,5.7,西,11.7,西,西,3.2,,
25,0.0,0.0,0.0,0.1,3.7,-2.5,1.6,4.6,西,11.7,西北西,西北西,7.4,,
26,0.0,0.0,0.0,0.5,6.1,-3.1,1.1,3.0,北北西,7.5,西北西,東南東,5.1,,
27,0.0,0.0,0.0,-0.4,3.8,-4.6,1.1,2.7,東,5.4,東南東,東南東,0.5,,
28,7.0,1.5,0.5,1.4,3.8,0.0,0.8,2.7,東,6.8,東,西,0.0,,
29,24.5,6.0,2.0,4.4,6.8,1.5,2.0,5.2,西北西,11.3,西北西,西北西,0.0,,
30,0.0,0.0,0.0,6.2,10.3,3.3,2.2,4.5,西,9.1,西,西,6.1,,
31,0.0,0.0,0.0,1.7,4.7,-1.6,2.6,5.2,西,13.9,西,西,7.8,,
