,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,2.6,7.4,0.2,3.7,9.5,西南西,15.9,西北西,西北西,5.1,,
2,0.0,0.0,0.0,2.9,5.6,0.8,2.5,5.5,西北西,11.7,北,西北西,1.8,,
3,0.0,0.0,0.0,3.2,7.2,0.0,3.4,7.4,西北西,12.9,西,西,4.5,,
4,0.0,0.0,0.0,2.7,5.5,0.4,3.2,7.4,西北西,12.8,北西,西北西,2.3,,
5,0.5,0.5,0.5,1.1,2.3,-0.9,4.7,9.0,西北西,16.1,北北西,西北西,1.2,,
6,0.0,0.0,0.0,3.9,7.1,1.7,5.7,9.7,北西,17.0,北西,西北西,6.8,,
7,6.5,2.0,0.5,1.8,6.8,-3.7,1.3 ),5.3 ),南南西 ),8.5 ),南南西 ),南南西 ),4.4,,
8,16.0,4.5,1.0,2.6,9.4,0.0,1.9 ),7.2 ),西北西 ),12.1 ),西 ),北北西 ),0.5,,
9,1.0,0.5,0.5,5.8,8.4,2.0,5.9,12.4,北西,21.2,北北西,西北西,5.3,,
10,0.0,0.0,0.0,3.6,7.5,-0.9,2.6,6.9,西北西,10.7,西北西,西北西,6.5,,
11,0.0,0.0,0.0,2.7,8.5,-2.7,2.1,6.4,南南西,10.9,南南西,南南西,7.2,,
12,0.0,0.0,0.0,3.9,9.3,-1.3,1.6,4.3,西北西,6.1,北西,西北西,4.9,,
13,1.5,1.0,0.5,3.0,7.4,-1.5,1.8,6.4,西北西,9.4,西北西,北西,4.1,,
14,0.0 ),0.5 ),0.5 ),3.5 ),7.5 ),-0.4 ),2.0 ),5.5 ),北北西 ),8.6 ),北北西 ),西北西 ),0.8 ],,
15,9.0,2.0,0.5,2.0,4.7,0.2,3.4,9.4,西北西,13.5,西北西,北北東,0.0,,
16,0.0,0.0,0.0,2.7,6.0,-1.3,3.2,7.4,西,11.9,西,西,5.5,,
17,0.0,0.0,0.0,2.1,7.0,-2.4,2.6,6.7,西北西,10.4,北北西,西北西,7.4,,
18,0.0,0.0,0.0,0.7,2.3,-1.1,3.3,6.2,北北東,9.5,北北東,北北東,0.0,,
19,0.0,0.0,0.0,2.1,6.4,-1.8,2.0,5.3,西北西,7.8,西北西,北東,4.9,,
20,0.5,0.5,0.5,3.4,6.1,0.3,2.2,5.6,西北西,10.9,西南西,南,0.5,,
21,0.5,0.5,0.5,2.0,4.1,-0.1,5.2,9.8,西北西,17.3,西北西,西北西,6.1,,
22,0.0,0.0,0.0,1.7,7.3,-3.2,1.7,5.3,南,9.7,南,南,6.2,,
23,1.0,0.5,0.5,4.1,8.4,-0.7,1.3,3.1,東北東,4.2,北,北北東,0.3,,
24,0.0,0.0,0.0,6.2,9.9,2.1,2.8,6.7,西,10.3,西北西,西,3.0,,
25,0.0,0.0,0.0,2.2,4.8,0.3,4.9,10.0,西北西,18.6,西北西,西北西,5.9,,
26,0.0,0.0,0.0,2.4,7.9,-2.0,2.2,6.1,北西,9.2,西北西,北西,6.4,,
27,0.0,0.0,0.0,2.3,5.1,-0.9,2.0,3.9,東北東,6.1,西北西,東北東,0.6,,
28,5.0,1.5,0.5,2.3,4.5,-0.3,3.5,6.0,北北東,8.9,北北東,北北東,0.0,,
29,28.5,7.0,1.5,6.2,8.8,4.3,5.6,9.7,北,15.1,北,北北東,0.3,,
30,0.0,0.0,0.0,7.7,11.9,5.2,4.0,7.1,西,12.1,西,西北西,5.8,,
31,0.0,0.0,0.0,2.9,5.6,1.0,6.3,9.3,西北西,17.1,西,西北西,3.4,,
