,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,4.0,2.0,1.0,1.8,3.6,-0.7,4.7,6.9,西,15.5,西,西北西,0.0,3.0,1.0
2,0.5,0.5,0.5,3.8,4.9,1.6,4.1,6.4,西北西,14.1,北西,西北西,0.6,0.0,0.0
3,2.0,2.0,1.5,4.6,5.7,2.4,3.2,5.2,南西,13.0,北北西,北西,0.0,0.0,0.0
4,0.5,0.5,0.5,2.7,4.2,-0.3,2.8,5.0,西北西,10.5,西,北西,0.3,0.0,0.0
5,0.5,0.5,0.5,2.2,3.7,-0.4,3.7,5.6,北西,14.7,北,北西,1.1,0.0,0.0
6,0.0,0.0,0.0,4.6,6.7,0.2,3.1,4.8,西北西,10.7,西北西,西北西,1.1,0.0,0.0
7,0.0,0.0,0.0,1.2,5.2,-3.1,2.0,4.7,東南東,9.0,東南東,東南東,2.2,0.0,0.0
8,27.0,7.5,3.5,6.0,10.7,1.8,4.2,8.2,南西,12.9,東南東,東南東,0.4,0.0,0.0
9,19.0,4.0,1.5,4.7,7.5,2.1,1.9,4.4,南東,7.8,南東,北西,0.0,0.0,0.0
10,3.5,1.0,1.0,3.1,6.2,1.3,1.3,3.1,南東,4.5,南東,南東,2.7,0.0,0.0
11,16.0,8.5,2.0,2.0,6.1,0.5,1.5,3.9,北,8.7,北北東,南東,1.7,0.0,0.0
12,1.0,1.0,0.5,2.9,5.9,0.9,0.9,2.5,南東,3.7,南東,北東,0.5,0.0,0.0
13,0.0,0.0,0.0,1.7,5.0,-0.4,1.1,3.3,北,6.3,北,北東,1.6,0.0,0.0
14,0.5,0.5,0.5,1.8,5.1,-0.5,1.3,3.0,南東,5.7,北,北東,3.1,0.0,0.0
15,7.5,3.5,1.0,2.6,6.6,-0.6,1.7,5.0,西北西,11.0,西,北東,0.5,0.0,0.0
16,3.0,1.0,0.5,2.8,4.9,1.0,2.4,4.4,西,9.6,西,西北西,1.0,0.0,0.0
17,0.5,0.5,0.5,3.7,6.3,-0.5,2.6,4.7,西北西,10.9,北西,西北西,3.6,0.0,0.0
18,0.0,0.0,0.0,0.7,4.3,-1.8,1.3,3.1,南東,4.6,北,東南東,6.0,0.0,0.0
19,0.0,0.0,0.0,1.9,5.6,-1.6,1.2,3.1,東南東,5.5,南東,東南東,1.9,0.0,0.0
20,14.5,3.5,2.5,4.2,8.0,0.4,3.3,7.6,西南西,14.7,西,西北西,1.8,0.0,0.0
21,12.5,5.0,2.0,1.8,3.1,0.4,3.0,5.4,北北西,13.6,北西,北西,0.4,10.0,8.0
22,0.0,0.0,0.0,1.1,3.7,-0.9,1.3,3.1,東南東,6.3,西,北東,1.1,0.0,5.0
23,3.5,2.5,1.0,2.2,4.5,-0.5,0.9,2.8,南東,4.3,南東,北北東,0.0,0.0,3.0
24,1.0,0.5,0.5,1.7,6.0,-0.5,2.2,5.2,北北西,12.6,北北西,北西,0.1,0.0,0.0
25,0.0,0.0,0.0,1.6,2.9,-0.4,2.4,3.7,北北西,8.1,北北西,北西,1.9,0.0,0.0
26,0.0,0.0,0.0,1.9,5.2,-1.6,1.9,3.1,北西,6.6,北西,東南東,5.0,0.0,0.0
27,0.0,0.0,0.0,3.6,6.9,-0.4,2.0,5.2,東南東,9.9,東,東南東,4.1,0.0,0.0
28,2.5,2.0,1.0,5.3,7.6,3.5,4.9,7.4,東南東,15.7,南東,東南東,0.0,0.0,0.0
29,14.5,3.0,1.0,5.8,7.2,4.5,1.4,4.4,東南東,9.3,東,東南東,0.0,0.0,0.0
30,15.5,4.0,1.5,5.7,7.6,4.1,1.6,4.4,西北西,10.6,西北西,西北西,0.2,0.0,0.0
31,6.5,2.0,1.5,4.7,6.6,3.2,4.2,5.9,西,13.0,北西,西北西,0.7,0.0,0.0
