,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,7.5,1.5,0.5,,,,,,,,,,,,
2,0.0,0.5,0.0,,,,,,,,,,,,
3,2.0,1.5,0.5,,,,,,,,,,,,
4,1.0,0.5,0.5,,,,,,,,,,,,
5,11.5,1.5,1.0,,,,,,,,,,,,
6,0.5,0.5,0.5,,,,,,,,,,,,
7,0.0,0.0,0.0,,,,,,,,,,,,
8,42.0,4.5,1.0,,,,,,,,,,,,
9,3.5,1.5,0.5,,,,,,,,,,,,
10,0.0,0.0,0.0,,,,,,,,,,,,
11,14.5,4.0,1.0,,,,,,,,,,,,
12,0.5,0.5,0.5,,,,,,,,,,,,
13,0.0,0.0,0.0,,,,,,,,,,,,
14,1.0,0.5,0.5,,,,,,,,,,,,
15,1.5,1.0,0.5,,,,,,,,,,,,
16,1.5,1.0,0.5,,,,,,,,,,,,
17,1.0,1.0,1.0,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,1.0,1.0,0.5,,,,,,,,,,,,
20,15.5,3.5,1.0,,,,,,,,,,,,
21,10.0,2.5,1.0,,,,,,,,,,,,
22,0.0,0.0,0.0,,,,,,,,,,,,
23,1.5,1.0,0.5,,,,,,,,,,,,
24,1.5,0.5,0.5,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,0.0,0.0,0.0,,,,,,,,,,,,
28,3.0,1.0,0.5,,,,,,,,,,,,
29,10.0,2.5,1.0,,,,,,,,,,,,
30,5.0,1.5,0.5,,,,,,,,,,,,
31,13.5,2.0,0.5,,,,,,,,,,,,
