,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,11.0,4.5,1.5,-2.5,-0.9,-4.1,1.9,5.5,北北西,12.2,北北西,北北西,0.6,24.0,27.0
2,1.5,0.5,0.5,-1.6,0.5,-4.1,1.3,4.1,北,11.9,北,北北西,0.0,3.0,29.0
3,8.0,2.0,0.5,-1.8,0.3,-5.4,0.2,1.6,北北西,4.7,北,西北西,0.0,12.0,31.0
4,4.0,2.0,0.5,-2.0,0.5,-4.4,0.8,2.8,北西,6.8,北,北西,1.1,8.0,32.0
5,3.5,1.0,0.5,-2.8,-1.5,-3.9,2.6,5.8,北北西,13.3,北,北北西,0.1,13.0,41.0
6,0.5,0.5,0.5,-0.5,1.8,-2.5,1.8,5.8,北北西,11.0,北,西,0.8,1.0,40.0
7,0.5,0.5,0.5,-1.5,2.3,-6.6,1.4,3.9,南東,7.8,南南東,南南東,1.1,1.0,28.0
8,24.5,4.0,1.5,1.9,4.9,0.5,2.4,5.4,南東,11.5,南東,南南東,0.1,1.0,26.0
9,17.0,6.0,1.5,1.0,3.3,-0.5,0.6 ),2.8 ),南南東 ),6.0 ),南 ),西南西 ),0.3,1.0,13.0
10,1.0,0.5,0.5,0.4,3.0,-0.5,0.3 ),2.0 ),北 ),3.4 ),北北西 ),北北西 ),0.2,0.0,10.0
11,4.0,3.0,1.0,1.1,5.3,-0.6,0.8 ],3.1 ],南南東 ],7.2 ],南南東 ],南東 ],3.1,2.0,10.0
12,0.0,0.0,0.0,0.4,2.5,-1.6,0.2 ),1.2 ),北北西 ),3.2 ),北 ),南西 ),1.7,0.0,8.0
13,1.0,0.5,0.5,-0.3,1.7,-1.7,0.3,1.8,北北西,2.9,北西,西北西,0.0,4.0,10.0
14,0.5,0.5,0.5,0.0,3.6,-2.3,0.6,4.1,北,9.0,北,西北西,0.7,1.0,8.0
15,5.0,1.5,0.5,0.3,3.0,-1.3,0.8 ),2.4 ),北 ),4.6 ),北北西 ),北北西 ),0.6,10.0,12.0
16,0.5,0.5,0.5,-0.4,1.9,-2.6,2.4 ],5.3 ],北 ],12.2 ],北 ],北 ],1.5,3.0,14.0
17,1.0,1.0,0.5,-0.5,2.6,-3.6,0.8,4.2,北北西,10.0,北,西,2.9,3.0,14.0
18,0.0,0.0,0.0,-2.5,0.4,-4.8,0.9,2.8,北,4.7,北,北,2.2,1.0,11.0
19,0.0,0.0,0.0,-0.9,2.8,-5.7,1.0,3.2,南東,7.7,南南東,南東,3.9,0.0,10.0
20,16.5,4.0,1.5,0.6,3.1,-0.4,1.1,6.2,北,12.4,北,北西,0.6,12.0,17.0
21,11.5,2.5,1.0,-2.1,-0.1,-4.0,0.0 ],0.0 ],静穏 ],0.0 ],北北西 ],静穏 ],0.0,19.0,36.0
22,0.0,0.0,0.0,-1.8,1.3,-5.6,0.8 ],2.3 ],南 ],5.1 ],東南東 ],南南西 ],1.4,0.0,33.0
23,1.5,0.5,0.5,0.3,1.6,-2.6,0.3,1.2,南南西,2.5,北東,南南西,0.0,0.0,25.0
24,0.5,0.5,0.5,-0.1,2.2,-2.0,1.2,4.0,北北西,10.0,北,北西,0.6,2.0,18.0
25,0.0,0.0,0.0,-2.3,-0.8,-4.0,2.4,4.4,北北西,9.0,北北西,北北西,0.0,2.0,17.0
26,0.0,0.0,0.0,-2.1,1.4,-5.9,1.3,4.2,北北西,8.6,北,北西,2.3,1.0,17.0
27,0.0,0.0,0.0,-0.4,2.4,-5.4,1.4,4.6,南東,10.6,南南東,南東,5.4,1.0,15.0
28,4.5,2.0,0.5,2.0,3.3,0.8,2.6,4.3,南南東,10.4,南東,南南東,0.0,1.0,14.0
29,20.5,3.0,1.0,2.6,5.5,0.5,1.2,4.7,南南東,14.1,南南東,南,0.0,0.0,11.0
30,16.0,2.0,0.5,1.8,4.0,0.5,0.5,2.5,北北西,5.8,北,西,0.0,1.0,6.0
31,9.0,1.5,0.5,0.3,2.5,-0.4,2.5,5.8,北北西,14.0,北,北北西,0.0,16.0,18.0
