,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,5.0,1.0,0.5,,,,,,,,,,,,
2,1.0,0.5,0.5,,,,,,,,,,,,
3,2.0,1.0,0.5,,,,,,,,,,,,
4,0.0,0.0,0.0,,,,,,,,,,,,
5,3.5,0.5,0.5,,,,,,,,,,,,
6,1.5,0.5,0.5,,,,,,,,,,,,
7,0.0,0.0,0.0,,,,,,,,,,,,
8,37.5,5.0,1.5,,,,,,,,,,,,
9,3.0,1.0,0.5,,,,,,,,,,,,
10,0.0,0.0,0.0,,,,,,,,,,,,
11,14.5,5.0,1.0,,,,,,,,,,,,
12,0.0,0.0,0.0,,,,,,,,,,,,
13,0.5,0.5,0.5,,,,,,,,,,,,
14,0.0,0.0,0.0,,,,,,,,,,,,
15,6.5,3.0,1.0,,,,,,,,,,,,
16,2.5,2.5,1.0,,,,,,,,,,,,
17,1.5,1.0,1.0,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,0.0,0.0,0.0,,,,,,,,,,,,
20,19.5,3.5,1.5,,,,,,,,,,,,
21,7.5,3.0,1.0,,,,,,,,,,,,
22,0.0,0.0,0.0,,,,,,,,,,,,
23,1.0,0.5,0.5,,,,,,,,,,,,
24,1.0,1.0,0.5,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,0.0,0.0,0.0,,,,,,,,,,,,
28,5.5,2.0,1.0,,,,,,,,,,,,
29,38.0,8.0,2.0,,,,,,,,,,,,
30,3.5,1.5,0.5,,,,,,,,,,,,
31,3.5,1.0,0.5,,,,,,,,,,,,
