,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1017.5,1020.3,4.0,1.5,0.5,0.8,2.6,-1.8,69.0,43.0,8.3,14.2,西,22.4,西北西,0.0,4.0,8.0,雪,曇時々雪、ふぶきを伴う
2,1018.6,1021.3,0.0,0.0,0.0,2.9,4.1,0.0,53.0,43.0,7.9,13.0,西北西,20.2,北西,0.7,,6.0,曇時々雪、あられを伴う,曇後晴
3,1013.5,1016.2,0.5,0.5,0.5,3.6,5.8,1.0,58.0,43.0,5.3,9.6,北西,16.4,西北西,0.8,,3.0,曇時々雪一時晴、あられを伴う,曇時々雪、あられを伴う
4,1013.4,1016.1,0.5,0.5,0.5,1.0,3.1,-1.8,66.0,45.0,4.7,8.5,西北西,13.8,北西,1.0,2.0,1.0,曇一時雪,曇時々晴一時雪
5,1019.4,1022.2,0.0,0.0,0.0,1.2,3.8,-2.2,63.0,42.0,6.5,10.8,北西,17.3,西北西,4.7,,0.0,曇時々晴一時雪,曇時々晴一時雪
6,1024.0,1026.8,0.0,0.0,0.0,3.0,6.1,-1.1,58.0,43.0,5.1,9.2,西北西,14.6,北西,1.5,,,曇時々晴,晴一時薄曇
7,1022.2,1025.0,,,,0.5,3.5,-3.7,66.0,48.0,2.7,5.0,南東,7.8,南東,2.9,,,曇一時晴,曇後雨一時雪
8,998.8,1001.5,27.5,4.0,1.5,4.7,7.4,1.0,92.0,54.0,5.5,9.8,東南東,15.5,東南東,0.0,,0.0,雨,雨
9,1007.3,1010.0,12.5,4.0,1.0,4.2,6.9,2.3,85.0,61.0,3.5,6.3,北北西,9.5,北北東,0.2,,,雨後曇,曇一時雨、みぞれを伴う
10,1014.8,1017.5,1.0,1.0,1.0,3.3,6.7,1.3,82.0,51.0,1.8,4.3,西,5.9,南東,4.5,,,晴時々曇一時みぞれ,曇時々みぞれ
11,1011.7,1014.4,21.0,9.0,2.0,1.6,5.0,0.3,95.0,81.0,2.8,5.9,東南東,9.4,南東,1.2,2.0,2.0,雪時々みぞれ一時曇,曇一時みぞれ
12,1008.9,1011.6,0.0,0.0,0.0,1.9,4.3,0.1,95.0,87.0,2.1,4.2,東南東,6.2,東南東,0.9,,2.0,曇,曇時々晴
13,1011.5,1014.2,0.0,0.0,0.0,1.5,4.9,-0.7,79.0,48.0,2.7,6.5,北,9.8,北北西,3.1,,0.0,曇時々晴,曇一時晴
14,1018.0,1020.8,0.5,0.5,0.5,1.5,5.4,-0.8,79.0,58.0,2.0,4.6,北北西,6.9,北,4.3,,0.0,晴一時雪,曇時々晴
15,1016.0,1018.8,2.0,2.0,0.5,1.9,5.4,-1.4,79.0,54.0,2.7,8.7,西,13.7,西,1.9,,,曇時々みぞれ,雪時々みぞれ一時曇、あられを伴う
16,1018.3,1021.1,1.5,0.5,0.5,1.2,3.2,-0.3,77.0,61.0,2.9,9.6,西南西,13.7,西,0.5,,0.0,雪一時曇、あられを伴う,曇一時雪、あられを伴う
17,1017.9,1020.6,0.0,0.0,0.0,2.8,6.0,-0.9,58.0,43.0,4.6,9.3,西,14.3,西,4.0,,,晴時々曇一時雪,晴後曇
