,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-1.5,-0.3,-3.2,7.6,11.9,西,18.5,西,西,,,
2,0.0,0.0,0.0,0.0,1.9,-2.2,6.1,11.5,西,17.5,西,西南西,,,
3,0.0,0.0,0.0,0.4,3.8,-2.2,4.4,9.4,西,15.9,西北西,西,,,
4,3.0,1.0,0.5,-2.2,0.1,-5.5,2.4,6.0,西,8.7,西,西,,,
5,0.5,0.5,0.5,-3.3,-1.0,-9.0,2.3,6.4,西,10.8,西,西,,,
6,1.0,0.5,0.5,-0.6,2.7,-7.4,3.3,7.6,西,11.3,西,西,,,
7,0.0,0.0,0.0,-4.3,0.3,-10.7,0.7,2.2,東,2.6,北北東,東南東,,,
8,30.5,4.5,1.0,1.3,3.8,-3.1,2.3,4.7,北東,8.7,北東,北北東,,,
9,1.0,1.0,0.5,2.1,4.5,-0.3,1.9,5.6,西,9.3,西,北東,,,
10,0.0,0.0,0.0,0.9,4.4,-2.5,0.9,2.6,東北東,4.6,東北東,東南東,,,
11,8.5,2.5,0.5,-0.6,0.6,-3.9,0.6,1.9,東,3.1,南西,南東,,,
12,0.5,0.5,0.5,-0.3,0.7,-1.2,0.6,1.4,東北東,2.1,南,北北東,,,
13,0.0,0.0,0.0,-0.6,2.7,-5.1,1.1,4.9,西,6.7,西,南西,,,
14,0.5,0.5,0.5,-2.0,2.1,-5.7,0.9,2.7,東,4.1,北,北東,,,
15,2.0,1.0,0.5,-1.3,4.0,-6.4,1.2,3.8,西南西,6.7,東北東,北東,,,
16,0.5,1.0,0.5,-1.2,0.3,-3.2,2.5,6.9,西,9.8,西,南,,,
17,1.0,1.0,0.5,-0.3,2.4,-2.7,2.4,6.4,西北西,9.8,西北西,南,,,
18,0.0,0.0,0.0,-1.2,2.2,-4.4,2.1,5.3,東,8.2,東北東,北北東,,,
19,0.0,0.0,0.0,-2.2,3.5,-9.0,0.9,2.6,東,3.6,北北東,西北西,,,
20,7.0,2.5,1.0,1.0,4.0,-1.0,2.8,10.1,西,15.4,西,南,,,
21,1.0,1.0,0.5,-0.8,0.7,-3.1,3.6,10.0,西,14.4,西,西,,,
22,0.0,0.0,0.0,-0.4,4.0,-3.7,1.3,3.7,南西,5.7,南西,南南東,,,
23,1.0,0.5,0.5,1.2,5.6,-1.4,0.8,2.9,北,4.1,北,北北東,,,
24,1.0,1.0,0.5,-1.1,1.3,-2.6,3.0,8.6,西,12.3,西,西,,,
25,0.0,0.0,0.0,-1.9,-0.3,-3.4,3.3,6.9,西,10.3,西,西,,,
26,0.0,0.0,0.0,-2.7,1.6,-8.0,1.8,5.8,西,8.7,西,南南東,,,
27,0.0,0.0,0.0,-0.6,4.7,-6.7,1.3,4.0,北東,6.2,北東,北東,,,
28,3.0 ),2.5 ),1.0 ),3.2 ),6.0 ),0.5 ),3.3 ),6.0 ),東北東 ),10.3 ),東北東 ),北東 ),,,
29,31.5,5.0,1.0,3.6,5.5,1.3,2.3,3.9,北東,7.2,北東,北東,,,
30,5.0,1.5,0.5,3.5,5.8,1.5,2.7,6.7,西,9.8,西,西南西,,,
31,3.5,0.5,0.5,2.3,4.5,1.3,4.5,7.6,西,12.9,西,西南西,,,
