,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,13.5,2.5,1.0,-1.6,0.2,-3.2,1.5,3.5,西北西,10.0,西,南,0.1,17.0,27.0
2,2.5,1.5,0.5,-0.6,3.1,-3.9,1.0,3.1,南西,7.1,西,北,2.5,4.0,27.0
3,3.0,2.0,1.5,-1.6,1.9,-6.3,0.9,2.6,南,5.6,南西,南西,0.0,3.0,19.0
4,0.5,0.5,0.5,-1.4,2.2,-5.5,1.2,3.1,西北西,7.7,西南西,南南西,2.7,3.0,15.0
5,1.0,1.0,0.5,-2.2,1.6,-7.4,1.5,4.2,西,9.0,北西,北西,3.3,4.0,15.0
6,0.0,0.0,0.0,-0.7,3.9,-6.4,1.1,3.3,北西,7.7,西,北,0.2,0.0,13.0
7,0.0,0.0,0.0,-2.5,2.1,-8.5,1.3,3.3,北北東,4.3,北北東,北北東,1.6,0.0,7.0
8,43.0,5.5,1.5,2.5,5.6,-0.4,1.8,3.5,北北東,5.4,北,北,0.3,2.0,8.0
9,8.5,2.0,0.5,2.3,5.5,0.9,1.2,4.4,北,11.5,北北東,南南東,0.0,0.0,0.0
10,0.0,0.0,0.0,2.0,5.2,0.4,0.8,2.1,南,4.0,南,北北東,1.8,0.0,0.0
11,13.0,6.0,1.5,1.3,4.8,0.0,0.8,2.3,北北東,3.5,北,北北東,2.2,1.0,1.0
12,0.0,0.0,0.0,1.4,4.1,-0.1,1.1,2.1,北北東,3.2,北東,北北東,1.7,0.0,0.0
13,0.0,0.0,0.0,0.5,4.3,-1.8,1.2,2.8,南南西,6.7,南南西,北北東,1.8,0.0,0.0
14,0.0,0.0,0.0,0.4,3.7,-1.4,1.2,2.6,北北東,4.0,北北東,北北東,0.3,0.0,0.0
15,2.5,2.0,0.5,1.3,5.6,-1.1,1.4,2.9,西,6.1,西北西,北北東,1.5,0.0,0.0
16,1.0,0.5,0.5,-0.5,1.0,-2.1,1.4,3.0,南南東,5.7,南,南,0.1,0.0,0.0
17,1.0,1.0,0.5,0.0,4.4,-2.4,1.3,3.0,南南東,7.4,西,南南西,3.2,0.0,0.0
18,0.0,0.0,0.0,-0.9,4.2,-4.2,1.1,2.9,北北東,4.1,北北東,北北東,6.7,0.0,0.0
19,0.0,0.0,0.0,-0.2,4.2,-5.0,1.2,2.7,北北東,4.6,南,北北東,4.8,0.0,0.0
20,11.5,2.5,1.5,1.7,5.7,-0.1,1.3,3.6,南南東,7.5,南,南,1.8,0.0,0.0
21,5.5,3.0,1.0,-0.3,1.9,-3.6,1.3 ],4.1 ],西北西 ],8.6 ],西 ],北西 ],4.7,8.0,7.0
22,0.0,0.0,0.0,-0.7,3.5,-4.4,1.2,2.5,北北東,3.6,北東,北北東,0.6,1.0,2.0
23,1.5,1.0,0.5,1.8,6.1,-1.1,1.0,2.6,北東,4.4,北東,北北東,0.0,0.0,0.0
24,1.5,1.0,0.5,0.3,3.3,-1.4,1.2,2.9,西,6.1,西,南,1.7,0.0,0.0
25,0.0,0.0,0.0,-0.5,2.1,-2.2,1.4,3.9,北北西,8.2,西南西,西,5.3,0.0,0.0
26,0.0,0.0,0.0,-1.2,4.8,-4.3,1.3,3.3,西北西,7.5,西北西,北,4.9,0.0,0.0
27,0.0,0.0,0.0,-0.3,5.9,-5.3,1.1,2.6,南南西,4.4,南南西,北,5.5,0.0,0.0
28,0.0,0.0,0.0,3.4,7.3,-1.3,1.2,3.3,北北東,5.9,北北東,北北西,0.2,0.0,0.0
29,8.5,2.5,0.5,5.5,8.4,3.8,1.2,2.6,北北西,6.0,北西,北北西,0.0,0.0,0.0
30,8.0,1.5,0.5,4.3,6.1,2.5,1.1,2.4,南南西,5.0,南,南南西,0.2,0.0,0.0
31,3.5,0.5,0.5,2.7,4.5,0.9,2.0,3.3,西,10.0,西,西南西,3.0,0.0,0.0
