,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,4.0,1.0,0.5,-6.8,-5.6,-8.5,4.3,7.5,南西,10.9,南西,南西,0.0,20.0,39.0
2,4.5,1.0,0.5,-5.3,-4.3,-6.1,2.9,6.5,西南西,11.8,南西,南南西,0.0,15.0,51.0
3,3.5,1.0,0.5,-4.5,-2.4,-7.8,3.2,7.0,西,9.7,西,西南西,0.0,14.0,56.0
4,0.0,0.5,0.0,-9.2,-4.2,-13.7,1.2,3.6,南西,5.7,南西,南西,1.2,1.0,56.0
5,0.0,0.0,0.0,-10.1,-4.3,-14.3,1.2 ],3.2 ],南西 ],4.3 ],南西 ],東 ],1.1,1.0,46.0
6,0.5,0.5,0.5,-6.4,-1.3,-14.4,1.8 ],5.6 ],北北西 ],8.8 ],北西 ],南西 ],1.0,5.0,43.0
7,0.5,0.5,0.5,-5.3,-0.9,-13.7,1.2,3.0,東,4.6,東北東,北北東,0.5,2.0,42.0
8,0.0,0.0,0.0,-8.3,-4.2,-15.5,3.4,7.0,北,10.3,北,北,0.0,0.0,38.0
9,0.0,0.0,0.0,-8.1,-2.2,-15.7,2.0,5.5,北,6.9,北,北北東,5.8,0.0,36.0
10,0.0,0.0,0.0,-12.5,-6.9,-18.8,1.3,3.6,東,4.5,東,北,6.4,5.0,35.0
11,2.5,2.5,1.0,-6.5,-0.5,-16.1,1.1,2.2,北,3.3,西北西,北北西,0.7,9.0,42.0
12,0.0,0.0,0.0,-2.9,-0.5,-5.2,1.5,4.5,南西,6.1,南西,南西,1.4,2.0,40.0
13,0.0,0.0,0.0,-4.5,-2.7,-7.3,1.4,5.8,南南西,8.3,南南西,南南西,3.9,5.0,39.0
14,0.0,0.0,0.0,-5.0,-2.7,-6.8,1.5,5.2,南南西,7.0,南南西,南南西,0.8,6.0,39.0
15,0.0,0.0,0.0,-7.7,-5.0,-11.0,1.2,4.3,東,5.6,東,北,3.3,2.0,38.0
16,0.0,0.0,0.0,-6.2,-2.9,-10.0,1.9,4.8,南南西,6.8,南西,南南西,3.9,10.0,40.0
17,2.0,1.0,0.5,-6.0,-3.3,-9.3,2.6,5.0,南南西,6.8,南南西,南南西,2.4,7.0,47.0
18,0.0,0.0,0.0,-10.3,-6.1,-14.1,1.6,4.4,北,6.0,北,北北西,8.3,0.0,43.0
19,0.0,0.0,0.0,-11.0,-6.3,-17.5,1.2,3.0,北,3.8,北,北,3.3,2.0,40.0
20,0.0,0.0,0.0,-4.9,-1.7,-9.5,2.2,4.5,北,6.2,北北西,北,0.7,4.0,39.0
21,3.5,1.0,0.5,-5.2,-3.6,-11.4,1.0 ),3.1 ),北北西 ),4.4 ),北北西 ),北西 ),0.0,12.0,48.0
22,2.0,1.0,0.5,-3.7,0.3,-12.1,2.5 ),6.7 ),南南西 ),10.3 ),南西 ),南南西 ),0.3,11.0,52.0
23,0.0,0.5,0.0,-4.8,1.2,-10.3,1.6,6.3,南西,8.9,南西,南西,6.1,1.0,53.0
24,0.5,0.5,0.5,-7.3,-2.7,-12.3,3.2,8.0,西,13.2,西,西南西,0.3,8.0,50.0
25,1.5,1.0,0.5,-7.7,-5.1,-10.5,2.7,7.5,西,10.4,西,西南西,5.1,8.0,54.0
26,1.5,1.0,0.5,-8.3,-5.2,-10.6,1.5,6.3,南西,8.6,南南西,東,6.7,2.0,56.0
27,0.0,0.0,0.0,-7.0,-0.9,-14.2,1.5,4.1,南西,5.4,南西,北東,7.4,0.0,51.0
28,0.0,0.0,0.0,-10.5,-0.9,-19.5,1.5,3.4,東,4.3,東,北,5.5,0.0,47.0
29,0.0,0.0,0.0,-3.0,3.4,-11.9,4.0,6.2,北北西,8.9,東,北,0.0,0.0,46.0
30,0.0,0.0,0.0,-0.4,1.3,-2.3,6.7,9.2,北北西,12.5,北北西,北,0.0,0.0,44.0
31,0.0,0.0,0.0,-1.5,0.4,-4.9,7.1,12.1,北,16.6,北,北,0.1,0.0,43.0
