,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,5.5,1.0,0.5,-7.3,-6.0,-9.0,3.7,8.7,西,14.4,西,西,0.0,,
2,0.5,0.5,0.5,-5.7,-4.4,-6.6,4.0,7.9,西,12.0,西,西南西,0.5,,
3,3.5,1.0,0.5,-5.1,-3.4,-7.6,3.3,9.1,西北西,14.0,西北西,西北西,0.0,,
4,8.0,1.5,0.5,-7.9,-6.0,-10.5,2.0,6.7,西北西,10.4,西北西,西北西,0.0,,
5,5.0,1.5,0.5,-8.8,-5.0,-12.1,1.5,4.9,西北西,7.9,北西,東南東,0.0,,
6,0.5,0.5,0.5,-5.4,-1.7,-12.0,2.7,7.9,北西,13.6,北西,北西,0.6,,
7,0.0,0.0,0.0,-5.2,-0.4,-15.3,0.7,1.9,北,4.6,北北東,北,1.7,,
8,0.0,0.0,0.0,-9.7,-2.2,-17.0,0.5,2.3,東,4.5,北東,北西,0.0,,
9,0.0,0.0,0.0,-9.3,-1.4,-16.9,1.1,3.1,北西,6.2,北西,北北西,3.7,,
10,0.0,0.0,0.0,-13.6,-5.7,-20.3,0.4,1.5,南東,1.8,南西,南東,6.2,,
11,0.0,0.0,0.0,-7.6,-2.6,-16.1,0.7,2.5,東南東,3.7,東,北北西,1.4,,
12,0.0,0.0,0.0,-4.9,-1.5,-12.3,0.8,2.4,東,4.8,西北西,東,0.1,,
13,1.0,0.5,0.5,-6.5,-2.9,-11.2,0.8,2.7,南,4.2,北西,北西,0.5,,
14,1.5,0.5,0.5,-6.7,-4.2,-10.3,0.8 ),2.9 ],南 ],4.4 ),南 ),南南東 ),1.2,,
15,0.0,0.0,0.0,-7.6,-2.7,-11.8,0.5,2.1,北西,3.1,北西,東,5.8,,
16,2.5,1.0,0.5,-7.4,-3.5,-12.7,0.7 ),2.6 ),南西 ),4.9 ),南西 ),東南東 ),3.3,,
17,1.5,0.5,0.5,-6.4,-3.8,-9.2,0.9 ],2.9 ],南 ],5.7 ],南 ],南南東 ],0.5,,
18,0.0,0.0,0.0,-10.6,-4.1,-16.1,0.4 ],1.5 ],北北西 ],2.0 ],西 ],北北東 ],4.5,,
19,0.0,0.0,0.0,-12.1,-5.5,-18.8,0.4,1.4,南東,1.7,東,西北西,4.2,,
20,1.0,0.5,0.5,-5.2,-0.4,-11.7,1.1,4.1,北西,6.0,北西,北西,0.0,,
21,3.0,1.0,0.5,-4.9,-3.1,-8.4,2.0,6.2,北西,10.2,北西,北西,0.4,,
22,1.5,1.5,0.5,-3.6,-0.3,-9.5,3.0,5.8,南,10.1,南,南南西,2.5,,
23,0.5,1.0,0.5,-6.6,-0.1,-16.9,0.6,2.2,北西,3.6,北北西,北北西,5.5,,
24,9.5,3.0,1.0,-8.2,-3.4,-17.2,3.6,10.1,西北西,15.7,西,北西,0.5,,
25,1.5,1.0,0.5,-8.1,-5.5,-10.0,3.8,8.9,西北西,13.5,西,西北西,0.6,,
26,1.0,0.5,0.5,-9.4,-6.5,-12.1,1.1,4.8,南南西,7.7,南南西,東南東,3.8,,
27,0.0,0.0,0.0,-7.8,-1.0,-18.0,1.1,3.5,北西,5.5,西北西,北西,3.7,,
28,0.0,0.0,0.0,-12.9,-4.2,-21.5,0.4,1.7,南,2.9,東,北西,7.6,,
29,0.0,0.0,0.0,-4.5,0.2,-15.3,1.5,4.1,東,6.3,東,東,0.0,,
30,0.5,0.5,0.5,-0.3,2.2,-4.2,2.0,4.3,北,11.4,北北西,北北東,0.0,,
31,0.0,0.0,0.0,-0.9,0.9,-3.5,2.5,4.3,北北東,12.2,北,北,0.0,,
