,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,10.0,2.0,1.0,-7.2,-6.0,-9.0,5.2,8.3,西南西,14.6,西,西南西,0.0,,
2,7.0,1.0,0.5,-5.7,-3.6,-6.6,3.6,7.9,西南西,12.3,西,西南西,0.0,,
3,5.5,1.0,0.5,-5.0,-3.2,-8.1,3.1,6.8,西南西,11.5,西,西南西,0.0,,
4,0.5,0.5,0.5,-9.5,-3.9,-17.2,1.4 ),5.6 ),西南西 ),9.4 ),西南西 ),西 ),5.9,,
5,0.0,0.0,0.0,-11.6,-4.0,-17.9,0.8 ),2.8 ),西 ),4.9 ),西南西 ),西,0.7,,
6,2.5,1.0,0.5,-5.8,-1.2,-12.9,1.0,4.0,西南西,10.1,西南西,西北西,1.9,,
7,0.0,0.0,0.0,-5.5,-0.5,-14.7,0.8,2.8,東,4.5,東南東,西北西,0.5,,
8,0.0,0.0,0.0,-8.5,-2.8,-16.3,0.4,1.4,西,2.4,西,東北東,0.0,,
9,0.0,0.0,0.0,-8.4,-0.8,-15.6,1.2,3.3,東,5.2,東,西,7.4,,
10,0.0,0.0,0.0,-10.6,-2.8,-18.2,0.7,2.3,西,3.4,西,西,7.9,,
11,0.5,0.5,0.5,-6.8,-1.1,-15.9,0.5,1.9,東北東,3.0,西,西,0.6,,
12,0.0,0.0,0.0,-3.8,-0.9,-7.7,0.9,4.4,西南西,7.1,西,西南西,1.1,,
13,0.0,0.0,0.0,-5.7,-3.1,-9.0,0.7,3.1,西南西,5.4,西南西,西,0.1,,
14,1.0,0.5,0.5,-6.3,-2.9,-9.4,0.6,2.7,西南西,4.9,南西,西北西,0.1,,
15,0.0,0.0,0.0,-7.5,-1.8,-12.3,0.6,2.3,東,4.1,東,西,2.3,,
16,4.5,2.5,1.0,-6.1,-2.4,-8.5,1.2,5.2,西南西,8.5,西,西北西,3.5,,
17,7.5,3.0,1.0,-6.6,-3.1,-11.6,1.0 ),4.6 ),西南西 ),7.2 ),西南西 ),西南西 ),1.0,,
18,0.0,0.0,0.0,-10.7,-2.0,-16.8,1.1,3.2,西北西,4.8,西,西,8.0,,
19,0.0,0.0,0.0,-9.8,-1.8,-18.1,0.7,2.9,西,3.7,西北西,西,3.6,,
20,0.0,0.0,0.0,-4.6,-0.4,-9.6,0.6,2.0,東,2.9,西,西,0.0,,
21,6.0,1.5,0.5,-6.4,-3.6,-13.0,1.0 ],2.9 ],西南西 ],5.2 ],西南西 ],西 ],0.0,,
22,9.5,2.5,0.5,-5.3,-0.5,-12.6,0.2,1.6,西北西,3.2,西,西,0.0,,
23,0.0,1.0,0.0,-6.7,0.9,-14.8,1.0 ],3.4 ],西南西 ],6.6 ],西南西 ],西 ],8.3,,
24,4.5,1.5,0.5,-8.0,-3.0,-15.4,2.3,8.4,西南西,14.1,西,西南西,0.1,,
25,2.5,2.0,0.5,-8.2,-5.5,-11.9,1.6 ],6.3 ],西南西 ],12.4 ],西南西 ],西南西 ],0.0,,
26,0.0,0.0,0.0,-8.6,-4.1,-12.0,0.5 ),3.5 ),西南西 ),5.9 ),西南西 ),南南東 ),4.2,,
27,0.0,0.0,0.0,-7.0,0.2,-15.4,0.9,2.9,東,5.2,西,東,6.8,,
28,0.0,0.0,0.0,-10.3,0.6,-19.7,0.8,2.3,西北西,3.9,西南西,西,7.6,,
29,1.0,0.5,0.5,-3.7,1.2,-11.0,0.6,2.2,西北西,3.9,西,西,0.0,,
30,1.0,1.0,0.5,0.0,1.8,-3.3,1.4,2.9,南,10.7,東,南,0.0,,
31,0.0,0.0,0.0,-0.8,1.3,-3.9,1.9,3.7,西,12.2,東,東南東,0.9,,
