,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,,,,-6.7,-2.8,-11.5,2.4,5.0,南南東,8.7,西南西,南南西,,0.0,4.0
2,,,,-6.1,-1.5,-11.1,3.0,5.8,西北西,11.3,西,南南西,,0.0,3.0
3,,,,-5.3,0.7,-10.3,2.5,8.3,北北西,11.8,北北西,南西,,3.0,5.0
4,,,,-8.8,-3.6,-14.2,2.3,4.6,西北西,9.8,北西,南南西,,1.0,5.0
5,,,,-8.4,-2.7,-14.6,2.6,4.7,北西,7.7,北西,南南西,,1.0,4.0
6,,,,-5.4,-0.8,-12.5,5.1,10.4,北北西,16.5,西北西,北西,,9.0,6.0
7,,,,-2.9,-0.9,-8.7,3.3,8.1,北北西,12.9,西北西,北北西,,0.0,6.0
8,,,,-4.7,-1.7,-10.1,1.7,5.3,南南東,6.7,南南東,南南東,,0.0,5.0
9,,,,-3.9,-2.1,-5.9,3.5,7.5,北,10.3,北北西,北北西,,2.0,6.0
10,,,,-6.0,-1.8,-12.4,2.7,5.9,北北西,8.7,北,北北西,,2.0,6.0
11,,,,-6.0,1.1,-13.2,2.3,4.6,南,5.7,南,南,,2.0,6.0
12,,,,-5.7,-1.7,-12.3,2.0,4.6,南南東,5.1,北,南南東,,2.0,6.0
13,,,,-6.0,-2.1,-14.6,1.5,3.7,南南東,4.1,南,南東,,2.0,8.0
14,,,,-8.1,-1.2,-16.7,2.4,4.8,北,6.7,北北西,南南東,,0.0,8.0
15,,,,-7.1,-2.4,-14.0,1.6,4.5,南,5.7,南南東,南,,0.0,7.0
16,,,,-8.1,-3.5,-14.9,1.8,4.0,南,5.1,南南西,南,,0.0,7.0
17,,,,-8.4,-1.4,-15.8,2.2,4.6,北,5.1,北,南,,0.0,7.0
18,,,,-10.5,-1.7,-16.7,2.1,4.1,南,5.1,東北東,南,,0.0,7.0
19,,,,-8.9,-1.2,-15.2,2.0,4.0,南,5.1,南南西,南南東,,0.0,7.0
20,,,,-5.4,-2.5,-12.0,1.5,4.2,南南西,6.2,南南西,南南東,,12.0,19.0
21,,,,-5.7,-3.1,-11.3,3.0,6.3,北北西,10.8,西北西,北西,,2.0,19.0
22,,,,-6.6,1.0,-16.5,2.6,4.9,南,7.2,南南西,南南西,,0.0,17.0
23,,,,-3.5,0.0,-11.3,2.2,5.8,北,7.7,北北西,北,,1.0,16.0
24,,,,-6.8,-0.7,-15.1,3.3,7.5,北西,12.3,北西,西北西,,1.0,14.0
25,,,,-8.6,-6.4,-12.0,4.2,7.1,北西,12.9,北北西,西北西,,2.0,13.0
26,,,,-11.5,-6.2,-16.9,2.1,5.2,北西,9.8,北西,南,,0.0,13.0
27,,,,-9.3,-3.6,-18.7,2.8,6.3,北,9.3,北北西,南南西,,1.0,14.0
28,,,,-11.7,-2.4,-19.3,2.4,5.0,南南西,5.7,南南西,南南東,,0.0,13.0
29,,,,-3.3,0.4,-12.0,3.8,9.2,南南東,11.8,南東,南南東,,0.0,13.0
30,,,,-0.7,0.5,-4.1,5.4,9.0,北北東,13.9,北北東,北北東,,8.0,18.0
31,,,,-0.6,0.3,-1.9,6.8,10.6,北,14.9,北,北,,20.0,32.0
