,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1002.5,1008.1,,,,-6.3,-3.2,-9.5,48.0,30.0,3.4,7.3,西北西,14.3,西,6.3,,4.0,晴,晴
2,1004.9,1010.5,0.0,0.0,0.0,-5.4,-2.2,-8.1,54.0,36.0,3.1,6.7,北西,11.8,西北西,4.4,,3.0,晴時々曇一時雪,晴後時々曇
3,1003.4,1008.9,0.5,0.5,0.5,-4.2,0.1,-7.0,63.0,39.0,3.5,6.8,北西,12.4,北西,5.5,4.0,5.0,曇時々晴一時雪,雪時々曇後晴
4,1005.8,1011.4,0.0,0.0,0.0,-7.2,-4.4,-9.3,62.0,42.0,3.4,5.9,西北西,10.2,西北西,8.2,,4.0,晴,晴一時雪
5,1009.6,1015.2,0.5,0.5,0.5,-6.5,-2.7,-11.7,62.0,49.0,3.7,5.9,北西,12.3,北西,7.4,2.0,6.0,晴後時々雪,晴後一時曇
6,1011.6,1017.2,4.5,1.0,0.5,-3.5,-0.9,-8.5,69.0,53.0,7.2,11.8,北西,21.9,北西,1.9,1.0,5.0,曇時々雪一時晴,雪後一時曇
7,1019.9,1025.5,0.5,0.5,0.5,-1.9,-1.1,-3.7,72.0,62.0,4.3,10.1,北西,16.1,北西,0.0,1.0,1.0,曇一時雪,曇
8,1008.5,1014.1,0.0,0.0,0.0,-2.8,-1.2,-5.2,76.0,63.0,2.0,4.2,南南東,6.6,南南東,0.1,,1.0,曇,曇後時々雪、あられを伴う
9,1006.5,1012.0,1.0,0.5,0.5,-3.1,-1.5,-4.6,70.0,52.0,5.2,8.3,北,12.6,北,3.1,1.0,2.0,曇時々雪一時晴,曇一時雪
10,1012.3,1017.9,0.0,0.0,0.0,-3.6,-1.4,-5.6,65.0,51.0,4.1,8.0,北,13.2,北,5.4,1.0,3.0,晴一時雪,曇後一時晴
11,1007.7,1013.2,0.5,0.5,0.5,-3.3,0.5,-8.6,77.0,55.0,1.5,4.0,南西,5.5,南西,5.2,,2.0,曇時々晴後一時雪,晴一時雪
12,1004.1,1009.7,0.0,0.0,0.0,-3.2,0.1,-6.7,85.0,66.0,1.8,3.9,南西,5.9,北,2.1,2.0,4.0,曇後雪,雪時々曇
13,1006.9,1012.4,0.0,0.0,0.0,-3.5,-1.1,-7.8,78.0,57.0,2.0,4.0,北,6.2,西北西,1.3,1.0,5.0,曇後晴,晴後一時曇
14,1014.6,1020.3,0.0,0.0,0.0,-4.8,-0.9,-9.1,68.0,39.0,2.2,4.0,北北西,6.5,北北西,5.9,,3.0,晴時々曇,曇一時雪
15,1015.5,1021.2,0.5,0.5,0.5,-4.6,-2.5,-7.3,78.0,64.0,1.7,3.2,西南西,4.5,西南西,7.4,1.0,4.0,晴時々曇一時雪,曇後一時雪
16,1011.4,1017.0,0.0,0.0,0.0,-5.1,-3.3,-7.6,74.0,63.0,2.0,3.8,南西,5.7,西南西,2.9,1.0,4.0,雪時々曇一時晴,晴後曇
17,1011.3,1016.9,,,,-4.5,-1.0,-7.9,67.0,44.0,2.8,5.5,西南西,8.0,西南西,5.7,,4.0,晴一時曇,晴
18,1014.5,1020.2,,,,-5.9,-1.4,-11.3,64.0,43.0,2.0,3.6,西南西,5.3,南南西,8.8,,3.0,快晴,晴後薄曇
19,1010.2,1015.8,,,,-5.4,-1.6,-10.3,70.0,57.0,1.8,3.9,南南西,6.0,南南西,7.8,,3.0,薄曇後晴,薄曇一時晴
20,1003.9,1009.4,4.5,1.5,0.5,-3.7,-2.3,-6.2,84.0,67.0,1.9,3.7,南南東,6.0,西,0.0,8.0,11.0,曇後雪,雪時々曇
21,1009.2,1014.8,2.5,1.0,0.5,-4.2,-3.0,-6.2,74.0,56.0,4.5,8.0,北西,13.7,北西,2.3,4.0,12.0,雪時々晴一時曇,晴時々雪一時曇
22,1015.6,1021.2,,,,-3.0,1.2,-10.6,62.0,48.0,3.5,7.1,南西,11.5,南西,7.4,,9.0,晴一時曇,晴後曇一時雪
23,1014.7,1020.2,0.0,0.0,0.0,-1.9,0.9,-5.9,72.0,55.0,2.9,6.5,南西,11.5,南西,1.5,,8.0,曇時々晴,晴時々曇
24,1010.5,1016.1,1.0,0.5,0.5,-5.4,0.3,-8.3,69.0,49.0,4.5,9.7,北西,17.9,西北西,3.5,2.0,9.0,雪時々晴一時曇,晴
25,1017.8,1023.5,1.5,0.5,0.5,-8.2,-6.1,-10.3,59.0,39.0,6.5,10.4,北西,18.1,北西,2.6,3.0,7.0,雪一時晴,曇一時雪
26,1018.4,1024.2,0.5,0.5,0.5,-8.5,-5.0,-12.1,51.0,42.0,3.6,7.7,北西,13.7,北北西,8.0,,3.0,晴一時曇,晴後雪時々曇
27,1020.5,1026.2,0.0,0.0,0.0,-5.7,-3.7,-10.7,71.0,51.0,4.1,7.4,北西,12.7,北北西,1.4,5.0,8.0,雪後晴,快晴
28,1023.2,1028.9,,,,-6.4,-3.3,-11.6,74.0,53.0,2.1,3.9,西南西,5.8,南,9.0,,6.0,晴後一時薄曇,薄曇
29,1015.2,1020.8,,,,-2.2,0.9,-6.7,71.0,56.0,3.7,7.2,南,11.5,南,2.0,,5.0,曇,曇後時々雪
30,996.2,1001.6,5.5,1.5,0.5,-0.5,0.4,-1.6,91.0,75.0,5.3,8.9,東北東,17.1,北東,0.0,7.0,11.0,雪,曇後雪
31,996.4,1001.8,13.5,1.5,0.5,-0.9,-0.2,-1.7,93.0,80.0,7.9,10.5,北,15.9,北北東,0.0,16.0,26.0,雪,雪一時曇
