,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,1007.2,1021.3,,,,5.4,11.2,-0.3,48.0,27.0,2.9,5.7,北北西,10.2,北北西,9.1,,,晴,晴
2,1007.1,1021.2,,,,6.4,11.7,2.4,56.0,37.0,3.2,6.0,北,11.2,北北東,9.1,,,晴,晴
3,1002.5,1016.5,,,,6.4,13.3,0.8,58.0,29.0,2.5,6.1,北,10.7,北北西,8.2,,,晴,晴
4,1000.7,1014.6,0.0,0.0,0.0,6.1,10.8,2.6,58.0,35.0,3.5,6.6,北,12.1,北,7.8,,,晴後一時曇,雨時々曇後晴、みぞれを伴う
5,1007.8,1021.9,0.0,0.0,0.0,3.8,7.4,1.5,67.0,44.0,2.8,5.4,北,10.2,北北西,4.3,,,晴時々みぞれ後曇,晴
6,1012.2,1026.3,,,,5.6,10.2,0.8,52.0,36.0,3.5,7.2,北,13.9,北北東,8.6,,,晴,晴
7,1011.3,1025.5,0.0,0.0,0.0,3.6,7.6,0.6,70.0,45.0,1.6,3.8,北北西,8.1,北北西,2.3,,,曇後時々雨,曇時々雨
8,990.0,1003.8,3.5,2.5,1.0,6.5,13.4,3.5,86.0,49.0,1.3,5.0,西北西,10.8,西,3.8,,,雨後曇時々晴,晴
9,996.3,1010.1,,,,8.9,12.6,3.7,53.0,34.0,4.0,6.8,北北西,12.3,北,7.9,,,晴,晴
10,1002.6,1016.5,,,,6.3,11.4,2.6,57.0,33.0,3.1,6.0,北,12.8,北,7.8,,,晴後一時曇,晴一時曇
11,1001.7,1015.8,0.0,0.0,0.0,4.8,9.7,2.1,63.0,51.0,1.9,3.6,北北西,7.2,北北西,5.1,,,曇一時雪後晴,晴
12,997.5,1011.4,0.0,0.0,0.0,5.4,9.5,1.5,70.0,51.0,1.5,4.4,北西,7.5,北西,1.3,,,曇一時晴後一時雨,曇後晴
13,997.7,1011.6,0.0,0.0,0.0,7.7,15.2,1.7,62.0,31.0,1.9,4.2,北北西,6.7,北,7.3,,,晴後一時曇,曇時々晴一時雨
14,1005.6,1019.6,,,,7.2,11.5,2.9,64.0,42.0,1.8,3.4,北西,5.9,北,5.3,,,曇時々晴,曇時々晴後雨
15,1002.9,1016.9,0.5,0.5,0.5,6.9,12.7,3.7,71.0,39.0,2.8,7.6,北西,13.2,北北西,4.1,,,雨時々曇後晴,晴
16,1007.6,1021.7,,,,5.2,11.1,1.3,55.0,31.0,2.5,4.7,北北東,8.4,北,7.5,,,晴時々曇,晴後時々曇
17,1005.4,1019.4,0.0,0.0,0.0,5.7,11.4,1.4,56.0,35.0,2.1,3.8,北西,6.6,北北西,5.8,,,曇時々晴,曇時々みぞれ一時雨
18,1000.3,1014.3,0.0,0.0,0.0,3.9,5.4,2.6,74.0,56.0,1.6,4.0,南南東,6.3,南南東,0.0,,,曇、みぞれを伴う,晴時々曇
19,1000.2,1014.2,,,,5.8,11.6,0.5,56.0,33.0,1.7,3.4,北西,7.2,北,7.3,,,晴後時々曇,晴
20,998.5,1012.3,,,,7.4,13.5,1.9,55.0,35.0,3.0,5.7,北,10.3,北,8.7,,,晴,晴一時曇
21,1007.4,1021.5,0.0,0.0,0.0,5.2,8.7,1.4,54.0,34.0,4.0,8.0,北北西,15.1,北北西,8.7,,,晴一時雨,晴
22,1014.3,1028.5,,,,4.0,9.5,-0.8,56.0,37.0,1.7 ),3.6 ),北 ),6.4 ),北 ),7.8 ),,,晴,晴時々曇
23,1007.5,1021.6,0.5,0.5,0.5,6.0,9.1,1.8,78.0,61.0,1.1,3.1,北,5.8,北,0.1,,,雨時々曇、みぞれを伴う,晴時々曇
24,1008.5,1022.4,,,,8.3,16.1,2.5,67.0,31.0,3.1,7.2,北西,13.5,北北西,8.6,,,晴後一時曇,晴時々曇
25,1014.1,1028.2,,,,6.5,11.4,4.0,38.0,19.0,2.9,6.1,北北西,11.9,北北西,8.0,,,晴時々曇,曇
26,1012.7,1026.9,,,,5.4,9.8,3.6,50.0,35.0,1.4,2.7,南東,4.6,南東,2.4,,,曇後時々晴,曇
27,1012.3,1026.5,1.5,1.0,0.5,4.2,6.4,1.2,63.0,50.0,1.2,2.8,西南西,4.6,西南西,0.2,,,曇,みぞれ時々曇一時雨
28,1005.4,1019.5,26.5,4.5,1.0,3.1,5.4,0.3,99.0,96.0,1.3,2.7,北北東,4.5,北,0.0,1.0,1.0,雨時々みぞれ,大雨
29,989.5,1003.0,25.0,4.5,1.5,11.3,18.2,5.2,72.0,44.0,3.1,6.2,北,11.5,北,6.0,,,雨時々曇後晴,晴
30,985.7,999.3,,,,9.7,17.2,4.7,58.0,24.0,3.7,6.7,西南西,13.1,北,7.6,,,晴後一時曇,晴
31,992.3,1006.2,0.0,0.0,0.0,5.7,9.9,2.2,54.0,30.0,3.7,7.0,北,12.6,北,6.8,,,晴後一時曇一時雨、みぞれを伴う,晴
