,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-6.4,-5.0,-8.5,2.8,5.1,北西,16.4,西北西,西北西,3.6,,
2,0.0,0.0,0.0,-4.8,-2.9,-6.7,2.2,5.9,北西,16.3,北西,北西,5.1,,
3,1.0,0.5,0.5,-3.6,-0.5,-7.0,1.5,3.5,北北西,8.6,北,北北西,3.8,,
4,0.0,0.5,0.0,-7.9,-4.7,-12.9,1.1,3.7,北,7.1,北西,北西,5.8,,
5,0.0,0.0,0.0,-7.6,-3.3,-13.1,1.2,4.0,北西,10.5,北,北北西,4.0,,
6,0.0,0.0,0.0,-3.5,-1.0,-9.9,2.3,4.9,北北西,12.0,西,北北西,7.0,,
7,0.0,0.0,0.0,-1.6,2.8,-6.1,1.2,3.9,北西,8.6,北西,北西,3.9,,
8,7.0,2.0,0.5,-1.7,0.8,-6.0,0.5 ),1.4 ),南南東 ),3.5 ),東 ),北北西 ),0.0,,
9,0.0,0.0,0.0,-2.1,0.8,-6.1,2.4 ],3.7 ],北北西 ],9.6 ],西北西 ],北北西 ),7.0,,
10,0.0,0.0,0.0,-4.9,1.2,-9.7,0.9,2.7,南東,4.8,南南東,北西,7.0,,
11,2.0,2.0,0.5,-2.0,3.2,-5.6,0.9,2.8,南西,6.0,南,西北西,3.5,,
12,0.0,0.0,0.0,-3.1,0.8,-7.5,1.0,2.9,北,6.3,北北西,西北西,1.5,,
13,0.0,0.0,0.0,-6.5,-2.2,-10.3,1.2,3.2,北,7.6,北西,北西,5.6,,
14,0.0,0.0,0.0,-5.5,-0.4,-11.4,1.4,3.2,北西,6.2,北西,北西,3.3,,
15,0.0,0.0,0.0,-5.2,0.0,-11.5,1.1,2.3,西,4.0,北西,西北西,4.3,,
16,0.0,0.0,0.0,-4.7,-1.6,-7.6,1.4,3.7,北,7.3,北,西北西,4.9,,
17,0.0,0.0,0.0,-5.5,-1.1,-8.8,1.3,3.5,北西,7.4,北西,西北西,4.7,,
18,0.0,0.0,0.0,-6.3,0.0,-11.6,0.9,2.2,南南東,4.3,南東,北北西,7.5,,
19,0.0,0.0,0.0,-3.8,0.6,-10.0,0.9,2.8,東南東,4.8,東南東,東南東,5.6,,
20,7.0,1.5,0.5,-1.2,1.6,-3.5,1.4 ],3.7 ],北西 ],8.4 ],西北西 ],北西 ],0.7,,
21,0.0,0.0,0.0,-4.5,-1.9,-8.1,1.5,3.4,北西,8.8,北,北西,7.1,,
22,2.0,1.0,0.5,-2.6,2.0,-9.1,0.8,3.0,南南西,6.0,南,北西,4.6,,
23,0.0,0.0,0.0,-1.8,3.0,-7.7,0.8,3.3,北北西,6.0,北北西,北北西,7.5,,
24,1.5,0.5,0.5,-5.7,0.0,-8.4,2.0,6.1,北北西,14.3,北,北北西,4.7,,
25,0.0,0.5,0.0,-6.9,-4.6,-8.5,2.0,4.6,北北西,12.2,北北西,北北西,3.4,,
26,0.0,0.0,0.0,-6.1,-3.6,-9.3,1.3,3.4,北西,7.7,北北西,北西,6.6,,
27,0.0,0.0,0.0,-3.5,1.2,-8.6,1.4,3.7,北西,8.6,北北西,北西,6.8,,
28,0.0,0.0,0.0,-3.6,0.3,-10.7,0.9,3.1,南東,7.8,南東,南東,0.1,,
29,17.5,2.0,0.5,0.1,1.1,-1.3,0.8,2.9,南東,7.4,南南東,西北西,0.0,,
30,0.5,0.5,0.5,3.0,6.6,0.6,2.8,5.8,北,13.4,北,北北西,1.7,,
31,0.0,0.0,0.0,1.1,2.2,-0.2,2.6,5.0,北,11.7,北北東,北北西,0.2,,
