,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-7.0,-5.3,-8.6,4.5,6.6,西,13.9,西,西,2.1,0.0,3.0
2,0.5,0.5,0.5,-5.1,-3.1,-7.3,4.0,7.0,西,14.6,西南西,西,2.1,3.0,6.0
3,0.0,0.0,0.0,-3.6,-0.6,-7.0,3.2,5.4,西,10.8,西,西,3.1,1.0,5.0
4,0.0,0.0,0.0,-7.0,-3.9,-10.1,1.7,3.7,西北西,7.6,西,西北西,5.2,1.0,5.0
5,0.0,0.0,0.0,-6.3,-3.1,-10.6,1.7,5.0,西北西,10.1,西北西,北西,4.5,1.0,6.0
6,0.0,0.0,0.0,-3.4,-1.2,-7.6,2.6,6.2,西北西,14.7,北北西,西北西,7.4,4.0,9.0
7,0.0,0.0,0.0,-1.6,2.1,-5.9,1.2,2.5,西北西,5.4,北,北北西,6.7,0.0,6.0
8,10.5,3.5,1.0,-0.8,0.5,-4.3,0.7 ),1.6 ),東北東 ),5.8 ),北東 ),東北東 ),0.0,13.0,18.0
9,0.0,0.0,0.0,-2.9,0.4,-7.0,1.9 ],2.9 ],西北西 ],4.6 ],西北西 ],北西 ],6.3,0.0,17.0
10,0.0,0.0,0.0,-3.5,-0.2,-7.9,1.0,2.4,北西,3.5,北西,北北西,8.6,1.0,16.0
11,0.0,0.0,0.0,-1.0,2.2,-3.7,1.4,3.9,西,8.9,西北西,北,3.3,1.0,16.0
12,0.0,0.0,0.0,-2.3,0.4,-5.6,1.3,2.7,西,5.9,西,北西,2.2,0.0,14.0
13,0.0,0.0,0.0,-5.4,-2.7,-8.7,1.4,3.1,西北西,6.8,西,北西,3.0,0.0,13.0
14,0.0,0.0,0.0,-4.6,-0.4,-8.7,1.5,3.9,西,7.1,西南西,北西,3.4,0.0,13.0
15,0.0,0.0,0.0,-4.0,-1.0,-8.0,0.9,2.2,南南東,3.4,南南東,南東,7.2,1.0,14.0
16,0.0,0.0,0.0,-4.2,-1.2,-7.7,1.7,3.6,西北西,7.1,西,西北西,3.7,0.0,13.0
17,0.0,0.0,0.0,-5.0,-2.4,-8.8,2.0,4.7,西,8.9,西南西,西,4.2,2.0,14.0
18,0.0,0.0,0.0,-4.9,-1.5,-9.0,1.3,2.3,北西,4.3,南,北,8.6,1.0,13.0
19,0.0,0.0,0.0,-2.9,-0.1,-7.2,0.7,2.1,南東,3.7,南南東,南東,6.0,0.0,13.0
20,8.0,4.0,1.0,-1.3,1.4,-3.3,1.5,4.3,西,7.6,西北西,西北西,2.3,19.0,29.0
21,1.5,1.0,0.5,-4.6,-2.0,-7.3,1.6,3.4,西,7.7,西,西北西,2.6,9.0,32.0
22,2.5,1.5,0.5,-1.5,2.0,-7.8,1.4,4.1,西,7.8,西,西,2.4,4.0,30.0
23,0.0,0.0,0.0,-0.6,2.3,-3.6,1.6,4.0,西,7.9,西,北西,8.7,1.0,28.0
24,0.0,0.0,0.0,-4.6,-0.4,-7.8,2.8,6.5,西北西,15.5,西,西北西,3.9,5.0,27.0
25,0.0,0.0,0.0,-6.8,-4.6,-8.5,3.0,6.0,西,12.8,西,西北西,7.1,3.0,28.0
26,0.0,0.0,0.0,-5.6,-3.2,-9.8,1.9,4.0,西北西,9.3,西,西,7.8,1.0,26.0
27,0.0,0.0,0.0,-2.6,1.7,-5.6,1.6,4.1,西,8.8,西北西,北,7.0,5.0,25.0
28,0.0,0.0,0.0,-2.0,0.2,-6.1,1.2,2.6,東南東,7.8,南東,東,0.5,2.0,26.0
29,36.0,5.0,1.0,0.2,1.8,-0.7,1.3,2.3,東,7.2,東南東,東北東,0.0,20.0,44.0
30,0.0,0.0,0.0,2.8,5.8,0.4,1.4,3.4,北北西,8.4,北西,北,0.5,3.0,41.0
31,0.0,0.0,0.0,0.7,2.9,-1.5,1.0,1.9,南南東,3.1,南西,西北西,0.8,0.0,34.0
