,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.2,10.4,-0.3,1.8,4.7,西北西,9.5,西北西,北,9.4,,
2,0.0,0.0,0.0,4.4,11.9,-1.8,1.2,2.5,北北東,4.3,北北東,北北東,9.4,,
3,0.0,0.0,0.0,4.4,11.9,-1.8,1.0,2.4,南南西,4.1,南,北,9.3,,
4,0.0,0.0,0.0,5.7,11.9,-0.1,1.9,4.4,北西,10.4,西北西,北西,7.9,,
5,0.0,0.0,0.0,4.0,9.0,-1.5,2.5,6.9,西北西,13.5,西北西,西北西,9.0,,
6,0.0,0.0,0.0,3.8,10.6,-2.5,1.1,3.2,北,5.5,北,北東,8.6,,
7,1.5,1.0,0.5,3.0,7.8,-1.6,1.1,2.4,北,3.6,北,北,0.3,,
8,5.0,4.5,1.5,4.6,7.7,2.9,1.1,3.5,北,5.9,北,西北西,0.1,,
9,0.0,0.0,0.0,9.7,13.9,4.1,4.0,9.2,西北西,16.6,西北西,西北西,9.5,,
10,0.0,0.0,0.0,6.4,12.9,1.8,1.3,4.2,西北西,7.4,西北西,北西,7.7,,
11,0.0,0.0,0.0,4.8,9.0,1.6,1.1,2.3,北北東,3.5,北北東,北,2.0,,
12,0.0,0.0,0.0,5.1,9.2,-0.6,0.8,2.1,北北東,3.4,北東,北北東,1.8,,
13,0.0,0.0,0.0,7.3,13.0,1.9,1.4,4.4,北北東,7.8,北北東,北北東,9.1,,
14,0.0,0.0,0.0,7.6,12.0,2.4,1.6,3.6,北,6.2,北,北北東,7.9,,
15,2.0,1.0,0.5,6.7,9.6,4.5,2.7,4.8,西北西,9.0,西,北北東,2.7,,
16,0.0,0.0,0.0,5.8,11.5,1.3,2.1,4.5,西北西,7.5,西,西北西,8.4,,
17,0.0,0.0,0.0,5.2,10.3,0.3,1.2,2.6,北北東,4.8,北,北,4.2,,
18,0.0,0.0,0.0,4.4,6.0,3.3,2.6,4.8,北,8.8,北,北北東,0.0,,
19,0.0,0.0,0.0,5.2,10.5,-0.4,1.2,2.6,南東,5.7,南,南南東,8.7,,
20,0.0,0.0,0.0,6.2,14.5,-1.1,1.1,3.2,西,5.8,西,西北西,9.6,,
21,0.0,0.0,0.0,5.3,10.3,0.2,2.8,7.3,西北西,17.0,北西,西北西,9.7,,
22,0.0,0.0,0.0,2.1,5.6,-2.3,0.9,2.1,北北東,3.2,北,西北西,0.0,,
23,0.5,0.5,0.5,4.8,7.7,1.1,0.9,2.0,南,3.1,南南西,北西,0.0,,
24,0.0,0.0,0.0,8.6,14.8,3.4,1.3,3.4,南,5.6,南,南南西,6.9,,
25,0.0,0.0,0.0,5.8,8.7,2.4,1.5,3.4,西北西,8.0,西北西,東南東,1.5,,
26,0.0,0.0,0.0,4.4,8.1,1.9,1.1,2.3,北北東,3.8,北北東,北北東,1.4,,
27,2.0,1.5,0.5,3.7,6.2,0.4,1.7,4.7,北,8.2,北北東,北,0.0,,
28,12.5,3.5,1.0,5.2,7.6,0.9,3.8,6.5,北北東,11.5,北北東,北,0.0,,
29,37.5,14.0,4.5,11.8,18.8,7.5,3.2,9.0,北北東,14.1,北北東,西,7.0,,
30,0.0,0.0,0.0,10.7,17.3,5.6,1.7,5.0,西,9.2,西,西,8.8,,
31,0.0,0.0,0.0,7.2,10.8,3.6,4.6,8.8,西北西,16.1,西,西北西,9.9,,
