,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,0.9,9.5,-3.8,0.8,2.4,南,5.7,南,北,8.4,,
2,0.0,0.0,0.0,0.8,10.9,-5.5,1.0,3.7,北北西,6.5,北,北,8.3,,
3,0.0,0.0,0.0,1.3,11.0,-4.9,0.8,2.0,南,4.0,北,北,5.5,,
4,0.0,0.0,0.0,2.3,9.9,-3.7,1.4,4.4,北北西,8.7,北北西,北,6.1,,
5,0.0,0.0,0.0,1.5,7.5,-3.5,1.6,6.3,北北西,13.0,北,北西,6.7,,
6,0.0,0.0,0.0,1.0,10.2,-5.3,1.1,4.4,北北西,8.3,北,北,6.6,,
7,6.0,1.5,0.5,1.0,8.0,-4.6,0.7,2.6,南南東,5.2,西北西,北,2.1,,
8,3.5,2.0,1.0,3.4,6.9,1.0,0.5,1.9,北,4.8,北,北北東,1.0,,
9,0.0,0.0,0.0,5.4,12.9,0.3,1.3,4.3,北北西,8.2,北,北北西,6.2,,
10,0.0,0.0,0.0,3.8,10.6,-2.2,1.0,2.8,北,6.4,北北東,北,5.5,,
11,0.0,0.0,0.0,1.0,8.3,-4.0,0.7,2.0,南南東,3.3,南南東,北,0.3,,
12,0.0,0.0,0.0,2.6,10.1,-2.7,1.0,2.8,南南東,5.2,南,北北西,1.6,,
13,1.0,1.0,0.5,4.7,12.4,-0.3,0.7,2.7,北,6.6,北西,北,5.4,,
14,0.0,0.0,0.0,4.8,11.5,-0.3,0.7,2.1,南東,3.8,南南東,北北西,3.8,,
15,4.0,1.5,0.5,2.9,6.8,-1.4,0.8,2.5,北,6.5,北北東,北,3.2,,
16,0.0,0.0,0.0,1.4,10.0,-3.5,0.9,3.4,北北西,6.7,北,北,6.9,,
17,0.0,0.0,0.0,1.7,9.6,-3.8,0.7,1.8,北,4.3,北東,北,5.4,,
18,0.0,0.0,0.0,2.5,4.2,-0.7,1.0,2.8,北北西,7.3,北西,北,0.0,,
19,0.0,0.0,0.0,2.9,9.7,-2.8,1.1,3.5,南南東,6.7,南,北,6.1,,
20,0.0,0.0,0.0,4.2,13.3,-3.0,0.8,2.7,北北西,5.1,北北東,北北東,8.7,,
21,0.0,0.0,0.0,1.8,8.0,-3.7,1.7,6.1,北北西,13.2,北,北北西,6.8,,
22,0.0,0.0,0.0,0.3,5.4,-6.2,0.5,1.2,北,1.8,北,北,1.2,,
23,1.5,1.0,0.5,3.6,8.3,-1.6,0.5,1.4,東南東,2.9,東,北,0.1,,
24,0.0,0.0,0.0,5.9,14.5,1.1,0.9,2.6,南南東,4.6,北北東,北北西,6.7,,
25,0.0,0.0,0.0,3.3,10.0,-1.7,1.1,2.5,北北西,6.3,北北西,北,7.3,,
26,0.0,0.0,0.0,2.4,10.7,-1.9,0.7,2.0,西,3.4,西,北,5.5,,
27,0.0,0.0,0.0,1.7,6.9,-2.9,0.7,1.9,南南東,3.5,北北西,北,0.0,,
28,2.5,1.0,0.5,3.9,6.0,0.4,0.6,1.6,北西,4.3,北,東南東,0.0,,
29,57.5,18.5,5.5,7.2,13.1,1.8,1.4,6.0,北北西,12.9,北北西,北,3.0,,
30,0.0,0.0,0.0,6.1,16.1,-0.1,1.0,3.0,西北西,5.8,北西,北,6.9,,
31,0.0,0.0,0.0,3.2,9.7,-1.6,2.0,5.5,北北西,10.9,北北西,北北西,9.2,,
