,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,3.5,8.1,-1.2,1.6,4.5,南南西,8.6,南,西,8.9,,
2,0.0,0.0,0.0,5.6,11.8,-0.2,1.3,4.7,西,8.7,西北西,北北西,9.3,,
3,0.0,0.0,0.0,5.7,10.8,0.3,1.1,2.8,北,6.1,北北西,北,7.4,,
4,0.0,0.0,0.0,6.3,11.1,2.2,2.2,5.2,北西,10.0,北北西,北北東,8.7,,
5,0.5,0.5,0.5,4.0,8.5,-0.4,2.4,5.6,北西,12.3,北北西,西北西,7.1,,
6,0.0,0.0,0.0,5.1,9.9,-1.1,1.5,3.8,南西,6.9,北北東,西,6.7,,
7,5.0,1.0,0.5,5.2,8.2,1.4,2.2,3.8,北北東,7.4,北,北,1.2,,
8,6.5,5.0,1.5,8.2,10.1,5.0,1.6,4.5,北北東,8.6,北北東,北北東,0.0,,
9,0.0,0.0,0.0,8.7,13.8,3.4,2.0,4.9,北北西,10.1,北北西,北北西,8.4,,
10,0.0,0.0,0.0,6.3,10.0,3.0,2.8,5.7,東北東,8.8,東北東,北,3.8,,
11,0.0,0.0,0.0,5.6,9.5,0.8,1.2,2.9,西北西,4.7,北,北北西,0.0,,
12,0.0,0.0,0.0,7.2,10.6,2.5,1.5,3.4,北北東,5.6,北東,北,1.6,,
13,4.0,2.5,1.5,7.2,12.4,3.3,1.9,3.9,北北東,7.5,北北東,北東,5.8,,
14,0.5,0.5,0.5,8.1,11.5,4.8,1.9,3.6,北北東,7.7,北,北北東,6.0,,
15,4.5,1.5,0.5,6.2,8.7,1.1,2.6,5.8,北北東,9.9,北北東,北北東,1.0,,
16,0.0,0.0,0.0,5.1,9.8,0.1,1.6,4.5,南南西,8.4,南南西,北,7.3,,
17,0.0,0.0,0.0,7.0,10.2,3.0,2.2,4.9,北東,9.5,北東,北北東,4.2,,
18,0.0,0.0,0.0,4.9,6.2,3.5,4.1,6.0,北北東,12.5,北北東,北北東,0.0,,
19,0.0,0.0,0.0,5.8,9.8,1.7,2.1,3.9,東北東,6.9,東北東,北東,7.7,,
20,0.0,0.0,0.0,8.4,14.0,3.1,1.7,4.3,西,7.4,西南西,北,9.0,,
21,0.0,0.0,0.0,5.5,9.2,-0.1,2.9,8.0,北,16.2,北北西,北北西,9.5,,
22,0.0,0.0,0.0,4.4,7.8,-1.4,0.8,1.9,西,2.9,北,北,0.7,,
23,6.0,2.0,0.5,8.1,12.2,5.0,1.9,5.0,北北東,9.0,北,北北東,0.0,,
24,0.0,0.0,0.0,9.3,13.6,4.3,2.1,6.0,北西,12.1,西北西,北北東,5.9,,
25,0.0,0.0,0.0,6.0,9.2,0.9,1.9,6.1,北西,12.3,北西,北西,8.0,,
26,0.0,0.0,0.0,6.2,9.9,4.0,1.8,3.4,北西,6.7,北西,北,2.9,,
27,1.0,1.0,0.5,4.8,6.6,3.4,3.0,4.9,北北東,8.9,北,北北東,0.0,,
28,49.5,6.0,1.5,7.8,11.1,3.3,5.3,7.9,北東,16.5,北東,北東,0.0,,
29,65.5,20.5,4.0,11.8,16.7,6.7,3.7,8.0,東北東,17.1,東,北北西,6.1,,
30,0.0,0.0,0.0,11.2,16.7,6.1,2.3,6.4,北西,13.7,北北西,西北西,8.8,,
31,0.0,0.0,0.0,7.0,10.9,2.2,2.4,6.2,西北西,17.7,北西,北西,9.7,,
