,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,4.6,9.0,-0.5,1.1,2.8,南,5.0,南南東,南,5.8,,
2,0.0,0.0,0.0,5.7,10.3,0.8,1.4,3.2,北,5.9,北,北,7.6,,
3,0.0,0.0,0.0,6.4,12.5,1.0,1.1,2.2,北,3.9,北西,西,9.3,,
4,0.0,0.0,0.0,7.1,11.1,2.8,2.1,5.5,北,10.9,北北西,北,5.9,,
5,0.0,0.0,0.0,4.6,8.7,1.5,1.7,6.0,北北西,9.9,北北西,北西,8.6,,
6,0.0,0.0,0.0,5.0,9.5,-0.4,1.1,2.6,北北西,5.5,西,西南西,8.5,,
7,6.0,1.5,0.5,7.4,10.1,4.9,2.0,3.8,北東,7.4,北東,東北東,0.3,,
8,8.0,5.0,1.5,6.7,10.7,4.6,1.7,3.8,北北東,7.4,北,西南西,0.6,,
9,0.0,0.0,0.0,9.6,14.3,5.5,1.7,3.8,西南西,7.2,西,西北西,9.4,,
10,0.0,0.0,0.0,9.1,11.1,6.4,3.3,5.1,北北東,9.7,北北東,北北東,5.0,,
11,0.0,0.0,0.0,6.6,11.0,4.0,1.3,3.6,北北西,5.7,北,北北西,1.9,,
12,0.5,0.5,0.5,6.7,10.5,3.7,1.4,3.2,北東,6.3,北東,北北西,0.1,,
13,0.0,0.0,0.0,8.6,12.8,3.9,2.0,4.3,北東,8.1,北北東,西北西,8.7,,
14,0.0,0.0,0.0,8.5,12.5,4.0,1.7,3.4,北,6.3,北,北東,4.9,,
15,14.5,5.5,1.0,7.4,11.7,4.2,1.8,5.0,北北西,8.6,北,北北西,1.9,,
16,0.5,0.5,0.5,5.7,9.5,1.2,1.0,2.7,西,5.3,西,北,6.3,,
17,1.0,0.5,0.5,7.8,10.2,5.1,2.4,4.6,北東,8.7,北東,北東,0.8,,
18,13.5,2.5,1.0,5.8,8.7,3.4,4.8,7.7,北北東,14.6,北東,北,0.0,,
19,0.0,0.0,0.0,6.1,9.9,2.1,1.9,4.8,北北西,8.7,北北西,北西,8.2,,
20,0.0,0.0,0.0,7.7,13.5,2.3,1.3,3.4,西南西,5.8,西南西,西南西,9.6,,
21,0.0,0.0,0.0,6.3,10.5,2.1,2.1,4.5,北西,8.7,北,北西,9.7,,
22,0.0,0.0,0.0,4.6,7.5,1.4,1.5,2.4,北,4.3,西,北北西,0.0,,
23,6.5 ],2.0 ),0.5 ),7.0 ),11.6 ),3.7 ),1.9 ),5.2 ),北北東 ),10.6 ),北 ),北北西 ),0.0 ],,
24,0.0,0.0,0.0,9.9,13.5,6.1,1.5,3.9,北,7.4,北,北,3.3,,
25,0.0,0.0,0.0,7.0,9.2,4.2,1.9,3.8,北北西,6.8,北,北北西,2.0,,
26,0.5,0.5,0.5,5.4,7.5,3.7,1.4,3.1,西,6.0,東北東,北西,0.0,,
27,3.5,2.5,0.5,6.9,8.7,3.5,2.9,4.8,東北東,10.7,北東,東北東,0.0,,
28,43.5,7.0,2.5,10.9,13.8,6.8,4.7,7.2,北東,14.3,北東,東,0.0,,
29,35.5,17.5,6.5,13.1,16.2,8.7,3.5,8.5,東南東,15.9,東南東,東,4.7,,
30,0.0,0.0,0.0,11.0,16.2,6.3,1.7,3.7,西,8.5,西,西南西,9.6,,
31,0.0,0.0,0.0,7.3,12.1,3.1,1.6,5.5,西,10.0,西,西北西,7.5,,
