,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,-7.8,-3.7,-11.2,2.6,6.1,南南西,9.3,南南西,南西,6.2,,
2,0.0,0.0,0.0,-8.2,-2.4,-13.0,2.2,6.7,西北西,13.2,西北西,東,5.9,,
3,0.0,0.0,0.0,-6.3,0.3,-14.1,2.6,8.0,北,12.7,北,北,7.1,,
4,0.0,0.0,0.0,-9.1,-4.7,-13.6,3.2,7.2,北北西,11.8,北北西,北西,6.9,,
5,0.0,0.0,0.0,-8.2,-2.8,-14.7,2.8,6.0,西北西,10.4,西北西,北西,7.2,,
6,2.0,1.0,0.5,-4.3,-2.1,-7.2,6.5,10.7,北西,20.9,北西,北北西,3.2,,
7,2.0,0.5,0.5,-3.8,-2.5,-8.0,6.6,11.9,北北西,18.8,北北西,北北西,0.0,,
8,0.0,0.0,0.0,-6.0,-2.8,-12.4,2.3,4.8,北,6.4,北,東,0.0,,
9,0.0,0.0,0.0,-4.5,-2.7,-6.3,4.9,8.9,北北西,14.1,北北西,北北西,3.9,,
10,0.0,0.0,0.0,-6.3,-2.7,-12.3,4.0,6.9,北北西,14.0,北西,北西,4.0,,
11,1.0,1.0,0.5,-5.6,-0.6,-13.3,1.9,5.6,東,7.6,東,北,1.4,,
12,0.0,0.0,0.0,-5.5,-0.9,-11.7,1.4,3.3,西北西,5.1,北,北北西,4.9,,
13,0.0,0.0,0.0,-4.6,-2.4,-11.6,2.7,6.6,北,9.0,北,北北西,0.0,,
14,0.0,0.0,0.0,-7.9,-1.6,-13.0,1.7,3.6,北西,5.5,北西,西北西,6.8,,
15,0.0,0.0,0.0,-7.5,-2.4,-13.9,1.6,3.6,東,5.5,東,北北西,4.3,,
16,0.0,0.0,0.0,-7.9,-2.0,-14.8,1.4,3.6,北,5.4,北北西,北北西,5.4,,
17,0.0,0.0,0.0,-8.0,-0.7,-15.2,1.8,5.0,北,6.8,北,北西,7.5,,
18,0.0,0.0,0.0,-8.1,-1.4,-13.7,2.4,4.2,西北西,5.6,西北西,北西,8.7,,
19,0.0,0.0,0.0,-8.8,-2.4,-13.9,1.5,3.3,南東,5.3,南南東,東南東,8.2,,
20,2.5,1.5,0.5,-4.9,-3.1,-9.8,2.5,5.3,北,7.9,北北西,北北西,0.0,,
21,0.0,0.0,0.0,-5.5,-4.2,-7.8,4.4,7.7,北西,13.7,北西,北西,1.8,,
22,0.0,0.0,0.0,-6.5,-0.1,-15.2,2.2,5.1,北北西,9.6,北,東南東,7.2,,
23,0.0,0.0,0.0,-3.0,0.4,-7.8,3.8,8.8,北,13.3,北北西,北北西,3.9,,
24,0.0,0.0,0.0,-5.2,0.7,-9.3,3.7,7.8,北西,15.8,北西,北西,3.5,,
25,0.0,0.0,0.0,-9.3,-5.9,-12.4,5.5,8.1,北西,16.0,北西,北西,8.0,,
26,0.0,0.0,0.0,-11.7,-6.4,-16.6,3.8,8.0,北西,14.3,北西,北西,9.1,,
27,0.0,0.0,0.0,-8.2,-4.1,-16.4,4.3,8.7,北北西,15.4,北,北北西,2.2,,
28,0.0,0.0,0.0,-8.2,-2.1,-14.5,2.3,6.2,北北西,8.1,北北西,南南東,8.6,,
29,0.0,0.0,0.0,-4.2,-1.4,-10.6,4.3,7.8,東,12.7,東,東,0.0,,
30,9.5,3.0,1.0,0.3,2.5,-1.5,5.7,9.4,北東,16.3,北東,北北西,0.0,,
31,3.5,1.0,0.5,-0.9,0.3,-2.7,6.5,12.6,北,19.9,北北西,北北西,0.0,,
