,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,6.1,9.3,1.6,2.2,3.3,北,7.6,北,北北東,5.1,,
2,0.0,0.0,0.0,9.9,12.8,8.0,1.6,2.4,北北西,6.4,北北西,北北西,2.5,,
3,0.0,0.0,0.0,10.5,12.3,7.4,2.1,3.0,北北西,7.9,北北西,北北西,1.5,,
4,0.0,0.0,0.0,9.1,13.4,5.9,2.2,4.2,北,8.4,北,北北東,8.4,,
5,0.0,0.0,0.0,9.1,13.4,5.1,2.2,3.6,北北東,7.5,北東,北北東,7.7,,
6,0.5,0.5,0.5,12.2,15.3,7.9,2.0,4.0,南,9.0,南,南,0.0,,
7,8.0,7.0,6.5,17.2,18.8,14.3,4.7,8.9,南,16.1,南,南,0.1,,
8,9.0,13.5,10.5,11.6,16.7,9.3,3.3,5.1,北,11.4,北北西,北,2.3,,
9,0.0,0.0,0.0,10.1,11.8,9.1,2.3,3.4,北,8.3,北北西,北北西,0.4,,
10,0.0,0.0,0.0,8.9,12.5,5.0,2.2,3.2,北,6.9,北北西,北北東,8.8,,
11,0.0,0.0,0.0,10.3,14.1,7.6,1.5,2.7,北北東,6.0,北,北北東,3.7,,
12,0.5,0.5,0.5,9.2,10.3,8.2,2.8,3.9,北北西,11.3,北北西,北北西,1.4,,
13,0.0,0.0,0.0,8.4,9.6,7.6,2.6,3.9,北北西,9.2,北,北北西,0.7,,
14,0.0,0.0,0.0,7.2,10.5,4.7,2.1,5.4,北,11.2,北,北,0.3,,
15,0.0,0.0,0.0,7.1,10.0,4.2,2.3,3.7,北,9.1,北,北北西,1.0,,
16,0.0,0.0,0.0,7.3,9.9,3.8,1.5,3.0,北北東,4.9,北東,北北東,0.0,,
17,0.5,0.5,0.5,8.5,12.5,6.0,2.4,5.0,北,10.0,北,北,3.7,,
18,10.0,3.5,2.0,7.9,11.6,5.3,2.5,5.5,北,11.4,北北西,北北西,3.6,,
19,0.5,0.5,0.5,9.1,11.3,5.3,2.2,3.7,北北西,8.7,北北西,北北西,1.3,,
20,0.0,0.0,0.0,9.9,11.2,9.0,2.9,4.3,北,9.9,北北西,北北西,1.4,,
21,0.0,0.0,0.0,9.1,12.1,6.3,1.8,3.7,北北東,7.9,北,北,9.0,,
22,14.5,6.0,1.5,11.5,15.8,8.1,2.0,5.8,南,12.4,南,南,0.0,,
23,25.0,21.5,12.0,14.8,18.9,12.4,1.5,5.8,南,9.8,南,北,4.3,,
24,0.0,0.0,0.0,13.3,16.1,11.4,2.6,5.3,北北東,9.7,北,北,1.0,,
25,10.5,3.0,1.0,11.0,14.8,8.2,2.6,5.1,北北東,9.5,北,北北東,0.1,,
26,6.5,2.0,0.5,9.7,12.8,7.9,3.3,6.9,東北東,15.1,東北東,北北東,0.1,,
27,32.0,12.5,3.5,8.8,10.4,7.6,4.4,11.4,北北東,19.8,北北東,北,0.0,,
28,1.0,0.5,0.5,11.0,14.0,9.1,3.1,5.5,北,10.4,北,北,5.8,,
29,0.0,0.0,0.0,9.4,13.3,6.8,2.1,4.7,北,9.2,北,北,1.7,,
30,2.5,1.5,0.5,7.4,10.5,5.2,3.1,5.9,北,11.8,北,北,4.9,,
31,0.5,0.5,0.5,6.8,10.0,4.3,1.8,4.7,北北東,9.4,北北東,北北東,1.2,,
